ID	class	order	family	subfamily	tribe	genus	species
TACFI603-12	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI153-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TIPSY334-12	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI165-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI026-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNSA197-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SCINO1264-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI181-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA171-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SYGEO357-19	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNSA228-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TACFI437-12	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SIEG014-18	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
RDBA381-06	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNSA064-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
ZYGMO233-10	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TRCBG996-20	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TIPSY030-08	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
RDNMG507-08	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI054-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI048-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA111-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI038-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SYGEO137-19	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA058-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA259-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TACFI008-11	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TACFI757-13	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TACFI199-12	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TACFI055-11	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA174-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TIPSY022-08	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA201-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TACFI438-12	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNSA028-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA218-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TANYT061-14	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
PMANL3464-14	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI010-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA283-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA034-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TACFI664-12	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA313-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SYGEO028-19	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNSA171-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TIPSY041-08	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TIPSY089-08	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI028-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA153-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI161-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SRCNC529-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TACFI179-12	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNSH035-23	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNSA022-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNSH025-23	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI032-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI152-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SCINO632-15	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA190-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
RLP001-20	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SCINO1472-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TACFI469-12	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
RDBA246-05	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TACFI760-13	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNSA035-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA045-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI021-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNSA049-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI166-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TANYT227-15	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI116-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI169-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
UKAN756-22	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
RDNMH541-09	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA269-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA031-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SCINO501-15	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SONT102-10	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI053-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA263-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TACFI443-12	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TACFI467-12	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TACFI606-12	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI008-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI039-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA025-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
RDNMD371-06	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI156-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SPUEA486-07	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI036-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNSA217-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TACFI206-12	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SYGEO216-19	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNSA219-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TIPSY029-08	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TACFI611-12	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TESYR029-20	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SCINO1089-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA017-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNSA072-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SYGEO312-19	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
ZMBN315-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNSH038-23	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA238-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
RDNMD362-06	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA260-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI043-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNSA012-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI158-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TACFI607-12	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA288-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNSA147-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TIPSY025-08	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SCINO900-15	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA091-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TACFI642-12	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TIPSY042-08	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TANYT095-14	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SCINO495-15	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA253-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TIPSY027-08	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TACFI468-12	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SCINO343-15	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
RDBA532-06	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA219-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TACFI388-12	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA135-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA094-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SCINO937-15	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TACFI251-12	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TIPSY026-08	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
POESE071-15	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA262-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA044-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TACFI608-12	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TACFI194-12	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNSA114-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TIPSY045-08	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNSH027-23	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SYGEO367-19	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA193-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TACFI223-12	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNSA261-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI029-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI061-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI186-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TACFI436-12	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TRIPO024-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TACFI265-12	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SYGEO156-19	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TIPSY028-08	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
ULMCA018-19	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNSA246-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TRIFI1403-18	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TESYR016-20	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNSA146-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TIPSY062-08	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TACFI445-12	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TACFI263-12	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
RDBA247-05	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SCINO392-15	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TACFI429-12	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA318-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
RLP002-20	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TIPSY031-08	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA177-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA256-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SCINO294-15	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TACFI202-12	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
RDNMG506-08	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SYGEO026-19	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SCINO624-15	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI040-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI182-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNSP921-19	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TACFI452-12	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SCINO933-15	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SRDOC002-15	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
RDNMH542-09	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TIPSY043-08	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TACFI017-11	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA106-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SYGEO015-19	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI180-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
ULMCA016-19	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNSA081-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI198-22	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA265-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA192-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNSA077-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SCINO1454-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
RDNMD359-06	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI113-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNSP491-19	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TACFI604-12	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
PSYCH052-11	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNSH036-23	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNSA098-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI185-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA268-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SCINO1093-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA267-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
POLBA086-15	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI154-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TANYT096-14	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SCINO1498-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNSA173-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA220-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
RDBAB058-06	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI102-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA149-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TIPSY083-08	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SYGEO025-19	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI052-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA028-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TACFI442-12	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
