ID	class	Prob_class	order	Prob_order	family	Prob_family	 subfamily	Prob_subfamily	tribe	Prob_tribe	genus	Prob_genus	 species	Prob_species
SMNKA041-16		Arachnida	1.00	Araneae	1.00	Theridiidae	1.00	dummy_Theridiidae	1.00	dummy_Theridiidae	1.00	Robertus	1.00	Robertus_scoticus	1.00
TBGMI159-21		Insecta	0.58	Sarcoptiformes	0.38	Tenuialidae	0.11	dummy_Tenuialidae	0.11	dummy_Tenuialidae	0.11	Hafenrefferia	0.11	Hafenrefferia_gilvipes	0.11
SMNSA248-16		Arachnida	0.96	Araneae	0.96	Salticidae	0.48	dummy_Salticidae	0.48	dummy_Salticidae	0.48	Synageles	0.19	Synageles_venator	0.19
TBGMI056-21		Insecta	0.99	Diptera	0.56	Chironomidae	0.22	Chironominae	0.15	Tanytarsini	0.13	Tanytarsus	0.12	Tanytarsus_striatulus	0.05
RDNMH543-09		Insecta	1.00	Lepidoptera	1.00	Crambidae	1.00	Pyraustinae	1.00	dummy_Pyraustinae	1.00	Anania	1.00	Anania_coronata	1.00
TBGMI031-21		Insecta	1.00	Coleoptera	0.43	Staphylinidae	0.13	Harpalinae	0.07	dummy_Sciaridae	0.06	Bradysia	0.04	Bradysia_lilienthalae	0.04
TBGMI164-21		Insecta	0.84	Diptera	0.23	Linyphiidae	0.07	dummy_Linyphiidae	0.07	dummy_Linyphiidae	0.07	Semidalis	0.03	Semidalis_aleyrodiformis	0.03
RDBA533-06		Insecta	1.00	Lepidoptera	0.52	Ichneumonidae	0.15	Larentiinae	0.08	dummy_Elachistinae	0.05	Elachista	0.05	Schizopyga_podagrica	0.02
TRCBG224-20		Insecta	0.99	Diptera	0.29	Mycetophilidae	0.09	dummy_Bucculatricidae	0.05	dummy_Bucculatricidae	0.05	Bucculatrix	0.05	Bucculatrix_bechsteinella	0.05
TBGMI194-21		Insecta	0.92	Coleoptera	0.26	Chironomidae	0.06	Gelechiinae	0.05	dummy_Gelechiinae	0.05	Caryocolum	0.04	Caryocolum_blandelloides	0.04
SMNKA266-16		Arachnida	1.00	Araneae	1.00	Lycosidae	1.00	dummy_Lycosidae	1.00	dummy_Lycosidae	1.00	Alopecosa	0.88	Alopecosa_pulverulenta	0.51
SMNSA168-16		Insecta	0.93	Lepidoptera	0.28	Phalangiidae	0.07	Oligolophinae	0.07	dummy_Oligolophinae	0.07	Mitopus	0.07	Mitopus_morio	0.07
SYGEO374-19		Insecta	1.00	Diptera	1.00	Syrphidae	1.00	Eristalinae	1.00	Merodontini	1.00	Eumerus	1.00	Eumerus_flavitarsis	1.00
TBGMI035-21		Insecta	0.94	Diptera	0.45	Mycetophilidae	0.13	Gnoristinae	0.12	dummy_Gnoristinae	0.12	Boletina	0.12	Chaetocnema_sahlbergii	0.04
SYGEO127-19		Insecta	1.00	Diptera	0.99	Syrphidae	0.97	Eristalinae	0.97	Milesiini	0.97	Xylota	0.94	Xylota_meigeniana	0.51
TACFI446-12		Insecta	1.00	Diptera	0.99	Tachinidae	0.89	Phasiinae	0.79	Cylindromyiini	0.78	Cylindromyia	0.78	Cylindromyia_brassicaria	0.75
SMNSP872-19		Insecta	0.99	Hymenoptera	0.82	Eulophidae	0.29	Chrysidinae	0.16	dummy_Chrysidinae	0.16	Chrysis	0.10	Neochrysocharis_chlorogaster	0.10
SATIP642-09		Insecta	1.00	Diptera	0.78	Tipulidae	0.23	Tipulinae	0.21	dummy_Tipulinae	0.21	Tipula	0.21	Aethes_margaritana	0.06
SMNKA257-16		Arachnida	1.00	Araneae	1.00	Linyphiidae	1.00	dummy_Linyphiidae	1.00	dummy_Linyphiidae	1.00	Bolyphantes	1.00	Bolyphantes_alticeps	1.00
TACFI613-12		Insecta	1.00	Diptera	1.00	Tachinidae	1.00	Phasiinae	1.00	Gymnosomatini	1.00	Gymnosoma	1.00	Gymnosoma_nudifrons	0.64
RDNMD363-06		Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Leucaniini	1.00	Leucania	1.00	Leucania_comma	1.00
TBGMI174-21		Insecta	0.71	Coleoptera	0.23	Staphylinidae	0.04	dummy_Linyphiidae	0.04	dummy_Linyphiidae	0.04	Chamobates	0.03	Chamobates_spinosus	0.03
TACFI204-12		Insecta	1.00	Diptera	0.99	Tachinidae	0.96	Exoristinae	0.95	Exoristini	0.94	Phorocera	0.90	Phorocera_obscura	0.90
TBGMI037-21		Insecta	0.98	Coleoptera	0.42	Staphylinidae	0.20	Aleocharinae	0.17	Athetini	0.08	Atheta	0.07	Donacia_bicolora	0.06
TACFI466-12		Insecta	1.00	Diptera	0.78	Anthomyiidae	0.19	dummy_Anthomyiidae	0.19	dummy_Anthomyiidae	0.19	Phorbia	0.11	Phorbia_atrogrisea	0.09
TACFI447-12		Insecta	1.00	Diptera	0.79	Tachinidae	0.25	Phasiinae	0.15	Cylindromyiini	0.15	Cylindromyia	0.15	Cylindromyia_brassicaria	0.15
TIPSY038-08		Insecta	1.00	Lepidoptera	0.88	Psychidae	0.35	Psychinae	0.33	dummy_Psychinae	0.33	Proutia	0.27	Proutia_rotunda	0.17
TRCBG1489-20		Insecta	0.96	Lepidoptera	0.28	Ichneumonidae	0.06	dummy_Nepticulidae	0.05	dummy_Nepticulidae	0.05	Stigmella	0.05	Stigmella_lediella	0.03
TANYT085-14		Insecta	1.00	Diptera	0.62	Chironomidae	0.37	Chironominae	0.27	Tanytarsini	0.18	Constempellina	0.08	Constempellina_brevicosta	0.08
SMNSA260-16		Arachnida	0.99	Araneae	0.99	Thomisidae	0.89	dummy_Thomisidae	0.89	dummy_Thomisidae	0.89	Xysticus	0.80	Xysticus_obscurus	0.32
TACFI043-11		Insecta	1.00	Diptera	0.98	Tachinidae	0.52	Exoristinae	0.46	Goniini	0.19	Myxexoristops	0.08	Myxexoristops_stolida	0.07
SCINO728-15		Insecta	1.00	Lepidoptera	0.43	Staphylinidae	0.16	Aleocharinae	0.12	Aleocharini	0.09	Aleochara	0.09	Aleochara_lanuginosa	0.06
SCINO481-15		Insecta	0.99	Diptera	0.69	Tachinidae	0.18	Exoristinae	0.13	dummy_Gnoristinae	0.12	Boletina	0.06	Gnoriste_apicalis	0.06
SMNSA107-16		Arachnida	1.00	Araneae	1.00	Linyphiidae	1.00	dummy_Linyphiidae	1.00	dummy_Linyphiidae	1.00	Erigone	0.96	Erigone_welchi	0.92
SMNSA079-16		Arachnida	1.00	Araneae	1.00	Araneidae	1.00	dummy_Araneidae	1.00	dummy_Araneidae	1.00	Gibbaranea	1.00	Gibbaranea_omoeda	1.00
TRCBG967-20		Insecta	0.98	Diptera	0.27	Chironomidae	0.11	Tanypodinae	0.04	Macrostelini	0.04	Macrosteles	0.04	Stigmella_lediella	0.03
TBGMI042-21		Insecta	0.99	Coleoptera	0.58	Staphylinidae	0.18	Staphylininae	0.08	Staphylinini	0.07	Olibrus	0.05	Lasiopogon_septentrionalis	0.04
TACFI574-12		Insecta	1.00	Diptera	1.00	Tachinidae	1.00	Exoristinae	1.00	Acemyini	1.00	Acemya	1.00	Acemya_rufitibia	1.00
PSESC012-21		Insecta	1.00	Hymenoptera	0.85	Megachilidae	0.62	Megachilinae	0.62	Megachilini	0.29	Coelioxys	0.29	Coelioxys_conoidea	0.25
SCINO339-15		Insecta	0.98	Diptera	0.80	Sciaridae	0.47	dummy_Sciaridae	0.47	dummy_Sciaridae	0.47	Camptochaeta	0.15	Sciara_helvola	0.08
SMNSA157-16		Arachnida	1.00	Araneae	1.00	Araneidae	1.00	dummy_Araneidae	1.00	dummy_Araneidae	1.00	Araneus	1.00	Araneus_angulatus	1.00
RDNMD370-06		Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Noctuini	1.00	Anaplectoides	1.00	Anaplectoides_prasina	1.00
TACFI609-12		Insecta	1.00	Diptera	1.00	Tachinidae	1.00	Tachininae	1.00	Ernestiini	1.00	Synactia	1.00	Synactia_parvula	1.00
SMNKA194-16		Arachnida	0.94	Araneae	0.94	Linyphiidae	0.22	dummy_Linyphiidae	0.22	dummy_Linyphiidae	0.22	Ceratinella	0.11	Anyphaena_accentuata	0.10
SMNKA057-16		Arachnida	1.00	Araneae	1.00	Linyphiidae	1.00	dummy_Linyphiidae	1.00	dummy_Linyphiidae	1.00	Walckenaeria	1.00	Walckenaeria_obtusa	1.00
TACFI603-12		Insecta	1.00	Diptera	1.00	Tachinidae	1.00	Exoristinae	1.00	Blondeliini	1.00	Meigenia	1.00	Meigenia_dorsalis	1.00
TBGMI153-21		Arachnida	1.00	Sarcoptiformes	1.00	Ceratozetidae	1.00	dummy_Ceratozetidae	1.00	dummy_Ceratozetidae	1.00	Fuscozetes	1.00	Fuscozetes_fuscipes	1.00
SMNKA237-16		Arachnida	0.93	Araneae	0.93	Araneidae	0.40	dummy_Araneidae	0.40	dummy_Araneidae	0.40	Araniella	0.29	Araniella_proxima	0.29
SCINO1264-16		Insecta	0.99	Diptera	0.64	Sciaridae	0.28	dummy_Sciaridae	0.28	dummy_Sciaridae	0.28	Bradysia	0.12	Corynoptera_trepida	0.05
PYRG084-09		Insecta	1.00	Lepidoptera	1.00	Crambidae	1.00	Pyraustinae	1.00	dummy_Pyraustinae	1.00	Anania	1.00	Anania_coronata	1.00
SMNSA197-16		Insecta	0.97	Lepidoptera	0.32	Crambidae	0.10	Scopariinae	0.08	dummy_Scopariinae	0.08	Eudonia	0.08	Eudonia_lacustrata	0.04
TBGMI026-21		Insecta	0.99	Coleoptera	0.38	Chironomidae	0.17	Orthocladiinae	0.09	dummy_Orthocladiinae	0.09	Amara	0.04	Phaenopsectra_flavipes	0.03
TIPSY334-12		Insecta	1.00	Lepidoptera	0.71	Geometridae	0.16	Larentiinae	0.11	Macroglossini	0.09	Macroglossum	0.09	Macroglossum_stellatarum	0.09
TBGMI165-21		Insecta	0.90	Diptera	0.35	Chamobatidae	0.06	dummy_Chamobatidae	0.06	dummy_Chamobatidae	0.06	Chamobates	0.06	Chamobates_cuspidatus	0.06
SMNKA171-16		Arachnida	0.93	Araneae	0.93	Gnaphosidae	0.68	dummy_Gnaphosidae	0.68	dummy_Gnaphosidae	0.68	Zelotes	0.42	Zelotes_latreillei	0.19
TACFI437-12		Insecta	1.00	Diptera	1.00	Tachinidae	1.00	Phasiinae	1.00	Phasiini	1.00	Phasia	1.00	Phasia_aurulans	0.56
SYGEO357-19		Insecta	1.00	Diptera	1.00	Syrphidae	0.99	Eristalinae	0.99	Milesiini	0.97	Xylota	0.96	Xylota_meigeniana	0.49
TBGMI181-21		Insecta	0.98	Lepidoptera	0.34	Staphylinidae	0.09	Aleocharinae	0.06	Harpalini	0.04	Hydroporus	0.03	Catocala_sponsa	0.02
SIEG014-18		Insecta	1.00	Coleoptera	1.00	Dytiscidae	1.00	Hydroporinae	1.00	Hydroporini	1.00	Nebrioporus	1.00	Nebrioporus_depressus	1.00
SMNSA228-16		Insecta	1.00	Lepidoptera	0.31	Geometridae	0.11	Larentiinae	0.06	dummy_Larentiinae	0.06	Medetera	0.03	Medetera_setiventris	0.03
RDBA381-06		Insecta	0.99	Hymenoptera	0.37	Tenthredinidae	0.14	Nematinae	0.10	dummy_Nematinae	0.10	Euura	0.08	Chalarus_latifrons	0.07
RDNMG507-08		Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Xylenini	1.00	Leptologia	1.00	Leptologia_lota	1.00
ZYGMO233-10		Insecta	1.00	Lepidoptera	1.00	Zygaenidae	1.00	Procridinae	1.00	Procridini	1.00	Rhagades	1.00	Rhagades_pruni	1.00
SMNSA064-16		Arachnida	0.83	Araneae	0.83	Theridiidae	0.42	dummy_Theridiidae	0.42	dummy_Theridiidae	0.42	Yunohamella	0.15	Yunohamella_palmgreni	0.15
TIPSY030-08		Insecta	1.00	Lepidoptera	0.97	Psychidae	0.84	Oiketicinae	0.84	dummy_Oiketicinae	0.84	Sterrhopterix	0.51	Sterrhopterix_fusca	0.38
TBGMI048-21		Insecta	1.00	Diptera	0.35	Tachinidae	0.14	Exoristinae	0.10	dummy_Hemerobiinae	0.08	Hemerobius	0.08	Admontia_maculisquama	0.04
TRCBG996-20		Insecta	0.97	Coleoptera	0.32	Staphylinidae	0.06	dummy_Nepticulidae	0.05	dummy_Nepticulidae	0.05	Stigmella	0.05	Stigmella_lediella	0.05
TBGMI054-21		Insecta	0.97	Lepidoptera	0.32	Gelechiidae	0.11	Anacampsinae	0.09	Anacampsini	0.09	Aproaerema	0.09	Aproaerema_anthyllidella	0.09
TACFI008-11		Insecta	1.00	Diptera	1.00	Tachinidae	0.37	dummy_Anthomyiidae	0.27	dummy_Anthomyiidae	0.27	Phasia	0.19	Phasia_barbifrons	0.10
SMNKA058-16		Arachnida	0.98	Araneae	0.98	Thomisidae	0.87	dummy_Thomisidae	0.87	dummy_Thomisidae	0.87	Xysticus	0.75	Xysticus_luctuosus	0.24
SYGEO137-19		Insecta	1.00	Diptera	0.94	Syrphidae	0.71	Eristalinae	0.63	Milesiini	0.35	Spilomyia	0.33	Spilomyia_diophthalma	0.33
TBGMI038-21		Insecta	1.00	Coleoptera	0.41	Carabidae	0.25	Harpalinae	0.25	Harpalini	0.16	Harpalus	0.15	Harpalus_rubripes	0.11
SMNKA259-16		Arachnida	1.00	Araneae	1.00	Linyphiidae	1.00	dummy_Linyphiidae	1.00	dummy_Linyphiidae	1.00	Bolyphantes	1.00	Bolyphantes_alticeps	1.00
TACFI757-13		Insecta	1.00	Diptera	1.00	Tachinidae	0.99	Tachininae	0.99	Tachinini	0.99	Tachina	0.99	Tachina_fera	0.99
SMNKA111-16		Arachnida	0.97	Araneae	0.97	Lycosidae	0.91	dummy_Lycosidae	0.91	dummy_Lycosidae	0.91	Alopecosa	0.59	Alopecosa_pinetorum	0.20
TACFI199-12		Insecta	1.00	Diptera	0.87	Tachinidae	0.53	Exoristinae	0.40	Eryciini	0.23	Carcelia	0.17	Carcelia_tibialis	0.15
TACFI055-11		Insecta	1.00	Diptera	0.98	Muscidae	0.33	dummy_Anthomyiidae	0.31	dummy_Anthomyiidae	0.31	Spilogona	0.13	Botanophila_fugax	0.06
TIPSY022-08		Insecta	1.00	Lepidoptera	1.00	Psychidae	1.00	Psychinae	1.00	dummy_Psychinae	1.00	Proutia	1.00	Proutia_rotunda	1.00
SMNKA201-16		Arachnida	1.00	Araneae	1.00	Linyphiidae	1.00	dummy_Linyphiidae	1.00	dummy_Linyphiidae	1.00	Agyneta	1.00	Agyneta_mossica	0.74
TACFI438-12		Insecta	1.00	Diptera	1.00	Tachinidae	1.00	Phasiinae	1.00	Phasiini	1.00	Phasia	1.00	Phasia_obesa	0.78
SMNKA174-16		Arachnida	0.99	Araneae	0.99	Linyphiidae	0.83	dummy_Linyphiidae	0.83	dummy_Linyphiidae	0.83	Walckenaeria	0.32	Walckenaeria_cuspidata	0.27
TANYT061-14		Insecta	1.00	Diptera	1.00	Chironomidae	1.00	Chironominae	1.00	Tanytarsini	1.00	Tanytarsus	1.00	Tanytarsus_occultus	1.00
TACFI664-12		Insecta	1.00	Diptera	1.00	Tachinidae	0.99	Exoristinae	0.99	Eryciini	0.99	Senometopia	0.99	Senometopia_pollinosa	0.74
PMANL3464-14		Insecta	1.00	Lepidoptera	1.00	Pyralidae	0.98	Phycitinae	0.98	dummy_Phycitinae	0.98	Homoeosoma	0.98	Homoeosoma_nebulella	0.65
SYGEO028-19		Insecta	1.00	Diptera	1.00	Syrphidae	1.00	Syrphinae	1.00	Syrphini	1.00	Xanthogramma	1.00	Xanthogramma_pedissequum	0.81
SMNSA028-16		Arachnida	1.00	Araneae	1.00	Lycosidae	1.00	dummy_Lycosidae	1.00	dummy_Lycosidae	1.00	Pardosa	1.00	Pardosa_schenkeli	0.96
TBGMI010-21		Insecta	0.94	Lepidoptera	0.36	Staphylinidae	0.10	Noctuinae	0.06	dummy_Depressariinae	0.04	Depressaria	0.04	Depressaria_leucocephala	0.04
SMNKA218-16		Arachnida	1.00	Araneae	1.00	Lycosidae	1.00	dummy_Lycosidae	1.00	dummy_Lycosidae	1.00	Pardosa	1.00	Pardosa_schenkeli	0.95
SMNKA283-16		Arachnida	0.98	Araneae	0.97	Linyphiidae	0.58	dummy_Linyphiidae	0.58	dummy_Linyphiidae	0.58	Kaestneria	0.07	Emblyna_annulipes	0.07
SMNKA313-16		Arachnida	0.88	Araneae	0.88	Theridiidae	0.20	dummy_Theridiidae	0.20	dummy_Theridiidae	0.20	Theridion	0.17	Theridion_pictum	0.17
SMNKA034-16		Arachnida	1.00	Araneae	1.00	Lycosidae	0.98	dummy_Lycosidae	0.98	dummy_Lycosidae	0.98	Alopecosa	0.72	Alopecosa_pinetorum	0.19
SMNSA171-16		Arachnida	0.93	Araneae	0.93	Theridiidae	0.27	dummy_Theridiidae	0.27	dummy_Theridiidae	0.27	Amaurobius	0.17	Amaurobius_fenestralis	0.17
TIPSY041-08		Insecta	1.00	Lepidoptera	1.00	Psychidae	1.00	Naryciinae	1.00	dummy_Naryciinae	1.00	Dahlica	1.00	Dahlica_lichenella	1.00
TIPSY089-08		Insecta	1.00	Lepidoptera	1.00	Psychidae	1.00	Oiketicinae	1.00	dummy_Oiketicinae	1.00	Canephora	1.00	Canephora_hirsuta	1.00
