ID	class	Prob_class	order	Prob_order	family	Prob_family	subfamily	Prob_subfamily	tribe	Prob_tribe	genus	Prob_genus	species	Prob_species
SMNKA030-16		Arachnida	0.92	Araneae	0.92	Linyphiidae	0.46	dummy_Linyphiidae	0.46	dummy_Linyphiidae	0.46	Pocadicnemis	0.06	Pocadicnemis_pumila	0.06
SRDOC001-15		Insecta	1.00	Diptera	0.76	Mycetophilidae	0.36	Gnoristinae	0.22	dummy_Gnoristinae	0.22	Boletina	0.13	Coelosia_gracilis	0.06
TBGMI188-21		Arachnida	1.00	Sarcoptiformes	1.00	Tenuialidae	1.00	dummy_Tenuialidae	1.00	dummy_Tenuialidae	1.00	Hafenrefferia	1.00	Hafenrefferia_gilvipes	1.00
TBGMI015-21		Insecta	0.98	Coleoptera	0.46	Staphylinidae	0.10	Aleocharinae	0.08	Athetini	0.05	Boletina	0.03	Clemnius_decoratus	0.02
SMNSP634-19		Insecta	1.00	Hymenoptera	0.62	Chrysididae	0.13	Chrysidinae	0.13	dummy_Chrysidinae	0.13	Hedychrum	0.09	Hedychrum_gerstaeckeri	0.07
TACFI464-12		Insecta	1.00	Diptera	1.00	Tachinidae	1.00	Tachininae	1.00	Ernestiini	1.00	Panzeria	1.00	Panzeria_puparum	1.00
SMNSA248-16		Arachnida	0.99	Araneae	0.99	Salticidae	0.44	dummy_Salticidae	0.44	dummy_Salticidae	0.44	Attulus	0.18	Attulus_floricola	0.12
SYGEO183-19		Insecta	1.00	Diptera	1.00	Syrphidae	1.00	Eristalinae	0.99	Volucellini	0.99	Volucella	0.99	Volucella_pellucens	0.99
TBGMI159-21		Insecta	0.69	Sarcoptiformes	0.29	Oppiidae	0.12	dummy_Oppiidae	0.12	dummy_Oppiidae	0.12	Dissorhina	0.11	Dissorhina_ornata	0.11
TBGMI056-21		Insecta	0.99	Diptera	0.53	Chironomidae	0.15	Orthocladiinae	0.07	dummy_Orthocladiinae	0.07	Tanytarsus	0.04	Tanytarsus_striatulus	0.03
TBGMI031-21		Insecta	0.99	Coleoptera	0.34	Staphylinidae	0.15	Aleocharinae	0.06	Athetini	0.04	Celypha	0.02	Celypha_lacunana	0.02
SMNKA041-16		Arachnida	1.00	Araneae	1.00	Theridiidae	1.00	dummy_Theridiidae	1.00	dummy_Theridiidae	1.00	Robertus	1.00	Robertus_scoticus	1.00
TBGMI164-21		Insecta	0.84	Lepidoptera	0.31	Geometridae	0.06	dummy_Sciaridae	0.05	dummy_Sciaridae	0.05	Bradysia	0.03	Nymphula_nitidulata	0.03
RDNMH543-09		Insecta	1.00	Lepidoptera	1.00	Crambidae	1.00	Pyraustinae	1.00	dummy_Pyraustinae	1.00	Anania	1.00	Anania_coronata	1.00
RDBA533-06		Insecta	0.99	Lepidoptera	0.40	Ichneumonidae	0.12	Olethreutinae	0.07	Eucosmini	0.05	Schizopyga	0.05	Schizopyga_podagrica	0.05
SMNKA266-16		Arachnida	1.00	Araneae	1.00	Lycosidae	1.00	dummy_Lycosidae	1.00	dummy_Lycosidae	1.00	Alopecosa	0.87	Alopecosa_pulverulenta	0.44
TBGMI194-21		Insecta	0.95	Diptera	0.40	Chironomidae	0.14	Limnephilinae	0.07	dummy_Limnephilinae	0.07	Limnephilus	0.06	Limnephilus_sericeus	0.03
TRCBG224-20		Insecta	0.99	Diptera	0.39	Tachinidae	0.06	Tachininae	0.04	dummy_Gnoristinae	0.04	Cercyon	0.04	Cercyon_melanocephalus	0.03
TBGMI035-21		Insecta	0.97	Diptera	0.52	Mycetophilidae	0.13	Gnoristinae	0.08	dummy_Gnoristinae	0.08	Boletina	0.07	Limnephilus_centralis	0.03
SYGEO374-19		Insecta	1.00	Diptera	1.00	Syrphidae	1.00	Eristalinae	1.00	Merodontini	1.00	Eumerus	1.00	Eumerus_flavitarsis	1.00
SYGEO127-19		Insecta	1.00	Diptera	1.00	Syrphidae	1.00	Eristalinae	0.97	Milesiini	0.93	Xylota	0.92	Xylota_meigeniana	0.45
SMNSA168-16		Insecta	0.89	Diptera	0.32	Phalangiidae	0.11	Oligolophinae	0.11	dummy_Oligolophinae	0.11	Mitopus	0.10	Mitopus_morio	0.10
SATIP642-09		Insecta	1.00	Diptera	0.89	Tipulidae	0.33	Tipulinae	0.31	dummy_Tipulinae	0.31	Tipula	0.30	Tipula_marginella	0.05
SMNSP872-19		Insecta	0.98	Hymenoptera	0.70	Eulophidae	0.23	Entedoninae	0.12	dummy_Entedoninae	0.12	Pnigalio	0.06	Pnigalio_longulus	0.05
TBGMI174-21		Insecta	0.58	Sarcoptiformes	0.33	Linyphiidae	0.08	dummy_Linyphiidae	0.08	dummy_Linyphiidae	0.08	Chaoborus	0.04	Scheloribates_latipes	0.03
TACFI613-12		Insecta	1.00	Diptera	1.00	Tachinidae	1.00	Phasiinae	1.00	Gymnosomatini	1.00	Gymnosoma	1.00	Gymnosoma_nudifrons	1.00
SMNKA257-16		Arachnida	1.00	Araneae	1.00	Linyphiidae	1.00	dummy_Linyphiidae	1.00	dummy_Linyphiidae	1.00	Bolyphantes	1.00	Bolyphantes_alticeps	1.00
TBGMI037-21		Insecta	0.98	Diptera	0.37	Staphylinidae	0.11	Chironominae	0.06	Chironomini	0.05	Mycetophila	0.03	Aleochara_lanuginosa	0.03
RDNMD363-06		Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Leucaniini	1.00	Leucania	1.00	Leucania_comma	1.00
TIPSY038-08		Insecta	1.00	Lepidoptera	0.87	Psychidae	0.64	Psychinae	0.64	dummy_Psychinae	0.64	Proutia	0.59	Proutia_norvegica	0.42
TACFI204-12		Insecta	1.00	Diptera	1.00	Tachinidae	0.98	Exoristinae	0.97	Exoristini	0.95	Phorocera	0.92	Phorocera_obscura	0.92
TACFI466-12		Insecta	1.00	Diptera	0.88	Tachinidae	0.24	Exoristinae	0.11	dummy_Anthomyiidae	0.09	Spilogona	0.05	Phorbia_atrogrisea	0.04
TACFI447-12		Insecta	1.00	Diptera	0.91	Tachinidae	0.48	Phasiinae	0.33	Cylindromyiini	0.32	Cylindromyia	0.32	Cylindromyia_brassicaria	0.17
TRCBG1489-20		Insecta	0.97	Diptera	0.42	Chironomidae	0.08	Orthocladiinae	0.04	dummy_Orthocladiinae	0.04	Mycetophila	0.03	Cercyon_tristis	0.02
TACFI446-12		Insecta	1.00	Diptera	0.99	Tachinidae	0.96	Phasiinae	0.94	Cylindromyiini	0.94	Cylindromyia	0.94	Cylindromyia_brassicaria	0.85
TANYT085-14		Insecta	1.00	Diptera	0.61	Chironomidae	0.21	Chironominae	0.14	Tanytarsini	0.12	Tanytarsus	0.08	Hydroporus_submuticus	0.04
SCINO728-15		Insecta	1.00	Diptera	0.50	Sciaridae	0.26	dummy_Sciaridae	0.26	dummy_Sciaridae	0.26	Bradysia	0.07	Camptochaeta_camptochaeta	0.04
SMNSA260-16		Arachnida	1.00	Araneae	1.00	Thomisidae	0.93	dummy_Thomisidae	0.93	dummy_Thomisidae	0.93	Xysticus	0.84	Xysticus_obscurus	0.28
TBGMI042-21		Insecta	1.00	Coleoptera	0.43	Staphylinidae	0.13	Mycetophilinae	0.07	Exechiini	0.07	Anatella	0.03	Lasiopogon_septentrionalis	0.03
TRCBG967-20		Insecta	0.99	Diptera	0.45	Mycetophilidae	0.10	Gnoristinae	0.07	dummy_Gnoristinae	0.07	Boletina	0.04	Sorhagenia_lophyrella	0.02
SMNSA107-16		Arachnida	0.99	Araneae	0.99	Linyphiidae	0.98	dummy_Linyphiidae	0.98	dummy_Linyphiidae	0.98	Erigone	0.88	Erigone_welchi	0.82
SMNSA079-16		Arachnida	1.00	Araneae	1.00	Araneidae	1.00	dummy_Araneidae	1.00	dummy_Araneidae	1.00	Gibbaranea	1.00	Gibbaranea_omoeda	1.00
PSESC012-21		Insecta	1.00	Hymenoptera	0.86	Megachilidae	0.50	Megachilinae	0.50	Megachilini	0.25	Coelioxys	0.18	Coelioxys_conoidea	0.12
SMNSA157-16		Arachnida	1.00	Araneae	1.00	Araneidae	1.00	dummy_Araneidae	1.00	dummy_Araneidae	1.00	Araneus	1.00	Araneus_angulatus	1.00
TACFI043-11		Insecta	1.00	Diptera	0.99	Tachinidae	0.71	Exoristinae	0.63	Blondeliini	0.33	Zaira	0.12	Zaira_cinerea	0.12
SMNKA194-16		Arachnida	0.75	Araneae	0.75	Salticidae	0.14	dummy_Salticidae	0.14	dummy_Salticidae	0.14	Neon	0.07	Neon_reticulatus	0.07
SCINO481-15		Insecta	0.99	Diptera	0.78	Tachinidae	0.19	dummy_Sciaridae	0.17	dummy_Sciaridae	0.17	Bactromyia	0.06	Bactromyia_aurulenta	0.06
TACFI574-12		Insecta	1.00	Diptera	1.00	Tachinidae	1.00	Exoristinae	1.00	Acemyini	1.00	Acemya	1.00	Acemya_rufitibia	1.00
RDNMD370-06		Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Noctuini	1.00	Anaplectoides	1.00	Anaplectoides_prasina	1.00
SMNKA057-16		Arachnida	1.00	Araneae	1.00	Linyphiidae	1.00	dummy_Linyphiidae	1.00	dummy_Linyphiidae	1.00	Walckenaeria	1.00	Walckenaeria_obtusa	1.00
TACFI609-12		Insecta	1.00	Diptera	1.00	Tachinidae	0.99	Tachininae	0.98	Ernestiini	0.98	Synactia	0.98	Synactia_parvula	0.98
SMNKA237-16		Arachnida	0.88	Araneae	0.88	Linyphiidae	0.34	dummy_Linyphiidae	0.34	dummy_Linyphiidae	0.34	Araniella	0.18	Araniella_proxima	0.18
TBGMI153-21		Arachnida	1.00	Sarcoptiformes	1.00	Ceratozetidae	1.00	dummy_Ceratozetidae	1.00	dummy_Ceratozetidae	1.00	Fuscozetes	1.00	Fuscozetes_fuscipes	1.00
PYRG084-09		Insecta	1.00	Lepidoptera	1.00	Crambidae	1.00	Pyraustinae	1.00	dummy_Pyraustinae	1.00	Anania	1.00	Anania_coronata	1.00
TACFI603-12		Insecta	1.00	Diptera	1.00	Tachinidae	1.00	Exoristinae	1.00	Blondeliini	1.00	Meigenia	1.00	Meigenia_dorsalis	1.00
TIPSY334-12		Insecta	1.00	Lepidoptera	0.81	Tortricidae	0.22	Tortricinae	0.17	Tortricini	0.17	Acleris	0.15	Acleris_maccana	0.07
TBGMI165-21		Insecta	0.91	Diptera	0.33	Staphylinidae	0.11	Aleocharinae	0.07	dummy_Orthocladiinae	0.05	Sympherta	0.03	Acrogalumna_longipluma	0.03
TBGMI026-21		Insecta	0.98	Coleoptera	0.36	Staphylinidae	0.13	dummy_Sciaridae	0.06	dummy_Sciaridae	0.06	Latridius	0.04	Latridius_consimilis	0.04
SMNSA197-16		Insecta	0.88	Diptera	0.34	Phalangiidae	0.12	Oligolophinae	0.12	dummy_Oligolophinae	0.12	Mitopus	0.12	Mitopus_morio	0.12
TBGMI181-21		Insecta	0.88	Coleoptera	0.21	Miridae	0.12	Phylinae	0.07	Phylini	0.05	Euura	0.04	Bradysia_lilienthalae	0.03
SCINO339-15		Insecta	1.00	Diptera	0.84	Sciaridae	0.69	dummy_Sciaridae	0.69	dummy_Sciaridae	0.69	Camptochaeta	0.25	Camptochaeta_camptochaeta	0.21
SYGEO357-19		Insecta	1.00	Diptera	1.00	Syrphidae	0.99	Eristalinae	0.99	Milesiini	0.97	Xylota	0.96	Xylota_meigeniana	0.53
SIEG014-18		Insecta	1.00	Coleoptera	1.00	Dytiscidae	1.00	Hydroporinae	1.00	Hydroporini	1.00	Nebrioporus	1.00	Nebrioporus_depressus	1.00
RDBA381-06		Insecta	0.96	Lepidoptera	0.31	Tachinidae	0.12	Phasiinae	0.05	Cylindromyiini	0.05	Urophora	0.05	Besseria_anthophila	0.04
TACFI437-12		Insecta	1.00	Diptera	1.00	Tachinidae	1.00	Phasiinae	1.00	Phasiini	1.00	Phasia	1.00	Phasia_aurulans	0.67
SMNSA228-16		Insecta	0.97	Diptera	0.35	Tenthredinidae	0.12	Nematinae	0.09	dummy_Nematinae	0.09	Euura	0.05	Sitona_lineellus	0.03
SMNSA064-16		Arachnida	0.86	Araneae	0.86	Theridiidae	0.46	dummy_Theridiidae	0.46	dummy_Theridiidae	0.46	Theridion	0.16	Theridion_pictum	0.13
TIPSY030-08		Insecta	1.00	Lepidoptera	0.95	Psychidae	0.77	Oiketicinae	0.77	dummy_Oiketicinae	0.77	Phalacropterix	0.51	Phalacropterix_graslinella	0.51
SMNKA171-16		Arachnida	0.93	Araneae	0.93	Gnaphosidae	0.54	dummy_Gnaphosidae	0.54	dummy_Gnaphosidae	0.54	Zelotes	0.25	Zelotes_subterraneus	0.11
TBGMI048-21		Insecta	0.98	Diptera	0.37	Chironomidae	0.09	Harpalinae	0.08	dummy_Orthocladiinae	0.05	Cymindis	0.04	Chilocorus_renipustulatus	0.04
SCINO1264-16		Insecta	1.00	Diptera	0.67	Sciaridae	0.39	dummy_Sciaridae	0.39	dummy_Sciaridae	0.39	Bradysia	0.10	Lycoriella_thuringiensis	0.07
TRCBG996-20		Insecta	1.00	Diptera	0.50	Mycetophilidae	0.11	dummy_Sciaridae	0.06	dummy_Sciaridae	0.06	Scatopsciara	0.04	Scatopsciara_fera	0.04
RDNMG507-08		Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Xylenini	1.00	Leptologia	1.00	Leptologia_lota	1.00
TBGMI054-21		Insecta	0.97	Diptera	0.25	Staphylinidae	0.07	Aleocharinae	0.05	dummy_Orthocladiinae	0.04	Sciocoris	0.03	Sciocoris_microphthalmus	0.02
ZYGMO233-10		Insecta	1.00	Lepidoptera	1.00	Zygaenidae	1.00	Procridinae	1.00	Procridini	1.00	Rhagades	1.00	Rhagades_pruni	1.00
SMNKA111-16		Arachnida	0.99	Araneae	0.99	Lycosidae	0.81	dummy_Lycosidae	0.81	dummy_Lycosidae	0.81	Alopecosa	0.20	Hygrolycosa_rubrofasciata	0.16
TBGMI038-21		Insecta	0.98	Diptera	0.39	Carabidae	0.19	Harpalinae	0.17	Harpalini	0.08	Harpalus	0.06	Phronia_portschinskyi	0.03
SYGEO137-19		Insecta	1.00	Diptera	0.97	Syrphidae	0.59	Eristalinae	0.54	Milesiini	0.36	Spilomyia	0.25	Spilomyia_diophthalma	0.25
TACFI008-11		Insecta	1.00	Diptera	0.98	Tachinidae	0.68	Phasiinae	0.45	Phasiini	0.38	Phasia	0.38	Phasia_barbifrons	0.14
TACFI757-13		Insecta	1.00	Diptera	1.00	Tachinidae	1.00	Tachininae	1.00	Tachinini	1.00	Tachina	1.00	Tachina_fera	1.00
SMNKA174-16		Arachnida	0.99	Araneae	0.99	Linyphiidae	0.91	dummy_Linyphiidae	0.91	dummy_Linyphiidae	0.91	Walckenaeria	0.35	Walckenaeria_cuspidata	0.20
TACFI055-11		Insecta	1.00	Diptera	0.95	Tachinidae	0.45	Tachininae	0.28	dummy_Anthomyiidae	0.19	Pseudopachystylum	0.07	Pseudopachystylum_gonioides	0.07
SMNKA058-16		Arachnida	1.00	Araneae	1.00	Thomisidae	0.88	dummy_Thomisidae	0.88	dummy_Thomisidae	0.88	Xysticus	0.81	Xysticus_luctuosus	0.24
TIPSY022-08		Insecta	1.00	Lepidoptera	1.00	Psychidae	1.00	Psychinae	1.00	dummy_Psychinae	1.00	Proutia	1.00	Proutia_rotunda	1.00
SMNKA259-16		Arachnida	1.00	Araneae	1.00	Linyphiidae	1.00	dummy_Linyphiidae	1.00	dummy_Linyphiidae	1.00	Bolyphantes	1.00	Bolyphantes_alticeps	1.00
SMNKA201-16		Arachnida	1.00	Araneae	1.00	Linyphiidae	1.00	dummy_Linyphiidae	1.00	dummy_Linyphiidae	1.00	Agyneta	0.98	Agyneta_mossica	0.68
TACFI199-12		Insecta	1.00	Diptera	0.88	Tachinidae	0.59	Phasiinae	0.27	Phasiini	0.27	Phasia	0.27	Phasia_barbifrons	0.22
TACFI438-12		Insecta	1.00	Diptera	1.00	Tachinidae	1.00	Phasiinae	1.00	Phasiini	1.00	Phasia	1.00	Phasia_obesa	0.61
TANYT061-14		Insecta	1.00	Diptera	1.00	Chironomidae	0.99	Chironominae	0.99	Tanytarsini	0.97	Tanytarsus	0.97	Tanytarsus_occultus	0.97
SMNKA218-16		Arachnida	1.00	Araneae	1.00	Lycosidae	1.00	dummy_Lycosidae	1.00	dummy_Lycosidae	1.00	Pardosa	0.99	Pardosa_schenkeli	0.95
TBGMI010-21		Insecta	0.95	Diptera	0.37	Staphylinidae	0.07	Aphodiinae	0.05	Aphodiini	0.05	Crypturgus	0.03	Crypturgus_subcribrosus	0.03
SMNKA283-16		Arachnida	0.99	Araneae	0.99	Linyphiidae	0.55	dummy_Linyphiidae	0.55	dummy_Linyphiidae	0.55	Bathyphantes	0.07	Kaestneria_pullata	0.07
PMANL3464-14		Insecta	1.00	Lepidoptera	1.00	Pyralidae	1.00	Phycitinae	1.00	dummy_Phycitinae	1.00	Homoeosoma	1.00	Homoeosoma_nebulella	0.90
SMNSA028-16		Arachnida	1.00	Araneae	1.00	Lycosidae	1.00	dummy_Lycosidae	1.00	dummy_Lycosidae	1.00	Pardosa	1.00	Pardosa_schenkeli	0.87
SMNKA034-16		Arachnida	1.00	Araneae	1.00	Lycosidae	0.97	dummy_Lycosidae	0.97	dummy_Lycosidae	0.97	Alopecosa	0.88	Alopecosa_taeniata	0.30
TACFI664-12		Insecta	1.00	Diptera	1.00	Tachinidae	1.00	Exoristinae	1.00	Eryciini	1.00	Senometopia	1.00	Senometopia_pollinosa	0.82
SMNKA313-16		Arachnida	0.83	Araneae	0.83	Theridiidae	0.17	dummy_Theridiidae	0.17	dummy_Theridiidae	0.17	Agroeca	0.08	Pisaura_mirabilis	0.06
TBGMI028-21		Insecta	0.99	Diptera	0.29	Tachinidae	0.06	Coccinellinae	0.04	Coccinellini	0.04	Calvia	0.04	Calvia_quatuordecimguttata	0.04
SMNSA171-16		Arachnida	0.89	Araneae	0.89	Theridiidae	0.38	dummy_Theridiidae	0.38	dummy_Theridiidae	0.38	Robertus	0.13	Neon_reticulatus	0.09
TIPSY089-08		Insecta	1.00	Lepidoptera	1.00	Psychidae	1.00	Oiketicinae	1.00	dummy_Oiketicinae	1.00	Canephora	1.00	Canephora_hirsuta	1.00
TIPSY041-08		Insecta	1.00	Lepidoptera	1.00	Psychidae	1.00	Naryciinae	1.00	dummy_Naryciinae	1.00	Dahlica	1.00	Dahlica_lichenella	1.00
SMNKA153-16		Arachnida	1.00	Araneae	1.00	Linyphiidae	1.00	dummy_Linyphiidae	1.00	dummy_Linyphiidae	1.00	Agyneta	0.99	Agyneta_mossica	0.67
