LR994329 Fungi
MG200132 Fungi|Ascomycota|Sordariomycetes|Glomerellales|Glomerellaceae|Colletotrichum|Colletotrichum_gloeosporioides
MT785848 Fungi|Ascomycota
KY689645 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae|Fusarium|Fusarium_brachygibbosum
KY654522 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae|Fusarium|Fusarium_thapsinum
MK715237 Fungi|Ascomycota|Eurotiomycetes|Chaetothyriales|Herpotrichiellaceae|Phialophora
KJ562365 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae|Fusarium|Fusarium_venenatum
KT582161 Fungi|Ascomycota|Sordariomycetes|Glomerellales|Glomerellaceae|Colletotrichum|Colletotrichum_dematium
MK761043 Fungi|Ascomycota|Eurotiomycetes|Eurotiales|Aspergillaceae|Aspergillus|Aspergillus_tubingensis
MZ014637 Fungi|Basidiomycota|Agaricomycetes|Polyporales|Phanerochaetaceae|Bjerkandera
GU053988 Fungi|Ascomycota|Eurotiomycetes|Eurotiales
MK673237 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae|Fusarium|Fusarium_graminearum
MW881048 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae|Fusarium|Fusarium_sambucinum
MK053582 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Ophiocordycipitaceae|Purpureocillium|Purpureocillium_lilacinum
KM231812 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae|Fusarium|Fusarium_verrucosum
KX461969 Fungi|Ascomycota|Leotiomycetes|Helotiales|Leptodontidiaceae|Leptodontidium
UDB01929430 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae|Nectria
FJ555527 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae|Pseudonectria|Pseudonectria_buxi
UDB02243443 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Niessliaceae
MH862057 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae|Nectria|Nectria_neogrammicospora
UDB03014994 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae|Paracremonium
OR742031 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Hypocreales_fam_Incertae_sedis_Acremoniopsis|Acremoniopsis
OR237678 Fungi|Ascomycota|Sordariomycetes|Coniochaetales|Coniochaetaceae|Coniochaeta|Coniochaeta_psammospora
MT940863 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Entolomataceae|Entoloma|Entoloma_inutile
MT878366 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Entolomataceae|Entoloma|Entoloma_porphyrescens
OQ226175 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Entolomataceae|Entoloma
MT940862 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Entolomataceae|Entoloma|Entoloma_porphyroleucum
UDB02637430 Fungi|Ascomycota|Orbiliomycetes|Orbiliales
AM999619 Fungi|Ascomycota|Orbiliomycetes
UDB01676307 Fungi|Basidiomycota|Agaricomycetes|Cantharellales|Ceratobasidiaceae
UDB01689064 Fungi|Basidiomycota|Agaricomycetes|Cantharellales|Ceratobasidiaceae|Ceratobasidium
UDB01605992 Fungi|Basidiomycota|Agaricomycetes|Cantharellales
UDB02649731 Fungi|Basidiomycota|Agaricomycetes|Russulales|Russulaceae|Lactifluus
MW007669 Fungi|Basidiomycota|Agaricomycetes|Russulales|Russulaceae|Lactifluus|Lactifluus_lactiglaucus
KT833866 Fungi|Basidiomycota|Agaricomycetes|Russulales|Russulaceae|Lactifluus|Lactifluus_glaucescens
OP420542 Fungi|Basidiomycota|Agaricomycetes|Russulales|Russulaceae|Lactifluus|Lactifluus_chiangraiensis
UDB02644328 Fungi|Basidiomycota|Agaricomycetes|Geastrales|Geastraceae|Geastrum
UDB01630533 Fungi|Ascomycota|Eurotiomycetes|Chaetothyriales|Herpotrichiellaceae|Capronia
UDB03008874 Fungi|Ascomycota|Eurotiomycetes|Chaetothyriales|Paracladophialophoraceae|Paracladophialophora
KC965864 Fungi|Ascomycota|Eurotiomycetes|Chaetothyriales
UDB03046080 Fungi|Ascomycota|Eurotiomycetes|Chaetothyriales|Herpotrichiellaceae|Cladophialophora
UDB03386158 Fungi|Ascomycota|Eurotiomycetes|Chaetothyriales|Herpotrichiellaceae
UDB02658637 Fungi|Ascomycota|Lecanoromycetes|Ostropales
KX228271 Fungi|Ascomycota|Lecanoromycetes|Ostropales|Ostropales_fam_Incertae_sedis_Mulderomyces|Mulderomyces|Mulderomyces_natalis
ON567324 Fungi|Basidiomycota|Agaricomycetes|Hymenochaetales|Hymenochaetaceae|Coltricia|Coltricia_cinnamomea
MN121007 Fungi|Basidiomycota|Agaricomycetes|Hymenochaetales|Hymenochaetaceae|Coltricia
MH756073 Fungi|Ascomycota|Dothideomycetes|Stigmatodiscales|Stigmatodiscaceae|Stigmatodiscus|Stigmatodiscus_pinicola
KX611110 Fungi|Ascomycota|Dothideomycetes|Stigmatodiscales|Stigmatodiscaceae|Stigmatodiscus|Stigmatodiscus_pruni
EF601041 Fungi|Ascomycota|Saccharomycetes|Saccharomycetales|Saccharomycetales_fam_Incertae_sedis_Candida|Candida
KU325451 Fungi|Ascomycota|Leotiomycetes|Helotiales|Mollisiaceae|Mollisia|Mollisia_cinerea
KU325268 Fungi|Ascomycota|Sordariomycetes|Microascales|Microascales_fam_Incertae_sedis_Masoniella|Masoniella
KU325426 Fungi|Ascomycota|Dothideomycetes|Pleosporales|Pleosporaceae|Alternaria|Alternaria_metachromatica
KU325224 Fungi|Ascomycota|Dothideomycetes|Pleosporales|Pleosporaceae|Alternaria
KU325425 Fungi|Ascomycota|Dothideomycetes|Pleosporales|Pleosporaceae|Alternaria|Alternaria_oregonensis
KU325121 Fungi|Ascomycota|Dothideomycetes|Pleosporales|Pleosporaceae|Alternaria|Alternaria_infectoria
AF462433 Fungi|Ascomycota|Dothideomycetes|Dothideales|Dothideales_fam_Incertae_sedis_Rhizosphaera|Rhizosphaera
KU325222 Fungi|Ascomycota|Dothideomycetes|Dothideales|Dothideales_fam_Incertae_sedis_Coniozyma|Coniozyma|Coniozyma_leucospermi
MW871708 Fungi|Ascomycota|Pezizomycetes|Pezizales|Pyronemataceae|Smardaea|Smardaea_planchonis
KU325212 Fungi|Ascomycota|Dothideomycetes|Pleosporales|Phaeosphaeriaceae|Phaeosphaeriopsis|Phaeosphaeriopsis_glaucopunctata
KU325219 Fungi|Ascomycota|Pezizomycetes|Pezizales|Pezizaceae|Chromelosporium
KU325456 Fungi|Ascomycota|Eurotiomycetes|Eurotiales|Aspergillaceae|Penicillium
KU325084 Fungi|Ascomycota|Eurotiomycetes|Eurotiales|Aspergillaceae|Penicillium|Penicillium_canescens
KU325090 Fungi|Ascomycota|Sordariomycetes|Coniochaetales|Coniochaetaceae|Coniochaeta
OL614780 Fungi|Ascomycota|Sordariomycetes|Sordariales|Bombardiaceae|Fimetariella
KU325070 Fungi|Ascomycota|Sordariomycetes|Sordariales|Bombardiaceae|Fimetariella|Fimetariella_rabenhorstii
UDB01672310 Fungi|Ascomycota|Sordariomycetes|Cephalothecales|Cephalothecaceae|Cephalotheca
UDB02684867 Fungi|Basidiomycota|Agaricomycetes|Corticiales|Corticiaceae|Laetisaria
UDB0956941 Fungi|Basidiomycota|Agaricomycetes
MF070056 Fungi|Basidiomycota|Agaricomycetes|Corticiales|Corticiaceae|Lawreymyces
KY462668 Fungi|Basidiomycota|Agaricomycetes|Corticiales
KY173476 Fungi|Ascomycota|Dothideomycetes|Mycosphaerellales|Teratosphaeriaceae|Hyweljonesia|Hyweljonesia_queenslandica
LT604850 Fungi|Ascomycota|Dothideomycetes|Capnodiales
MF506821 Fungi|Basidiomycota|Agaricomycetes|Geastrales|Geastraceae|Geastrum|Geastrum_triplex
UDB03829412 Fungi|Basidiomycota|Agaricomycetes|Cantharellales|Hydnaceae|Membranomyces
ON365714 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Cordycipitaceae|Parengyodontium|Parengyodontium_album
MH400794 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Cordycipitaceae|Lecanicillium
EF641891 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Cordycipitaceae|Gamszarea|Gamszarea_wallacei
MW506833 Fungi|Basidiomycota|Agaricomycetes|Gomphales|Gomphaceae|Gloeocantharellus
KM278107 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae|Albonectria|Albonectria_rigidiuscula
KU534738 Fungi|Basidiomycota
UDB02532881 Fungi|Ascomycota|Eurotiomycetes|Onygenales
AF298129 Fungi|Ascomycota|Coniocybomycetes|Coniocybales|Coniocybaceae|Chaenotheca|Chaenotheca_hygrophila
KJ698636 Fungi|Basidiomycota|Agaricomycetes|Polyporales|Meruliaceae|Aurantiporus|Aurantiporus_roseus
MN930629 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Marasmiaceae|Marasmius
KX953750 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Marasmiaceae|Marasmius|Marasmius_megistus
UDB02715377 Fungi|Ascomycota|Sordariomycetes|Sordariales|Lasiosphaeriaceae
UDB07310742 Fungi|Ascomycota|Sordariomycetes|Sordariales
HM362907 Fungi|Basidiomycota|Agaricomycetes|Hymenochaetales|Hymenochaetaceae|Inonotus|Inonotus_rickii
MZ484601 Fungi|Basidiomycota|Agaricomycetes|Hymenochaetales|Hymenochaetaceae|Inonotus|Inonotus_boninensis
AF193352 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Typhulaceae|Typhula|Typhula_ishikariensis
KT987448 Fungi|Ascomycota|Dothideomycetes
UDB03146087 Fungi|Glomeromycota|Glomeromycetes|Glomerales|Glomeraceae|Glomus
JX096574 Fungi|Glomeromycota|Glomeromycetes|Glomerales|Glomeraceae
KJ706776 Fungi|Ascomycota|Saccharomycetes|Saccharomycetales|Metschnikowiaceae|Metschnikowia|Metschnikowia_noctiluminum
KX227745 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Clavariaceae|Ramariopsis|Ramariopsis_atlantica
OQ718062 Fungi|Ascomycota|Lecanoromycetes|Caliciales|Physciaceae|Rinodina|Rinodina_leprosa
OQ718061 Fungi|Ascomycota|Lecanoromycetes|Caliciales|Physciaceae|Rinodina|Rinodina_isidioides
AF250812 Fungi|Ascomycota|Lecanoromycetes|Caliciales|Physciaceae|Rinodina|Rinodina_plana
UDB06665430 Fungi|Ascomycota|Lecanoromycetes|Caliciales|Physciaceae|Rinodina
MN587029 Fungi|Ascomycota|Lecanoromycetes|Caliciales|Physciaceae|Rinodina|Rinodina_cana
AF250813 Fungi|Ascomycota|Lecanoromycetes|Caliciales|Physciaceae|Rinodina|Rinodina_sophodes
AJ544187 Fungi|Ascomycota|Lecanoromycetes|Caliciales|Physciaceae|Rinodina|Rinodina_gennarii
MK282439 Fungi|Ascomycota|Dothideomycetes|Pleosporales
KP099074 Fungi|Ascomycota|Dothideomycetes|Pleosporales|Trematosphaeriaceae|Trematosphaeria|Trematosphaeria_grisea
KU515880 Fungi|Basidiomycota|Tremellomycetes|Tremellales|Bulleribasidiaceae|Dioszegia
UDB01571925 Fungi|Basidiomycota|Tremellomycetes|Tremellales|Bulleribasidiaceae
EU697242 Fungi|Basidiomycota|Agaricomycetes|Gomphales|Gomphaceae|Turbinellus|Turbinellus_floccosus
LC260438 Fungi|Basidiomycota|Agaricomycetes|Gomphales|Gomphaceae|Turbinellus
OK332983 Fungi|Ascomycota|Lecanoromycetes|Lecideales|Lecideaceae|Lecidea|Lecidea_plebeja
UDB02752975 Fungi|Ascomycota|Lecanoromycetes|Lecideales|Lecideaceae
OQ717469 Fungi|Ascomycota|Lecanoromycetes|Lecideales|Lecideaceae|Lecidea|Lecidea_betulicola
MF908496 Fungi|Ascomycota|Lecanoromycetes|Peltigerales|Peltigeraceae|Peltigera
DQ066702 Fungi|Ascomycota|Lecanoromycetes|Peltigerales|Peltigeraceae|Nephroma|Nephroma_helveticum
HM017026 Fungi|Ascomycota|Lecanoromycetes|Lecanorales|Parmeliaceae|Parmotrema
ON312515 Fungi|Ascomycota|Lecanoromycetes|Lecanorales|Parmeliaceae|Parmotrema|Parmotrema_mellissii
UDB02809230 Fungi|Ascomycota|Leotiomycetes|Leotiales|Leotiaceae|Leotia
DQ660335 Fungi|Ascomycota|Sordariomycetes|Amphisphaeriales|Oxydothidaceae|Oxydothis|Oxydothis_daemonoropsicola
UDB02819431 Fungi|Ascomycota|Leotiomycetes|Leotiales
UDB06892330 Fungi|Ascomycota|Leotiomycetes|Leotiales|Tympanidaceae
UDB0565012 Fungi|Ascomycota|Leotiomycetes
UDB03339686 Fungi|Ascomycota|Leotiomycetes|Helotiales
UDB06780284 Fungi|Basidiomycota|Agaricomycetes|Sebacinales|Sebacinaceae|Sebacina
OR783535 Fungi|Basidiomycota|Pucciniomycetes|Pucciniales|Pucciniaceae|Puccinia
HQ184334 Fungi|Basidiomycota|Pucciniomycetes|Pucciniales|Pucciniaceae|Puccinia|Puccinia_crupinae
MW009442 Fungi|Basidiomycota|Pucciniomycetes|Pucciniales|Pucciniaceae|Uromyces
EF635896 Fungi|Basidiomycota|Pucciniomycetes|Pucciniales|Pucciniales_fam_Incertae_sedis_Aecidium|Aecidium|Aecidium_brachycomes
EF635897 Fungi|Basidiomycota|Pucciniomycetes|Pucciniales|Pucciniaceae|Puccinia|Puccinia_dioicae
ON063373 Fungi|Basidiomycota|Pucciniomycetes|Pucciniales|Pucciniaceae|Puccinia|Puccinia_punctiformis
MW447820 Fungi|Basidiomycota|Pucciniomycetes|Pucciniales|Pucciniaceae|Puccinia|Puccinia_circaeae-caricis
KM217352 Fungi|Basidiomycota|Pucciniomycetes|Pucciniales|Raveneliaceae|Diorchidium|Diorchidium_woodii
OL437017 Fungi|Basidiomycota|Pucciniomycetes|Pucciniales|Pucciniaceae|Puccinia|Puccinia_canaliculata
KM096424 Fungi|Basidiomycota|Pucciniomycetes|Pucciniales|Pucciniaceae|Puccinia|Puccinia_violae
KP240635 Fungi|Basidiomycota|Pucciniomycetes|Pucciniales|Pucciniaceae|Puccinia|Puccinia_calcitrapae
UDB01813673 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Inocybaceae|Inocybe
KP641633 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Inocybaceae|Inocybe|Inocybe_tertia
UDB05025333 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Agaricaceae|Cystolepiota
UDB0886759 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Agaricaceae
UDB034511 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Agaricaceae|Leucoagaricus
KP754069 Fungi|Basidiomycota|Agaricomycetes|Russulales|Russulaceae|Russula
OQ725148 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Agaricaceae|Lepiota
AY450580 Fungi|Ascomycota|Lecanoromycetes|Caliciales|Caliciaceae|Calicium|Calicium_tricolor
AY450571 Fungi|Ascomycota|Lecanoromycetes|Caliciales|Caliciaceae|Calicium|Calicium_glaucellum
MT803545 Fungi|Ascomycota|Lecanoromycetes|Caliciales|Caliciaceae|Calicium|Calicium_pinastri
KX529069 Fungi|Ascomycota|Lecanoromycetes|Caliciales|Caliciaceae|Calicium|Calicium_montanum
EU010389 Fungi|Ascomycota|Lecanoromycetes|Caliciales|Caliciaceae|Calicium|Calicium_victorianum
KY101633 Fungi|Ascomycota|Saccharomycetes|Saccharomycetales|Saccharomycopsidaceae|Ambrosiozyma|Ambrosiozyma_platypodis
EU920671 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Pluteaceae|Volvariella
KF041364 Fungi|Ascomycota|Pezizomycetes|Pezizales|Pyronemataceae|Genea
MN258692 Fungi|Basidiomycota|Agaricomycetes|Lepidostromatales|Lepidostromataceae|Sulzbacheromyces|Sulzbacheromyces_sinensis
MH930276 Fungi|Basidiomycota|Agaricomycetes|Hysterangiales|Gallaceaceae|Hallingea
KP191958 Fungi|Basidiomycota|Agaricomycetes|Hysterangiales|Gallaceaceae|Austrogautieria
OK159909 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Hymenogastraceae|Hymenogaster|Hymenogaster_monosporus
UDB02920401 Fungi|Ascomycota|Geoglossomycetes|Geoglossales|Geoglossaceae
UDB06605231 Fungi|Ascomycota|Geoglossomycetes|Geoglossales|Geoglossaceae|Trichoglossum
FN397437 Fungi|Ascomycota|Geoglossomycetes|Geoglossales
HG995609 Fungi|Ascomycota|Geoglossomycetes
OM346691 Fungi|Ascomycota|Dothideomycetes|Muyocopronales|Muyocopronaceae|Mycoleptodiscus
KX228279 Fungi|Ascomycota|Dothideomycetes|Muyocopronales|Muyocopronaceae|Paramycoleptodiscus|Paramycoleptodiscus_albiziae
UDB04576388 Fungi|Ascomycota|Sordariomycetes|Phomatosporales
MH267991 Fungi|Ascomycota|Sordariomycetes|Magnaporthales|Magnaporthaceae
MG664360 Fungi|Glomeromycota
DQ660334 Fungi|Ascomycota|Sordariomycetes|Amphisphaeriales|Oxydothidaceae|Oxydothis|Oxydothis_cyrtostachicola
MH268015 Fungi|Ascomycota|Sordariomycetes|Amphisphaeriales|Oxydothidaceae|Oxydothis
UDB02315938 Fungi|Ascomycota|Eurotiomycetes|Chaetothyriales|Trichomeriaceae|Knufia
UDB01289384 Fungi|Ascomycota|Eurotiomycetes|Chaetothyriales|Trichomeriaceae|Arthrocladium
UDB06629381 Fungi|Ascomycota|Eurotiomycetes|Chaetothyriales|Trichomeriaceae
HF675445 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Tricholomataceae
KF959778 Fungi|Ascomycota|Eurotiomycetes|Verrucariales|Verrucariaceae|Endocarpon|Endocarpon_petrolepideum
HM239990 Fungi|Ascomycota|Eurotiomycetes|Verrucariales|Verrucariaceae
OM228823 Fungi|Ascomycota|Eurotiomycetes|Verrucariales|Verrucariaceae|Willeya
MZ244202 Fungi|Ascomycota|Eurotiomycetes|Verrucariales|Verrucariaceae|Verrucaria|Verrucaria_nigrescens
OQ361527 Fungi|Ascomycota|Eurotiomycetes|Verrucariales|Verrucariaceae|Endocarpon|Endocarpon_adsurgens
UDB05308146 Fungi|Ascomycota|Eurotiomycetes|Verrucariales|Verrucariaceae|Endocarpon
KC965498 Fungi|Ascomycota|Eurotiomycetes|Verrucariales
KY439890 Fungi|Ascomycota|Eurotiomycetes|Verrucariales|Verrucariaceae|Verrucaria
KF959798 Fungi|Ascomycota|Eurotiomycetes|Verrucariales|Verrucariaceae|Willeya|Willeya_protrudens
OM417216 Fungi|Ascomycota|Eurotiomycetes|Verrucariales|Verrucariaceae|Verrucaria|Verrucaria_fusconigrescens
OL396652 Fungi|Ascomycota|Eurotiomycetes|Verrucariales|Verrucariaceae|Verrucaria|Verrucaria_furfuracea
DQ826735 Fungi|Ascomycota|Eurotiomycetes|Verrucariales|Verrucariaceae|Endocarpon|Endocarpon_pallidulum
OQ918733 Fungi|Ascomycota|Eurotiomycetes|Verrucariales|Verrucariaceae|Verrucaria|Verrucaria_fusca
KC496011 Fungi|Ascomycota|Eurotiomycetes|Verrucariales|Verrucariaceae|Verrucaria|Verrucaria_squamulosa
FJ645260 Fungi|Ascomycota|Eurotiomycetes|Verrucariales|Verrucariaceae|Verrucaria|Verrucaria_cernaensis
KF959807 Fungi|Ascomycota|Eurotiomycetes|Verrucariales|Verrucariaceae|Willeya|Willeya_laevigata
OQ361507 Fungi|Ascomycota|Eurotiomycetes|Verrucariales|Verrucariaceae|Endocarpon|Endocarpon_unifoliatum
KM261817 Fungi|Ascomycota|Eurotiomycetes|Verrucariales|Verrucariaceae|Verrucaria|Verrucaria_submersella
OM228783 Fungi|Ascomycota|Eurotiomycetes|Verrucariales|Verrucariaceae|Staurothele|Staurothele_honghensis
OQ411124 Fungi|Ascomycota|Sordariomycetes|Xylariales|Diatrypaceae|Cryptovalsa|Cryptovalsa_ampelina
AY571043 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Agaricales_fam_Incertae_sedis_Henningsomyces|Henningsomyces|Henningsomyces_candidus
JN172989 Fungi|Ascomycota|Pezizomycetes|Pezizales|Pyronemataceae|Pustularia
UDB03757379 Fungi|Ascomycota|Lecanoromycetes|Peltigerales|Pannariaceae|Pectenia
UDB02996433 Fungi|Ascomycota|Lecanoromycetes|Peltigerales|Pannariaceae
UDB03003576 Fungi|Ascomycota|Sordariomycetes|Diaporthomycetidae_ord_Incertae_sedis_Papulosaceae|Papulosaceae|Papulosa
UDB03155163 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Lycoperdaceae|Lycoperdon
UDB03148351 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Lycoperdaceae
KR135347 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Lycoperdaceae|Morganella
LC661453 Fungi|Ascomycota|Saccharomycetes|Saccharomycetales|Trigonopsidaceae|Trigonopsis
KY105765 Fungi|Ascomycota|Saccharomycetes|Saccharomycetales|Trigonopsidaceae|Trigonopsis|Trigonopsis_vinaria
KY105377 Fungi|Ascomycota|Schizosaccharomycetes|Schizosaccharomycetales|Schizosaccharomycetaceae|Schizosaccharomyces|Schizosaccharomyces_octosporus
UDB01456719 Fungi|Basidiomycota|Atractiellomycetes|Atractiellales
UDB04960305 Fungi|Basidiomycota|Pucciniomycetes|Platygloeales
UDB03038635 Fungi|Basidiomycota|Agaricomycetes|Atheliales|Byssocorticiaceae|Leptosporomyces
MG553132 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Cortinariaceae|Cortinarius
OL853570 Fungi|Basidiomycota|Agaricostilbomycetes|Agaricostilbales|Ruineniaceae|Ruinenia
KT328635 Fungi|Basidiomycota|Agaricostilbomycetes|Agaricostilbales
KJ706834 Fungi|Basidiomycota|Agaricostilbomycetes|Agaricostilbales|Ruineniaceae|Ruinenia|Ruinenia_dracophylli
KJ706841 Fungi|Basidiomycota|Agaricostilbomycetes|Agaricostilbales|Ruineniaceae|Ruinenia|Ruinenia_rubra
MK050372 Fungi|Basidiomycota|Agaricostilbomycetes|Agaricostilbales|Ruineniaceae|Ruinenia|Ruinenia_fanjingshanensis
KU058528 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Tricholomataceae|Tricholoma
KJ705237 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Tricholomataceae|Tricholoma|Tricholoma_ustale
