ID	order	family	subfamily	tribe	genus	species	Prob_order	Prob_family	Prob_subfamily	Prob_tribe	Prob_genus	Prob_species
SMNKA264-16	Araneae	Linyphiidae	Moriniinae	Mycetaulini	Erigonella	Rhagades_pruni	0.999788	0.98786247	0.31966808	0.13458921	0.044017665	0.0522365
TBGMI055-21	Sarcoptiformes	Chamobatidae	Buprestinae	Buprestini	Poecilonota	Buprestis_novemmaculata	0.99854374	0.12963408	0.46193716	0.69825155	0.043518532	0.57107747
SCINO1501-16	Diptera	Sciaridae	Mycetophilinae	Pentaneurini	Acnemia	Paratanytarsus_dissimilis	0.9999975	0.50619566	0.35780075	0.5582038	0.13892658	0.19814394
SCINO499-15	Diptera	Sciaridae	Orthocladiinae	Exechiini	Anatella	Cryptochironomus_obreptans	0.99999774	0.67497534	0.9045036	0.48434985	0.46975017	0.3659992
TACFI408-12	Diptera	Tachinidae	Tachininae	Ernestiini	Pseudopachystylum	Tachina_grossa	0.9999982	0.8771585	0.63650626	0.8829907	0.2299826	0.099884234
ZMBN1662-20	Hemiptera	Saldidae	Saldinae	Saldoidini	Salda	Saldula_saltatoria	0.99999785	0.7782841	0.7297801	0.5852258	0.18501572	0.163487
SRCNC528-16	Diptera	Chironomidae	Cylindrotominae	Chironomini	Microdon	Melanostoma_dubium	1.0	0.346132	0.27280712	0.23784056	0.06714942	0.095739715
TBGMI199-22	Diptera	Sciaridae	Cryptinae	Chironomini	Lycoriella	Pelosia_obtusa	0.9989729	0.9081863	0.85629874	0.21156393	0.4326311	0.06243706
TACFI219-12	Diptera	Scarabaeidae	Aphodiinae	Aphodiini	Amphimallon	Amphimallon_solstitiale	0.9661964	0.79885304	0.8836299	0.5810758	0.12720728	0.05881854
RDNMG509-08	Lepidoptera	Noctuidae	Noctuinae	Tholerini	Cerapteryx	Cerapteryx_graminis	0.99999666	0.94025475	0.58070344	0.4136774	0.7152642	0.7685874
SMNSA063-16	Araneae	Theridiidae	Tanypodinae	Procladiini	Ischnocoris	Xylocoris_parvulus	0.995852	0.87207526	0.8564676	0.110930316	0.09717275	0.08967257
SMNSH037-23	Hymenoptera	Ichneumonidae	Campopleginae	Miscophini	Hagenella	Tycherus_bellicornis	0.965624	0.36959046	0.5438789	0.260014	0.22404905	0.0618593
TRIFI1404-18	Trichoptera	Limnephilidae	Limnephilinae	Tanytarsini	Limnephilus	Lasionhada_proxima	0.9999838	0.9844282	0.96237457	0.08334784	0.12830313	0.11412076
TACFI205-12	Diptera	Ulidiidae	Tanypodinae	Otitini	Corynoneura	Phorocera_obscura	0.9999232	0.30075872	0.3922178	0.2505421	0.077473566	0.1838728
SRDOC001-15	Diptera	Mycetophilidae	Gnoristinae	Mycetophilini	Boletina	Brevicornu_subfissicauda	0.9999989	0.99898666	0.9830183	0.5465899	0.85493815	0.15991586
TBGMI155-21	Sarcoptiformes	Gustaviidae	Liposcelidinae	Corixini	Gustavia	Gustavia_microcephala	1.0	0.9139353	0.09443483	0.46921426	0.61538446	0.9007627
SMNSP634-19	Hymenoptera	Astatidae	Pteromalinae	Crabronini	Mesopolobus	Lindenius_albilabris	0.9999862	0.38832325	0.5152322	0.7301413	0.081980936	0.14722586
SMNKA030-16	Araneae	Linyphiidae	Chrysidinae	Forcipomyiini	Tallusia	Argyroneta_aquatica	1.0	0.762364	0.4706045	0.44201678	0.5198197	0.16141216
TACFI464-12	Diptera	Stratiomyidae	Tachininae	Chironomini	Acrometopia	Chamaemyia_elegans	1.0	0.37749493	0.44014388	0.60769033	0.066849254	0.04228277
TBGMI188-21	Sarcoptiformes	Tenuialidae	Tachyporinae	Lathrobiini	Suctobelbella	Hafenrefferia_gilvipes	0.9994536	0.6260727	0.25767818	0.13477337	0.11813615	0.75603735
TBGMI015-21	Sarcoptiformes	Ameronothridae	Liposcelidinae	Mordellini	Rybaxis	Hoshihananomia_perlata	0.9999126	0.28092685	0.19141716	0.38405684	0.13992009	0.13636614
SYGEO183-19	Diptera	Dolichopodidae	Dioctriinae	Chironomini	Pegomya	Liopiophila_varipes	0.9999814	0.31015787	0.17441839	0.69215554	0.3594567	0.044549517
SMNSA248-16	Araneae	Salticidae	Rhagioninae	Simuliini	Pentastiridius	Theridion_mystaceum	1.0	0.9956117	0.44200146	0.4186505	0.050354786	0.155432
TBGMI159-21	Sarcoptiformes	Suctobelbidae	Gnoristinae	Coryphacini	Valenzuela	Lasionhada_proxima	0.99999964	0.3060624	0.20924853	0.1666025	0.18174303	0.0874464
SMNKA041-16	Araneae	Dictynidae	Tanypodinae	Clinotanypodini	Robertus	Robertus_scoticus	0.9844779	0.30173847	0.2563116	0.29108986	0.13694872	0.7534423
RDNMH543-09	Lepidoptera	Crambidae	Incurvariinae	Procridini	Valenzuela	Coleophora_follicularis	0.99999297	0.13055728	0.35241854	0.2083337	0.23709334	0.44977307
TBGMI056-21	Diptera	Chironomidae	Chironominae	Chironomini	Macrocera	Pseudochironomus_prasinatus	0.9974936	0.5851975	0.8916725	0.8039459	0.077148676	0.06456413
TBGMI031-21	Sarcoptiformes	Sciaridae	Agromyzinae	Epiphanini	Mesopsocus	Lasionhada_proxima	0.7231315	0.3804657	0.6682225	0.16227661	0.14207773	0.0991944
TBGMI164-21	Diptera	Limoniidae	Limoniinae	Scenopinini	Bathysmatophorus	Criomorphus_borealis	0.95849955	0.3274506	0.47683635	0.25316712	0.05611888	0.08514654
RDBA533-06	Hymenoptera	Bembicidae	Sterictiphorinae	Nyssonini	Isadelphus	Gorytes_quadrifasciatus	0.99989617	0.7506199	0.40406412	0.60720694	0.26601562	0.1601849
SMNKA266-16	Araneae	Lycosidae	Mycomyinae	Mycetaulini	Bathyphantes	Carterocephalus_palaemon	0.9800806	0.92082185	0.076673545	0.2844836	0.07022571	0.19476356
TBGMI194-21	Sarcoptiformes	Ameronothridae	Micromyinae	Epiphanini	Sesia	Pheosia_gnoma	0.9959382	0.273659	0.4023326	0.21535231	0.09256764	0.07592286
TRCBG224-20	Diptera	Sciaridae	Sehirinae	Paralimnini	Peromyscopsylla	Paralimnus_phragmitis	0.6434872	0.54261065	0.08622839	0.08924111	0.12284532	0.07905543
SMNSA168-16	Diptera	Rhagionidae	Micromyinae	Tanytarsini	Paratanytarsus	Aporia_crataegi	0.99938345	0.35187358	0.46113083	0.12073671	0.058851432	0.0567232
TBGMI035-21	Sarcoptiformes	Tectocepheidae	Ecdyonurinae	Psocini	Byctiscus	Psammodius_asper	0.9275844	0.19498326	0.4081377	0.34214455	0.13393757	0.053460643
SYGEO374-19	Diptera	Pterophoridae	Pterophorinae	Aedini	Pegomya	Ypsolopha_dentella	0.9988895	0.2815878	0.22065641	0.17439693	0.1927092	0.060030896
SYGEO127-19	Diptera	Syrphidae	Eristalinae	Eristalini	Culiseta	Tropidia_scita	0.9999999	0.28630826	0.25538412	0.7841162	0.099403076	0.25562528
SATIP642-09	Diptera	Limoniidae	Tipulinae	Pentaneurini	Tipula	Conchapelopia_melanops	0.9999993	0.46310133	0.95110875	0.91156614	0.64137167	0.40025675
SMNSP872-19	Hymenoptera	Sciaridae	Rhopalinae	Rhopalini	Corizus	Rhopalus_distinctus	0.99574184	0.59952325	0.16424567	0.34582153	0.2051689	0.27577516
TACFI613-12	Diptera	Tachinidae	Phasiinae	Megaprosopini	Gymnosoma	Evacanthus_acuminatus	0.9999726	0.5961915	0.5885158	0.49323475	0.12985966	0.11846659
TBGMI174-21	Sarcoptiformes	Liacaridae	Scirtinae	Geotrupini	Apantesis	Lasionhada_proxima	0.9999995	0.2799801	0.2324531	0.17694888	0.20624354	0.051129688
SMNKA257-16	Araneae	Linyphiidae	Liposcelidinae	Coreini	Carcina	Carcina_quercana	0.9999713	0.9244372	0.27620822	0.17979226	0.9684733	0.25733885
TACFI446-12	Diptera	Panorpidae	Limosininae	Botanobiini	Lispe	Lispe_pygmaea	0.9864239	0.14377137	0.2761184	0.4288722	0.09790792	0.18571016
RDNMD363-06	Diptera	Noctuidae	Noctuinae	Leucaniini	Leucania	Lasionhada_proxima	0.5116604	0.7869987	0.91611475	0.40479136	0.36521247	0.24470264
TBGMI037-21	Sarcoptiformes	Sciaridae	Liposcelidinae	Exechiini	Valenzuela	Temnocerus_longiceps	0.6359029	0.191627	0.391807	0.35420507	0.24943016	0.10702303
TIPSY038-08	Lepidoptera	Mycetophilidae	Simuliinae	Pericomaini	Valenzuela	Cnephia_eremites	0.87871	0.5677104	0.31231907	0.24697806	0.15020804	0.21620414
TACFI204-12	Diptera	Tipulidae	Tipulinae	Pentaneurini	Corynoneura	Corynoneura_celeripes	0.9999995	0.44965163	0.2622896	0.17360464	0.09948259	0.1055759
TACFI466-12	Diptera	Muscidae	Lonchaeinae	Culisetini	Phaonia	Carterocephalus_palaemon	0.999995	0.885503	0.104173936	0.38383704	0.054614995	0.119538344
TACFI447-12	Diptera	Staphylinidae	Psychodinae	Pericomaini	Buprestis	Psychoda_minuta	0.99900156	0.22981983	0.4910297	0.24538098	0.083354846	0.106596075
TRCBG1489-20	Diptera	Sciaridae	Sphaeridiinae	Idiocerini	Peromyscopsylla	Paralimnus_phragmitis	0.9066558	0.16734646	0.07866592	0.1266397	0.14931586	0.06012178
TANYT085-14	Diptera	Chironomidae	Chironominae	Tanytarsini	Tanytarsus	Thienemanniella_majuscula	0.969317	0.9824851	0.90476865	0.5268657	0.30662134	0.17817855
SCINO728-15	Diptera	Sciaridae	Kelisiinae	Delphacini	Valenzuela	Carterocephalus_palaemon	0.8794849	0.9800276	0.33178788	0.3264671	0.24642463	0.12501226
SMNSA260-16	Araneae	Dictynidae	Polleniinae	Crabronini	Danosoma	Carterocephalus_palaemon	0.99999964	0.377605	0.37777695	0.63483655	0.0470341	0.38562953
TRCBG967-20	Diptera	Sciaridae	Sehirinae	Paralimnini	Peromyscopsylla	Paralimnus_phragmitis	0.6434872	0.54261065	0.08622839	0.08924111	0.12284532	0.07905543
TBGMI042-21	Sarcoptiformes	Ameronothridae	Brachypterainae	Exechiini	Pheosia	Gustavia_microcephala	0.9822447	0.49575007	0.4990346	0.59211034	0.15076616	0.109075576
SMNSA107-16	Araneae	Linyphiidae	Ecdyonurinae	Anemadini	Chrysotus	Lasionhada_proxima	0.99974376	0.6461357	0.5495247	0.113375194	0.09509995	0.043860473
SMNSA079-16	Araneae	Chironomidae	Tanypodinae	Forcipomyiini	Carcina	Gibbaranea_omoeda	0.99659747	0.6646192	0.68999875	0.15261827	0.05753145	0.09582197
SCINO481-15	Diptera	Chironomidae	Sciophilinae	Chironomini	Acnemia	Acnemia_amoena	0.70508784	0.2270806	0.13229012	0.63342005	0.19028746	0.12754968
TACFI043-11	Diptera	Chironomidae	Tanypodinae	Culisetini	Culiseta	Macrocera_parva	1.0	0.9360631	0.7534853	0.18682076	0.12214315	0.06952024
PSESC012-21	Hymenoptera	Apidae	Megachilinae	Nomadini	Nomada	Hoplitis_claviventris	0.9999994	0.50329125	0.7287334	0.5201356	0.18924455	0.29916844
SMNSA157-16	Araneae	Linyphiidae	Rhagioninae	Forcipomyiini	Agathomyia	Carterocephalus_palaemon	0.9999658	0.29723817	0.87181425	0.18764779	0.075500205	0.15029301
SCINO339-15	Diptera	Sciaridae	Mycetophilinae	Mycetophilini	Platurocypta	Zygomyia_vara	0.9999975	0.81379557	0.8460536	0.4837452	0.19651829	0.08969721
TACFI574-12	Diptera	Tachinidae	Psychodinae	Acemyini	Bathysmatophorus	Acemya_rufitibia	0.9999778	0.5610932	0.123983696	0.38774577	0.2735435	0.3206697
RDNMD370-06	Lepidoptera	Noctuidae	Noctuinae	Noctuini	Lasionycta	Anaplectoides_prasina	0.99998736	0.9572191	0.4392552	0.79635805	0.15857421	0.46829695
SMNKA194-16	Araneae	Theridiidae	Rhagioninae	Xylenini	Triaenodes	Zelotes_petrensis	0.99997985	0.6288112	0.120014794	0.32061628	0.07566142	0.26530927
TACFI609-12	Diptera	Chironomidae	Tachininae	Ernestiini	Synactia	Synactia_parvula	1.0	0.67595565	0.45314968	0.45332345	0.32733214	0.10621229
SMNKA057-16	Araneae	Linyphiidae	Tanypodinae	Procladiini	Ancylis	Labulla_thoracica	0.99999917	0.94325423	0.80636835	0.7186313	0.10095384	0.07059937
PYRG084-09	Lepidoptera	Crambidae	Incurvariinae	Procridini	Valenzuela	Coleophora_follicularis	0.99999297	0.13055728	0.35241854	0.2083337	0.23709334	0.44977307
SMNKA237-16	Araneae	Linyphiidae	Empidinae	Mycetaulini	Tachydromia	Pseudobrachypeza_helvetica	0.81586415	0.56389505	0.3170879	0.64899796	0.040293127	0.040357523
TACFI603-12	Diptera	Dolichopodidae	Sympycninae	Chironomini	Culiseta	Macquartia_viridana	1.0	0.46673357	0.22534694	0.38344333	0.07321396	0.17186435
TBGMI153-21	Sarcoptiformes	Mycetophilidae	Mycetophilinae	Mycetophilini	Macrocera	Fuscozetes_fuscipes	0.99842215	0.2477128	0.46266633	0.25896826	0.04750205	0.17402546
TIPSY334-12	Lepidoptera	Sesiidae	Oecophorinae	Hypocyphtini	Valenzuela	Synanthedon_mesiaeformis	0.99985266	0.15996411	0.44871786	0.18022509	0.38507593	0.15630215
TBGMI165-21	Sarcoptiformes	Galumnidae	Psocinae	Psocini	Suctobelbella	Suctobelbella_subcornigera	0.9999993	0.5457101	0.3531645	0.46850848	0.14411576	0.15179414
TBGMI026-21	Diptera	Sciaridae	Orthocladiinae	Oedemerini	Chrysanthia	Bembidion_gilvipes	0.9756588	0.29129693	0.3801672	0.18302883	0.12765461	0.118334934
SMNSA197-16	Diptera	Mycetophilidae	Micromyinae	Tanytarsini	Paratanytarsus	Aporia_crataegi	0.99933606	0.602939	0.32650378	0.14944533	0.062318467	0.09418789
SCINO1264-16	Diptera	Sciaridae	Mycetophilinae	Chironomini	Bradysia	Macrocera_parva	0.9999852	0.9849038	0.19714127	0.21275316	0.18145426	0.06874938
TBGMI181-21	Sarcoptiformes	Agromyzidae	Chironominae	Chironomini	Muellerianella	Dicranotropis_hamata	0.9906737	0.61720896	0.8994392	0.6462782	0.12912694	0.1541891
SMNKA171-16	Araneae	Philodromidae	Limnophilinae	Erythroneurini	Oncopsis	Chlorita_paolii	0.999982	0.48793298	0.18129744	0.08648248	0.04279241	0.028826429
SYGEO357-19	Diptera	Syrphidae	Eristalinae	Eristalini	Culiseta	Tropidia_scita	0.9999999	0.28630826	0.25538412	0.7841162	0.099403076	0.25562528
SMNSA228-16	Diptera	Acroceridae	Chironominae	Chironomini	Stempellina	Endochironomus_tendens	0.9992654	0.313962	0.5129257	0.57199687	0.07220479	0.08078216
TACFI437-12	Diptera	Tachinidae	Phasiinae	Culisetini	Pseudopachystylum	Culiseta_bergrothi	0.9999101	0.8124976	0.4537517	0.40684342	0.10361544	0.13966815
SIEG014-18	Coleoptera	Dytiscidae	Dytiscinae	Hydroporini	Nebrioporus	Nebrioporus_depressus	0.999995	0.9347923	0.2959416	0.2787992	0.39571497	0.12323404
RDBA381-06	Hymenoptera	Cimbicidae	Anteoninae	Ponerini	Isadelphus	Isadelphus_inimicus	0.9993554	0.22805116	0.8974824	0.30414838	0.25457948	0.19382241
SMNSA064-16	Araneae	Theridiidae	Tanypodinae	Pentaneurini	Ischnocoris	Ohlertidion_ohlerti	0.99283785	0.8006786	0.80369437	0.111749746	0.16763853	0.1082814
ZYGMO233-10	Lepidoptera	Zygaenidae	Procridinae	Procridini	Rhagades	Rhagades_pruni	0.9999994	0.29949397	0.673573	0.9333407	0.66431123	0.57926005
TRCBG996-20	Diptera	Sciaridae	Sehirinae	Paralimnini	Peromyscopsylla	Paralimnus_phragmitis	0.6434872	0.54261065	0.08622839	0.08924111	0.12284532	0.07905543
TIPSY030-08	Diptera	Keroplatidae	Phorinae	Macrocerini	Menacanthus	Placusa_complanata	0.9248494	0.1799585	0.33078182	0.5586423	0.2132093	0.1281821
RDNMG507-08	Lepidoptera	Noctuidae	Noctuinae	Eriopygini	Lasionhada	Leptologia_lota	0.9999999	0.89845306	0.72515416	0.3715907	0.21840219	0.19532557
TBGMI054-21	Plecoptera	Chloroperlidae	Taeniopteriginae	Chironomini	Melolontha	Actenicerus_sjaelandicus	0.93530536	0.30480865	0.12761822	0.089836426	0.049280375	0.034420468
TBGMI048-21	Coleoptera	Sciaridae	Liposcelidinae	Oxytelini	Centroptilum	Hafenrefferia_gilvipes	0.9955317	0.20316647	0.43669954	0.109485656	0.59650165	0.098325394
SMNKA111-16	Araneae	Pisauridae	Phorinae	Diamesini	Homoeosoma	Opetia_nigra	0.99954104	0.17394525	0.1861967	0.15782276	0.06684136	0.048335347
TBGMI038-21	Diptera	Sciaridae	Mycetophilinae	Exechiini	Anatella	Anatella_setigera	0.9979842	0.32711038	0.6734887	0.7223027	0.1171202	0.07257059
SYGEO137-19	Diptera	Dolichopodidae	Culicinae	Chironomini	Dicranomyia	Microtendipes_brevitarsis	0.9998832	0.74498177	0.10524902	0.7494561	0.124589644	0.12464858
SMNKA058-16	Araneae	Salticidae	Orthocladiinae	Crabronini	Lasius	Carterocephalus_palaemon	0.9999826	0.1963168	0.27468526	0.5576069	0.04066206	0.2722884
SMNKA259-16	Araneae	Linyphiidae	Liposcelidinae	Coreini	Carcina	Carcina_quercana	0.9999713	0.9244372	0.27620822	0.17979226	0.9684733	0.25733885
TACFI008-11	Diptera	Panorpidae	Azeliinae	Culisetini	Thaumatomyia	Pseudopachystylum_gonioides	0.8027988	0.51932895	0.5100725	0.24552266	0.21308744	0.10319237
TACFI757-13	Diptera	Tachinidae	Azeliinae	Voriini	Pseudopachystylum	Pseudopachystylum_gonioides	0.9999888	0.35310975	0.47417825	0.22139858	0.21780975	0.39533925
TACFI199-12	Diptera	Keroplatidae	Madizinae	Macrocerini	Macrocera	Macrocera_stigmoides	0.9999982	0.45277202	0.13818082	0.46939003	0.088036045	0.11043629
TACFI055-11	Diptera	Tachinidae	Azeliinae	Macrocerini	Limnophora	Pseudopachystylum_gonioides	0.9999974	0.5490096	0.4817493	0.205806	0.06260027	0.056425776
SMNKA174-16	Araneae	Sciaridae	Rhagioninae	Aphidiini	Macrocera	Macrocera_centralis	0.9999765	0.2426355	0.2023254	0.10823107	0.16223422	0.060963083
TIPSY022-08	Lepidoptera	Psychidae	Psychinae	Sesiini	Cyrnus	Deraeocoris_scutellaris	0.90239704	0.35979033	0.5189352	0.5667337	0.1744106	0.12275567
SMNKA201-16	Araneae	Linyphiidae	Gelechiinae	Pentaneurini	Polopeustis	Carterocephalus_palaemon	0.9999963	0.99148613	0.3388808	0.11081127	0.18418632	0.14609164
TACFI438-12	Diptera	Tachinidae	Azeliinae	Culisetini	Phasia	Culiseta_bergrothi	0.9988778	0.54271704	0.26196796	0.3833488	0.13744907	0.15008202
SMNSA028-16	Araneae	Lycosidae	Dolichopezinae	Coreini	Pardosa	Pardosa_acorensis	0.9999924	0.9859241	0.14060667	0.40745783	0.84860396	0.15944214
SMNKA218-16	Araneae	Lycosidae	Dolichopezinae	Coreini	Pardosa	Pardosa_acorensis	0.9999924	0.9859241	0.14060667	0.40745783	0.84860396	0.15944214
TANYT061-14	Diptera	Chironomidae	Chironominae	Chironomini	Tanytarsus	Pseudochironomus_prasinatus	0.9999943	0.9999846	0.935081	0.46776158	0.39768755	0.12025787
PMANL3464-14	Lepidoptera	Pyralidae	Phycitinae	Satyrini	Papilio	Erebia_embla	0.9999341	0.3523623	0.23977572	0.2627443	0.042118788	0.15814376
TBGMI010-21	Coleoptera	Staphylinidae	Buprestinae	Oedemerini	Oedemera	Mordellistena_pseudopumila	0.98606575	0.7489876	0.30850586	0.6491534	0.055426497	0.057448633
SMNKA283-16	Araneae	Tetragnathidae	Liposcelidinae	Mycetaulini	Hydrophorus	Carterocephalus_palaemon	1.0	0.77972597	0.8739003	0.6523666	0.1415085	0.10427258
SMNKA034-16	Araneae	Lycosidae	Spaniinae	Scenopinini	Culiseta	Neriene_montana	0.9999647	0.903306	0.113056675	0.23372288	0.10010371	0.045059916
TACFI664-12	Diptera	Chironomidae	Tipulinae	Culisetini	Culiseta	Culiseta_alaskaensis	1.0	0.28009942	0.14389887	0.35133266	0.129494	0.05589853
SMNKA313-16	Araneae	Lycosidae	Limnophilinae	Simuliini	Schoenomyza	Carterocephalus_silvicola	0.9998246	0.3196821	0.17559692	0.87723786	0.08777966	0.15246114
SYGEO028-19	Diptera	Mycetophilidae	Cylindrotominae	Culisetini	Culiseta	Aedes_communis	0.9976882	0.14408976	0.25718555	0.35293856	0.34288377	0.30492184
SMNSA171-16	Psocodea	Caeciliusidae	Caeciliusinae	Coryphacini	Valenzuela	Coelostoma_orbiculare	0.57889473	0.7575735	0.35905617	0.43394503	0.77325314	0.14305161
TIPSY041-08	Lepidoptera	Psychidae	Naryciinae	Cochylini	Dahlica	Dahlica_lichenella	0.99998057	0.72036844	0.90901536	0.31192973	0.45475286	0.42716596
TIPSY089-08	Lepidoptera	Psocidae	Sciophilinae	Scenopinini	Berdeniella	Canephora_hirsuta	0.55165917	0.66696805	0.16286957	0.20956373	0.11624511	0.77379745
TBGMI028-21	Sarcoptiformes	Scarabaeidae	Ecdyonurinae	Diaperini	Valenzuela	Trypodendron_signatum	0.93197083	0.34069395	0.4136721	0.22046183	0.5765874	0.14398068
SMNKA153-16	Araneae	Linyphiidae	Rhagioninae	Crabronini	Chrysotus	Apsectrotanypus_trifascipennis	0.9997496	0.6767462	0.48523068	0.468133	0.15430608	0.04933124
TBGMI161-21	Sarcoptiformes	Scutoverticidae	Micromyinae	Culisetini	Bracon	Spilarctia_lutea	1.0	0.42646915	0.339267	0.27807403	0.17990826	0.13953017
