ID	kingdom	phylum	class	order	family	genus	species
LC259095	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	unclassified	unclassified	unclassified
MN537723	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
KF251156	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
KX820250	Fungi	Ascomycota	Sordariomycetes	Amphisphaeriales	Clypeophysalosporaceae	Clypeophysalospora	Clypeophysalospora_latitans
KU847252	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Xepicula	Xepicula_leucotricha
HQ599386	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Massariaceae	Massaria	Massaria_campestris
JQ627125	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
MW694951	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_cainii
MN250204	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
JX867675	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
KF251172	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma	Paraphoma_radicina
OK057148	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OK057159	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
MK229175	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Juglanconidaceae	unclassified	unclassified
HE962445	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
AJ969625	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
JN388972	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
KY633514	Fungi	Ascomycota	Leotiomycetes	Phacidiales	Phacidiaceae	Phacidium	unclassified
MH872962	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Dacampiaceae	Aaosphaeria	Aaosphaeria_arxii
KP859039	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Hyalorbilia	Hyalorbilia_fusarioides
KP336763	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Ovatospora	Ovatospora_unipora
AY905554	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Neofusicoccum	Neofusicoccum_mangiferae
UDB000418	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
KP336774	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Parachaetomium	Parachaetomium_inaequale
DQ366699	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gliocephalotrichum	Gliocephalotrichum_microchlamydosporum
KU846463	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	unclassified	unclassified
MH784817	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
KU597793	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
AB304152	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Torulaspora	Torulaspora_maleeae
NR_156313	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Metschnikowia	unclassified
KY827270	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
MK050431	Fungi	Basidiomycota	Microbotryomycetes	Microbotryomycetes_ord_Incertae_sedis_Chrysozymaceae	Chrysozymaceae	unclassified	unclassified
KX234735	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
KT949904	Fungi	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
KT949907	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
KY827281	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
MH855021	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Cephaloascaceae	Cephaloascus	Cephaloascus_fragrans
FN185976	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
MN218820	Fungi	Ascomycota	Sordariomycetes	Xylariales	unclassified	unclassified	unclassified
KT949912	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
KT949914	Fungi	Ascomycota	Sordariomycetes	Amphisphaeriales	Sporocadaceae	unclassified	unclassified
HM241692	Fungi	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae	Pyrigemmula	Pyrigemmula_aurantiaca
KM039135	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
AY029342	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	unclassified	unclassified
MH712825	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
MN475939	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
MT216220	Fungi	Basidiomycota	unclassified	unclassified	unclassified	unclassified	unclassified
JQ281774	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Schizoparmaceae	unclassified	unclassified
MK530453	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
Z69588	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	unclassified
KC608590	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
UDB035385	Fungi	Ascomycota	Eurotiomycetes	Ascosphaerales	Ascosphaeraceae	Ascosphaera	Ascosphaera_flava
AY174797	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
MK409979	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
AY015439	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	Sporobolomyces_ruberrimus
EU343815	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis_Candida	Candida	Candida_gosingica
JX941573	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	unclassified	unclassified
EU343830	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
JN620351	Fungi	Basidiomycota	Agaricostilbomycetes	Agaricostilbales	unclassified	unclassified	unclassified
KC520546	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
MW481711	Fungi	Ascomycota	Sordariomycetes	Amphisphaeriales	Apiosporaceae	unclassified	unclassified
KX965730	Fungi	Ascomycota	Dothideomycetes	unclassified	unclassified	unclassified	unclassified
GQ281791	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	Diaporthe_amygdali
MG828901	Fungi	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
JQ954648	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	unclassified
KX964424	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
MF611640	Fungi	Basidiomycota	Agaricomycetes	Agaricales	unclassified	unclassified	unclassified
KT037522	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	unclassified	unclassified	unclassified
KU866677	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_monodii
KF730001	Fungi	Ascomycota	Sordariomycetes	unclassified	unclassified	unclassified	unclassified
JX093786	Fungi	Basidiomycota	unclassified	unclassified	unclassified	unclassified	unclassified
KR119072	Fungi	Basidiomycota	Agaricomycetes	Polyporales	unclassified	unclassified	unclassified
AY573202	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Neofusicoccum	unclassified
FM206456	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
FJ378871	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
UDB037616	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
GU591650	Fungi	Basidiomycota	unclassified	unclassified	unclassified	unclassified	unclassified
MW063202	Fungi	Ascomycota	Leotiomycetes	unclassified	unclassified	unclassified	unclassified
KM065941	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Kuraishia	unclassified
KU846135	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unclassified	unclassified	unclassified
MH549203	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
DQ458893	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Diplodia	Diplodia_rosulata
HM562042	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
FJ150706	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Saccharataceae	Saccharata	unclassified
AF444408	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Udeniomyces	Udeniomyces_megalosporus
AF418621	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
KF984490	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
KJ847422	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Phyllostictaceae	unclassified	unclassified
KJ847424	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	unclassified	unclassified	unclassified
KJ847426	Fungi	Ascomycota	Dothideomycetes	unclassified	unclassified	unclassified	unclassified
AF444414	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	Apiotrichum_domesticum
AF444415	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	Cutaneotrichosporon_moniliiforme
AF444417	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
KF500530	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	Bipolaris_drechsleri
MN576831	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	unclassified	unclassified
JQ926291	Fungi	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
AF072238	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
EU517056	Fungi	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
AB072229	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Itersonilia	Itersonilia_pannonica
KY105699	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Trichomonascaceae	Trichomonascus	Trichomonascus_apis
LN850760	Fungi	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
AF444440	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	Apiotrichum_gracile
AF444443	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Kwoniella	Kwoniella_dendrophila
KT217364	Fungi	Basidiomycota	unclassified	unclassified	unclassified	unclassified	unclassified
MH555894	Fungi	Ascomycota	Sordariomycetes	Ophiostomatales	Ophiostomataceae	unclassified	unclassified
KT719167	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
MF540618	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
KY189977	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	unclassified	unclassified
AF444469	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	Vishniacozyma_victoriae
AY540126	Fungi	Ascomycota	Leotiomycetes	Helotiales	Dermateaceae	Pezicula	unclassified
KC222130	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
KC343008	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	unclassified
KF432982	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	unclassified	unclassified
MN548907	Fungi	Ascomycota	Sordariomycetes	unclassified	unclassified	unclassified	unclassified
KX238805	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
KX772550	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
GU327626	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Yamadazyma	Yamadazyma_olivae
MN548915	Fungi	Ascomycota	unclassified	unclassified	unclassified	unclassified	unclassified
MN108118	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
MH861396	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Vararia	Vararia_breviphysa
KP004462	Fungi	Ascomycota	Sordariomycetes	Amphisphaeriales	Clypeophysalosporaceae	unclassified	unclassified
GU214643	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	unclassified	unclassified	unclassified
DQ632675	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	unclassified	unclassified	unclassified
DQ299246	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	unclassified	unclassified	unclassified
GQ505688	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_verticillioides
DQ632686	Fungi	Ascomycota	unclassified	unclassified	unclassified	unclassified	unclassified
KP641179	Fungi	Ascomycota	Dothideomycetes	Dothideomycetes_ord_Incertae_sedis_Scleroconidioma	unclassified	unclassified	unclassified
EU707862	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Teratosphaeria	Teratosphaeria_fibrillosa
AB646522	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	unclassified
MK656288	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
MK617882	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	unclassified
JN791620	Fungi	Ascomycota	unclassified	unclassified	unclassified	unclassified	unclassified
DQ485653	Fungi	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
KU219603	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
UDB003267	Fungi	Basidiomycota	Agaricomycetes	unclassified	unclassified	unclassified	unclassified
MT363100	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
MT363103	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
HQ880800	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Beauveria	unclassified
MT935166	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
MN047114	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
GQ280656	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrocladium	Cylindrocladium_buxicola
MH863150	Fungi	Ascomycota	Dothideomycetes	Acrospermales	Acrospermales_fam_Incertae_sedis_Pseudovirgaria	Pseudovirgaria	Pseudovirgaria_hyperparasitica
AF126876	Fungi	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
KF291242	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
AB818904	Fungi	Basidiomycota	unclassified	unclassified	unclassified	unclassified	unclassified
EU424282	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pleurotaceae	Pleurotus	Pleurotus_cystidiosus
KP896056	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Zasmidium	unclassified
EU070924	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Dioszegia	Dioszegia_butyracea
AF126897	Fungi	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
KY094073	Fungi	Ascomycota	Sordariomycetes	unclassified	unclassified	unclassified	unclassified
KR870833	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	Diaporthe_lusitanicae
DQ374405	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gliocephalotrichum	Gliocephalotrichum_cylindrosporum
KF499360	Fungi	Ascomycota	Leotiomycetes	Helotiales	unclassified	unclassified	unclassified
KC291721	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cosmospora	Cosmospora_arxii
KC291729	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cosmospora	Cosmospora_arxii
HQ318234	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
KP087970	Fungi	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
JN381033	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Rhynchogastremaceae	Rhynchogastrema	Rhynchogastrema_glucofermentans
FJ459785	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	unclassified	unclassified
KU234101	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
KT887841	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	unclassified
AJ608642	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cuniculitremaceae	Fellomyces	Fellomyces_borneensis
AJ608647	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cuniculitremaceae	Kockovaella	Kockovaella_prillingeri
MZ144123	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
JX218228	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	unclassified
AJ608655	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cuniculitremaceae	Kockovaella	Kockovaella_lichenicola
EU882110	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Virosphaerella	Virosphaerella_irregularis
MW136257	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
EU882113	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Virosphaerella	Virosphaerella_pseudomarksii
KT887869	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	unclassified
KY984301	Fungi	Ascomycota	Dothideomycetes	unclassified	unclassified	unclassified	unclassified
MW240624	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
MW240627	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
EU882125	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Clypeosphaerella	Clypeosphaerella_quasiparkii
MK050300	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
DQ885906	Fungi	Ascomycota	unclassified	unclassified	unclassified	unclassified	unclassified
MH155435	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
KC305163	Fungi	Ascomycota	Sordariomycetes	Microascales	Ceratocystidaceae	Endoconidiophora	Endoconidiophora_polonica
KY984310	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Massarinaceae	Helminthosporium	unclassified
MW240649	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
MW981615	Fungi	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
MH055529	Fungi	Ascomycota	Pezizomycotina_cls_Incertae_sedis_Scopularia	Pezizomycotina_ord_Incertae_sedis_Scopularia	Pezizomycotina_fam_Incertae_sedis_Scopularia	unclassified	unclassified
AF444646	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Kwoniella	Kwoniella_mangrovensis
KF570166	Fungi	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
MW036827	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
MH055534	Fungi	Ascomycota	Pezizomycotina_cls_Incertae_sedis_Scopularia	Pezizomycotina_ord_Incertae_sedis_Scopularia	Pezizomycotina_fam_Incertae_sedis_Scopularia	Scopularia	unclassified
MK050333	Fungi	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
MK050336	Fungi	Basidiomycota	Tremellomycetes	unclassified	unclassified	unclassified	unclassified
JQ627591	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Stropharia	Stropharia_rugosoannulata
MW240666	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
MW240669	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
AF444668	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Rhynchogastremaceae	Papiliotrema	Papiliotrema_fusca
HE649948	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
KX650544	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cyclothyriellaceae	Cyclothyriella	Cyclothyriella_rubronotata
KM887880	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
KY984352	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Massarinaceae	Helminthosporium	unclassified
KY485127	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
JX272968	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Rasamsonia	Rasamsonia_aegroticola
HE649956	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
KU519068	Fungi	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
MW293948	Fungi	Ascomycota	Dothideomycetes	unclassified	unclassified	unclassified	unclassified
MK766871	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
KF959805	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
EF658662	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis_Candida	Candida	Candida_neerlandica
MH784781	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
MH784788	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
MW293950	Fungi	Ascomycota	Dothideomycetes	Muyocopronales	unclassified	unclassified	unclassified
MW676123	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
KC343220	Fungi	Ascomycota	unclassified	unclassified	unclassified	unclassified	unclassified
KR814563	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
HQ599400	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Massariaceae	Massaria	Massaria_mediterranea
JX845424	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
AF139627	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium	Cystofilobasidium_capitatum
AF139628	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Xanthophyllomyces	Xanthophyllomyces_dendrorhous
HQ442345	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	unclassified
HQ442346	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_polonicum
HQ442347	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	unclassified
AY198206	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
FJ790283	Fungi	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Toxicocladosporium	Toxicocladosporium_strelitziae
MN733734	Fungi	Ascomycota	Dothideomycetes	unclassified	unclassified	unclassified	unclassified
MW113697	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
HQ599424	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Massariaceae	Massaria	Massaria_inquinans
MK876413	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	unclassified
KF251214	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
AB434661	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis_Rhexocercosporidium	Rhexocercosporidium	unclassified
AF173309	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Dissoconiaceae	Uwebraunia	unclassified
JN859341	Fungi	Ascomycota	unclassified	unclassified	unclassified	unclassified	unclassified
KU709855	Fungi	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
KJ523062	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
EF653989	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
MT935369	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
KX964331	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
U34581	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_buharicum
KF251246	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Setophoma	Setophoma_terrestris
KJ523079	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
EU926252	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	unclassified	unclassified
AB116533	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
AY549985	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
MK356291	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
KX964356	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
KF251264	Fungi	Ascomycota	Dothideomycetes	unclassified	unclassified	unclassified	unclassified
JQ888201	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
KX950412	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
