"ID" "Class" "Order" "Family" "Subfamily" "Genus" "Prob_Class" "Prob_Order" "Prob_Family" "Prob_Subfamily" "Prob_Genus"
"81" "AMTPC156-15" "Insecta" "Lepidoptera" "Noctuidae" "Plusiinae" "Euchalcia" 1 1 0.94 0.86 0.48
"82" "AMTPC158-15" "Insecta" "Lepidoptera" "Geometridae" "Larentiinae" "Colostygia" 1 0.99 0.98 0.98 0.65
"83" "AMTPC159-15" "Insecta" "Lepidoptera" "Geometridae" "Larentiinae" "Costaconvexa" 1 0.96 0.93 0.87 0.21
"84" "AMTPC162-15" "Insecta" "Lepidoptera" "Noctuidae" "Noctuinae" "Anarta" 1 1 1 1 1
"85" "AMTPC163-15" "Insecta" "Lepidoptera" "Erebidae" "Boletobiinae" "Phytometra" 1 1 1 1 1
"86" "AMTPC165-15" "Insecta" "Lepidoptera" "Crambidae" "Odontiinae" "Metaxmeste" 1 1 1 1 1
"87" "AMTPC166-15" "Insecta" "Lepidoptera" "Geometridae" "Larentiinae" "Costaconvexa" 1 0.96 0.93 0.87 0.21
"88" "AMTPC172-15" "Insecta" "Lepidoptera" "Geometridae" "Larentiinae" "Triphosa" 1 1 1 1 1
"89" "AMTPC173-15" "Insecta" "Lepidoptera" "Noctuidae" "Noctuinae" "Mythimna" 1 1 0.95 0.92 0.37
"90" "AMTPC176-15" "Insecta" "Diptera" "Lonchaeidae" "Lonchaeinae" "Priscoearomyia" 1 0.39 0.1 0.1 0.1
"91" "AMTPC177-15" "Insecta" "Lepidoptera" "Psychidae" "Psychinae" "Proutia" 1 0.7 0.66 0.66 0.66
"92" "AMTPC178-15" "Insecta" "Lepidoptera" "Psychidae" "Psychinae" "Proutia" 1 0.7 0.66 0.66 0.66
"93" "AMTPC179-15" "Insecta" "Lepidoptera" "Geometridae" "Larentiinae" "Costaconvexa" 1 0.96 0.93 0.87 0.21
"94" "AMTPC185-15" "Insecta" "Lepidoptera" "Crambidae" "Pyraustinae" "Anania" 1 1 1 1 1
"95" "AMTPC186-15" "Insecta" "Lepidoptera" "Geometridae" "Ennominae" "Gnophos" 1 0.99 0.18 0.18 0.18
"96" "AMTPC188-15" "Insecta" "Lepidoptera" "Depressariidae" "Depressariinae" "Agonopterix" 1 1 1 1 1
"97" "AMTPC189-15" "Insecta" "Lepidoptera" "Noctuidae" "Noctuinae" "Papestra" 1 1 1 1 1
"98" "AMTPC190-15" "Insecta" "Lepidoptera" "Crambidae" "Pyraustinae" "Pyrausta" 1 1 1 1 1
"99" "AMTPC192-15" "Insecta" "Lepidoptera" "Nymphalidae" "Satyrinae" "Erebia" 1 0.89 0.58 0.58 0.48
"100" "AMTPC193-15" "Insecta" "Lepidoptera" "Nymphalidae" "Satyrinae" "Coenonympha" 1 0.95 0.92 0.92 0.88
"101" "AMTPC197-15" "Insecta" "Lepidoptera" "Noctuidae" "Noctuinae" "Hadena" 1 1 0.99 0.99 0.81
"102" "AMTPC198-15" "Insecta" "Lepidoptera" "Noctuidae" "Noctuinae" "Anarta" 1 1 1 1 0.59
"103" "AMTPC199-15" "Insecta" "Lepidoptera" "Noctuidae" "Noctuinae" "Apamea" 1 1 1 1 1
"104" "AMTPC205-15" "Insecta" "Lepidoptera" "Noctuidae" "Noctuinae" "Sideridis" 1 1 1 1 1
"105" "AMTPC206-15" "Insecta" "Lepidoptera" "Noctuidae" "Noctuinae" "Sideridis" 1 1 1 1 1
"106" "AMTPC207-15" "Insecta" "Lepidoptera" "Noctuidae" "Noctuinae" "Polia" 1 1 1 1 0.99
"107" "AMTPC212-15" "Insecta" "Lepidoptera" "Geometridae" "Ennominae" "Psodos" 1 1 0.94 0.92 0.52
"108" "AMTPC214-15" "Insecta" "Lepidoptera" "Nymphalidae" "Satyrinae" "Erebia" 1 0.95 0.85 0.85 0.73
"109" "AMTPC215-15" "Insecta" "Lepidoptera" "Noctuidae" "Noctuinae" "Polia" 1 1 1 1 1
"110" "AMTPC216-15" "Insecta" "Lepidoptera" "Noctuidae" "Noctuinae" "Xestia" 1 1 0.99 0.99 0.83
"111" "AMTPC217-15" "Insecta" "Lepidoptera" "Noctuidae" "Noctuinae" "Standfussiana" 1 1 0.95 0.88 0.19
"112" "AMTPC218-15" "Insecta" "Lepidoptera" "Noctuidae" "Noctuinae" "Anarta" 1 1 1 1 0.59
"113" "AMTPC219-15" "Insecta" "Lepidoptera" "Noctuidae" "Noctuinae" "Standfussiana" 1 1 0.95 0.88 0.19
"114" "AMTPC220-15" "Insecta" "Lepidoptera" "Lycaenidae" "Polyommatinae" "Agriades" 1 1 0.99 0.99 0.57
"115" "AMTPC221-15" "Insecta" "Lepidoptera" "Lycaenidae" "Polyommatinae" "Agriades" 1 1 1 1 0.67
"116" "AMTPC223-15" "Insecta" "Lepidoptera" "Lycaenidae" "Polyommatinae" "Agriades" 1 1 0.99 0.99 0.57
"117" "AMTPC224-15" "Insecta" "Lepidoptera" "Cossidae" "Cossinae" "Cossus" 1 1 1 1 1
"118" "AMTPC225-15" "Insecta" "Lepidoptera" "Sesiidae" "Sesiinae" "Synanthedon" 1 1 1 1 1
"119" "AMTPC227-15" "Insecta" "Lepidoptera" "Nymphalidae" "Satyrinae" "Erebia" 1 0.89 0.63 0.63 0.4
"120" "AMTPC228-15" "Insecta" "Lepidoptera" "Nymphalidae" "Satyrinae" "Erebia" 1 0.96 0.87 0.87 0.84
"121" "AMTPC229-15" "Insecta" "Lepidoptera" "Nymphalidae" "Satyrinae" "Erebia" 1 0.89 0.63 0.63 0.4
"122" "AMTPC235-15" "Insecta" "Lepidoptera" "Erebidae" "Boletobiinae" "Phytometra" 1 1 1 1 1
"123" "AMTPC237-15" "Insecta" "Lepidoptera" "Erebidae" "Hypeninae" "Hypena" 1 1 1 1 1
"124" "AMTPC238-15" "Insecta" "Lepidoptera" "Nymphalidae" "Nymphalinae" "Melitaea" 1 1 0.97 0.97 0.97
"125" "AMTPC239-15" "Insecta" "Lepidoptera" "Nymphalidae" "Nymphalinae" "Melitaea" 1 1 0.97 0.97 0.97
"126" "AMTPC240-15" "Insecta" "Lepidoptera" "Erebidae" "Hypeninae" "Hypena" 1 1 1 1 1
"127" "AMTPC241-15" "Insecta" "Lepidoptera" "Noctuidae" "Noctuinae" "Eriopygodes" 1 1 0.5 0.42 0.24
"128" "AMTPC245-15" "Insecta" "Lepidoptera" "Nymphalidae" "Satyrinae" "Erebia" 1 0.97 0.95 0.95 0.95
"129" "AMTPC249-15" "Insecta" "Lepidoptera" "Geometridae" "Larentiinae" "Triphosa" 1 1 1 1 1
"130" "AMTPC254-15" "Insecta" "Lepidoptera" "Geometridae" "Ennominae" "Psodos" 1 1 0.88 0.88 0.6
"131" "AMTPC260-15" "Insecta" "Lepidoptera" "Geometridae" "Larentiinae" "Triphosa" 1 1 1 1 1
"132" "AMTPC262-15" "Insecta" "Lepidoptera" "Lycaenidae" "Polyommatinae" "Agriades" 1 1 0.99 0.99 0.57
"133" "AMTPC263-15" "Insecta" "Lepidoptera" "Nymphalidae" "Satyrinae" "Erebia" 1 0.89 0.63 0.63 0.4
"134" "AMTPC264-15" "Insecta" "Lepidoptera" "Nymphalidae" "Satyrinae" "Erebia" 1 0.97 0.95 0.95 0.95
"135" "AMTPC265-15" "Insecta" "Lepidoptera" "Nymphalidae" "Satyrinae" "Erebia" 1 0.92 0.67 0.66 0.55
"136" "AMTPC267-15" "Insecta" "Lepidoptera" "Noctuidae" "Noctuinae" "Lacanobia" 1 1 1 1 1
"137" "AMTPC268-15" "Insecta" "Lepidoptera" "Noctuidae" "Noctuinae" "Apamea" 1 1 1 1 1
"138" "AMTPC269-15" "Insecta" "Lepidoptera" "Noctuidae" "Noctuinae" "Lacanobia" 1 1 1 1 1
"139" "AMTPC272-15" "Insecta" "Lepidoptera" "Noctuidae" "Noctuinae" "Hecatera" 1 1 1 1 1
"140" "AMTPC273-15" "Insecta" "Lepidoptera" "Noctuidae" "Cuculliinae" "Cucullia" 1 1 1 1 1
"141" "AMTPC274-15" "Insecta" "Lepidoptera" "Crambidae" "Odontiinae" "Metaxmeste" 1 0.95 0.4 0.24 0.24
"142" "AMTPC275-15" "Insecta" "Lepidoptera" "Noctuidae" "Noctuinae" "Anarta" 1 1 0.99 0.99 0.67
"143" "AMTPC287-15" "Insecta" "Lepidoptera" "Hepialidae" "dummy_Hepialidae" "Korscheltellus" 1 1 1 1 1
"144" "AMTPC288-15" "Insecta" "Lepidoptera" "Lasiocampidae" "Malacosomatinae" "Malacosoma" 1 1 1 1 1
"145" "AMTPC289-15" "Insecta" "Lepidoptera" "Hepialidae" "dummy_Hepialidae" "Hepialus" 1 1 1 1 1
"146" "AMTPC291-15" "Insecta" "Lepidoptera" "Sphingidae" "Macroglossinae" "Hemaris" 1 1 1 1 1
"147" "AMTPC293-15" "Insecta" "Lepidoptera" "Gracillariidae" "Lithocolletinae" "Phyllonorycter" 1 1 1 1 1
"148" "AMTPC294-15" "Insecta" "Lepidoptera" "Tortricidae" "Tortricinae" "Eana" 1 1 1 1 1
"149" "AMTPC295-15" "Insecta" "Lepidoptera" "Depressariidae" "Depressariinae" "Agonopterix" 1 1 1 1 1
"150" "AMTPC297-15" "Insecta" "Lepidoptera" "Gelechiidae" "Gelechiinae" "Scrobipalpa" 1 1 1 1 1
"151" "AMTPC298-15" "Insecta" "Lepidoptera" "Depressariidae" "Depressariinae" "Agonopterix" 1 1 1 1 1
"152" "AMTPC304-15" "Insecta" "Lepidoptera" "Nymphalidae" "Satyrinae" "Erebia" 1 0.95 0.85 0.85 0.73
"153" "AMTPC305-15" "Insecta" "Lepidoptera" "Nymphalidae" "Satyrinae" "Erebia" 1 0.95 0.85 0.85 0.73
"154" "AMTPC316-15" "Insecta" "Lepidoptera" "Geometridae" "Larentiinae" "Trichopteryx" 1 1 1 1 1
"155" "AMTPC325-15" "Insecta" "Lepidoptera" "Geometridae" "Larentiinae" "Perizoma" 1 1 1 1 1
"156" "AMTPC343-15" "Insecta" "Lepidoptera" "Geometridae" "Larentiinae" "Triphosa" 1 1 1 1 1
"157" "AMTPC346-15" "Insecta" "Lepidoptera" "Notodontidae" "Pygaerinae" "Clostera" 1 1 1 1 1
"158" "AMTPC347-15" "Insecta" "Lepidoptera" "Crambidae" "Odontiinae" "Metaxmeste" 1 1 1 1 1
"159" "AMTPC354-15" "Insecta" "Lepidoptera" "Noctuidae" "Noctuinae" "Peridroma" 1 0.99 0.91 0.81 0.12
"160" "AMTPC355-15" "Insecta" "Lepidoptera" "Crambidae" "Spilomelinae" "Palpita" 1 0.92 0.26 0.26 0.26
"161" "AMTPC364-15" "Insecta" "Lepidoptera" "Geometridae" "Larentiinae" "Perizoma" 1 1 1 1 1
"162" "AMTPC365-15" "Insecta" "Lepidoptera" "Nymphalidae" "Satyrinae" "Erebia" 1 1 1 1 1
"163" "AMTPC370-15" "Insecta" "Lepidoptera" "Noctuidae" "Noctuinae" "Photedes" 1 1 1 1 1
"164" "AMTPC371-15" "Insecta" "Lepidoptera" "Geometridae" "Larentiinae" "Perizoma" 1 1 1 1 1
"165" "AMTPC374-15" "Insecta" "Lepidoptera" "Geometridae" "Larentiinae" "Colostygia" 1 0.93 0.79 0.75 0.55
"166" "AMTPC375-15" "Insecta" "Lepidoptera" "Nymphalidae" "Satyrinae" "Erebia" 1 0.89 0.63 0.63 0.4
"167" "AMTPC377-15" "Insecta" "Lepidoptera" "Erebidae" "Boletobiinae" "Phytometra" 1 1 1 1 1
"168" "AMTPC380-15" "Insecta" "Lepidoptera" "Nymphalidae" "Satyrinae" "Erebia" 1 0.89 0.63 0.63 0.4
"169" "AMTPC588-15" "Insecta" "Lepidoptera" "Elachistidae" "Elachistinae" "Elachista" 1 0.98 0.39 0.39 0.39
"170" "AMTPC637-15" "Insecta" "Lepidoptera" "Tortricidae" "Tortricinae" "Syndemis" 1 1 1 1 1
"171" "AMTPC654-15" "Insecta" "Lepidoptera" "Gelechiidae" "Gelechiinae" "Scrobipalpula" 1 1 1 1 1
"172" "AMTPD023-15" "Insecta" "Diptera" "Limoniidae" "Chioneinae" "Chionea" 1 0.8 0.08 0.08 0.07
"173" "AMTPD090-15" "Insecta" "Diptera" "Hybotidae" "Oedaleinae" "Allanthalia" 1 0.98 0.05 0.05 0.05
"174" "AMTPD1168-15" "Insecta" "Diptera" "Tipulidae" "Tipulinae" "Tipula" 1 1 1 1 1
"175" "AMTPD1253-15" "Insecta" "Diptera" "Tipulidae" "Tipulinae" "Tipula" 1 1 1 1 1
"176" "AMTPD126-15" "Insecta" "Diptera" "Limoniidae" "Chioneinae" "Chionea" 1 0.8 0.08 0.08 0.07
"177" "AMTPD1527-15" "Insecta" "Diptera" "Lonchaeidae" "Lonchaeinae" "Priscoearomyia" 1 1 1 1 1
"178" "AMTPD1528-15" "Insecta" "Diptera" "Lonchaeidae" "Lonchaeinae" "Priscoearomyia" 1 1 1 1 1
"179" "AMTPD2148-15" "Insecta" "Diptera" "Simuliidae" "Simuliinae" "Simulium" 1 1 1 1 1
"180" "AMTPD2446-15" "Insecta" "Diptera" "Heleomyzidae" "Heleomyzinae" "Scoliocentra" 1 1 0.86 0.86 0.47
"181" "AMTPD287-15" "Insecta" "Diptera" "Sciomyzidae" "Sciomyzinae" "Hydromya" 0.98 0.87 0.29 0.29 0.29
"182" "AMTPD3025-15" "Insecta" "Diptera" "Tephritidae" "Trypetinae" "Euleia" 1 1 1 1 1
"183" "AMTPD3082-15" "Insecta" "Diptera" "Tephritidae" "Tephritinae" "Campiglossa" 1 1 1 1 1
"184" "AMTPD3267-15" "Insecta" "Diptera" "Pipunculidae" "Pipunculinae" "Cephalosphaera" 1 1 1 1 1
"185" "AMTPD333-15" "Insecta" "Diptera" "Sciomyzidae" "Sciomyzinae" "Hydromya" 0.99 0.94 0.2 0.2 0.2
"186" "AMTPD356-15" "Insecta" "Diptera" "Empididae" "Hemerodromiinae" "Hemerodromia" 1 0.69 0.11 0.11 0.11
"187" "AMTPD375-15" "Insecta" "Diptera" "Chironomidae" "Orthocladiinae" "Limnophyes" 1 0.99 0.69 0.67 0.31
"188" "AMTPD3770-15" "Insecta" "Diptera" "Bibionidae" "Bibioninae" "Bibio" 1 1 1 1 1
"189" "AMTPD3844-15" "Insecta" "Diptera" "Limoniidae" "Limoniinae" "Dicranomyia" 1 0.99 0.25 0.24 0.24
"190" "AMTPD3995-15" "Insecta" "Diptera" "Limoniidae" "Limnophilinae" "Euphylidorea" 1 1 1 1 1
"191" "AMTPD428-15" "Insecta" "Diptera" "Sciomyzidae" "Sciomyzinae" "Hydromya" 0.99 0.88 0.3 0.3 0.3
"192" "AMTPD438-15" "Insecta" "Diptera" "Chironomidae" "Diamesinae" "Diamesa" 1 0.98 0.76 0.4 0.25
"193" "AMTPD440-15" "Insecta" "Lepidoptera" "Noctuidae" "Plusiinae" "Trichoplusia" 0.99 0.21 0.17 0.15 0.15
"194" "AMTPD4469-16" "Insecta" "Diptera" "Syrphidae" "Syrphinae" "Melanostoma" 1 1 1 1 1
"195" "AMTPD4497-16" "Insecta" "Diptera" "Syrphidae" "Eristalinae" "Ceriana" 1 0.99 0.93 0.92 0.69
"196" "AMTPD4502-16" "Insecta" "Diptera" "Syrphidae" "Syrphinae" "Melanostoma" 1 1 1 1 1
"197" "AMTPD4518-16" "Insecta" "Diptera" "Syrphidae" "Eristalinae" "Cheilosia" 1 1 1 1 1
"198" "AMTPD4547-16" "Insecta" "Diptera" "Syrphidae" "Eristalinae" "Pelecocera" 1 1 1 1 1
"199" "AMTPD4568-16" "Insecta" "Diptera" "Syrphidae" "Syrphinae" "Melanostoma" 1 1 1 1 1
"200" "AMTPD4575-16" "Insecta" "Diptera" "Syrphidae" "Eristalinae" "Cheilosia" 1 1 0.96 0.96 0.88
"201" "AMTPD4597-16" "Insecta" "Diptera" "Syrphidae" "Syrphinae" "Melanostoma" 1 1 1 1 1
"202" "AMTPD4599-16" "Insecta" "Diptera" "Syrphidae" "Eristalinae" "Eristalis" 1 1 1 1 1
"203" "AMTPD4614-16" "Insecta" "Diptera" "Syrphidae" "Syrphinae" "Eupeodes" 1 1 1 1 1
"204" "AMTPD473-15" "Insecta" "Diptera" "Mycetophilidae" "Sciophilinae" "Leptomorphus" 1 0.86 0.12 0.09 0.07
"205" "AMTPD474-15" "Insecta" "Diptera" "Mycetophilidae" "Sciophilinae" "Leptomorphus" 1 0.86 0.06 0.05 0.05
"206" "AMTPD475-15" "Insecta" "Diptera" "Chironomidae" "Orthocladiinae" "Epoicocladius" 0.99 0.89 0.61 0.52 0.2
"207" "AMTPD503-15" "Insecta" "Diptera" "Dolichopodidae" "Sympycninae" "Teuchophorus" 1 0.99 0.47 0.46 0.43
"208" "AMTPD506-15" "Insecta" "Diptera" "Dolichopodidae" "Sympycninae" "Teuchophorus" 1 1 0.37 0.35 0.34
"209" "AMTPD511-15" "Insecta" "Diptera" "Heleomyzidae" "Heleomyzinae" "Eccoptomera" 0.98 0.88 0.15 0.15 0.11
