ID	class	Prob_class	order	Prob_order	family	Prob_family	subfamily	Prob_subfamily	genus	Prob_genus	species	Prob_species
AMTPA1011-15	Insecta	1.00	Hymenoptera	0.90	Ichneumonidae	0.90	Orthocentrinae	0.44	Orthocentrus	0.24	Orthocentrus_fulvipes	0.17
AMTPA2806-15	Insecta	1.00	Hymenoptera	1.00	Dryinidae	1.00	Anteoninae	1.00	Anteon	1.00	Anteon_flavicorne	1.00
AMTPA2809-15	Insecta	1.00	Hymenoptera	1.00	Dryinidae	1.00	Gonatopodinae	1.00	Gonatopus	1.00	Gonatopus_bicolor	0.69
AMTPA493-15	Insecta	1.00	Hymenoptera	1.00	Ichneumonidae	1.00	Campopleginae	1.00	Hyposoter	1.00	Hyposoter_inquinatus	1.00
AMTPA677-15	Insecta	1.00	Hymenoptera	1.00	Ichneumonidae	0.94	Phygadeuontinae	0.36	Theroscopus	0.14	Theroscopus_esenbeckii	0.13
AMTPA861-15	Insecta	0.94	Diptera	0.36	Ichneumonidae	0.12	Orthocladiinae	0.08	Pamphilius	0.04	Nemoura_avicularis	0.03
AMTPB017-15	Insecta	1.00	Hymenoptera	1.00	Ichneumonidae	1.00	Ichneumoninae	1.00	Homotherus	1.00	Homotherus_locutor	1.00
AMTPB005-15	Insecta	1.00	Hymenoptera	0.96	Ichneumonidae	0.94	Orthocentrinae	0.25	Synomelix	0.08	Synomelix_faciator	0.07
AMTPB1265-15	Insecta	0.99	Hymenoptera	0.75	Ichneumonidae	0.35	Pimplinae	0.08	Phygadeuon	0.03	Campodorus_maculicollis	0.03
AMTPB1389-15	Insecta	1.00	Hymenoptera	0.98	Ichneumonidae	0.93	Phygadeuontinae	0.81	Aclastus	0.75	Aclastus_gracilis	0.68
AMTPB1422-15	Insecta	0.97	Hymenoptera	0.42	Ichneumonidae	0.16	Phygadeuontinae	0.06	Eridolius	0.04	Eridolius_basalis	0.03
AMTPB045-15	Insecta	0.99	Hymenoptera	0.49	Ichneumonidae	0.16	Pteromalinae	0.07	Mesopolobus	0.06	Mesopolobus_incultus	0.06
AMTPB1674-15	Insecta	0.97	Hymenoptera	0.59	Eulophidae	0.18	Entedoninae	0.09	Achrysocharoides	0.05	Achrysocharoides_acerianus	0.05
AMTPB1733-15	Insecta	1.00	Hymenoptera	1.00	Ichneumonidae	1.00	Orthocentrinae	1.00	Stenomacrus	1.00	Stenomacrus_minutissimus	1.00
AMTPB1789-15	Insecta	1.00	Hymenoptera	0.96	Ichneumonidae	0.93	Campopleginae	0.63	Campoletis	0.57	Campoletis_thomsoni	0.36
AMTPB1804-15	Insecta	1.00	Hymenoptera	1.00	Tenthredinidae	1.00	Allantinae	1.00	Ametastegia	1.00	Ametastegia_perla	1.00
AMTPB1910-15	Insecta	1.00	Hymenoptera	0.63	Tenthredinidae	0.24	Phygadeuontinae	0.08	Caliroa	0.07	Caliroa_annulipes	0.05
AMTPB2066-15	Insecta	1.00	Hymenoptera	1.00	Dryinidae	1.00	Anteoninae	1.00	Anteon	1.00	Anteon_albidicolle	1.00
AMTPB1989-15	Insecta	0.95	Hymenoptera	0.51	Ichneumonidae	0.24	Crabroninae	0.09	Pholetesor	0.07	Pholetesor_circumscriptus	0.06
AMTPB2170-15	Insecta	1.00	Hymenoptera	1.00	Eulophidae	1.00	Eulophinae	1.00	Pnigalio	1.00	Pnigalio_soemius	1.00
AMTPB274-15	Insecta	0.95	Hymenoptera	0.53	Ichneumonidae	0.21	Orthocentrinae	0.07	Colastes	0.06	Colastes_braconius	0.06
AMTPB755-15	Insecta	1.00	Hymenoptera	0.91	Ichneumonidae	0.88	Campopleginae	0.26	Olesicampe	0.12	Olesicampe_annulitarsis	0.06
AMTPB768-15	Insecta	1.00	Hymenoptera	0.43	Ichneumonidae	0.14	Apinae	0.06	Bombus	0.06	Theroscopus_esenbeckii	0.03
AMTPC001-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Polia	1.00	Polia_bombycina	1.00
AMTPC002-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Polia	1.00	Polia_bombycina	1.00
AMTPC014-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Hadena	1.00	Hadena_perplexa	1.00
AMTPC003-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Polia	1.00	Polia_bombycina	1.00
AMTPC015-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Hadena	1.00	Hadena_perplexa	1.00
AMTPC035-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	1.00	Larentiinae	1.00	Entephria	1.00	Entephria_flavicinctata	1.00
AMTPC036-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Sideridis	1.00	Sideridis_rivularis	1.00
AMTPC037-15	Insecta	1.00	Lepidoptera	1.00	Sphingidae	1.00	Smerinthinae	1.00	Laothoe	1.00	Laothoe_populi	1.00
AMTPC038-15	Insecta	1.00	Lepidoptera	1.00	Sesiidae	1.00	Sesiinae	1.00	Synanthedon	1.00	Synanthedon_formicaeformis	1.00
AMTPC039-15	Insecta	1.00	Lepidoptera	1.00	Lasiocampidae	1.00	Lasiocampinae	1.00	Lasiocampa	1.00	Lasiocampa_quercus	1.00
AMTPC040-15	Insecta	1.00	Lepidoptera	1.00	Sphingidae	1.00	Macroglossinae	1.00	Hemaris	1.00	Hemaris_fuciformis	1.00
AMTPC044-15	Insecta	1.00	Lepidoptera	1.00	Pieridae	1.00	Pierinae	1.00	Pieris	1.00	Pieris_napi	1.00
AMTPC064-15	Insecta	1.00	Lepidoptera	1.00	Crambidae	1.00	Pyraustinae	1.00	Anania	1.00	Anania_fuscalis	1.00
AMTPC066-15	Insecta	1.00	Lepidoptera	1.00	Crambidae	1.00	Spilomelinae	1.00	Udea	1.00	Udea_lutealis	1.00
AMTPC074-15	Insecta	1.00	Lepidoptera	1.00	Crambidae	1.00	Pyraustinae	1.00	Anania	1.00	Anania_crocealis	1.00
AMTPC075-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	1.00	Larentiinae	1.00	Triphosa	1.00	Triphosa_dubitata	1.00
AMTPC078-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	0.52	Larentiinae	0.49	Eupithecia	0.13	Cosmorhoe_ocellata	0.08
AMTPC080-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Antitype	1.00	Antitype_chi	1.00
AMTPC082-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	0.99	Noctuinae	0.99	Anarta	0.58	Anarta_trifolii	0.52
AMTPC086-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	0.98	Larentiinae	0.98	Colostygia	0.94	Colostygia_turbata	0.91
AMTPC053-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Cuculliinae	1.00	Cucullia	1.00	Cucullia_lucifuga	1.00
AMTPC088-15	Insecta	1.00	Lepidoptera	1.00	Tortricidae	1.00	Tortricinae	1.00	Cnephasia	1.00	Cnephasia_alticolana	0.93
AMTPC089-15	Insecta	1.00	Lepidoptera	0.97	Nymphalidae	0.85	Satyrinae	0.82	Erebia	0.45	Erebia_ligea	0.29
AMTPC090-15	Insecta	1.00	Lepidoptera	0.99	Nymphalidae	0.86	Satyrinae	0.84	Erebia	0.55	Erebia_ligea	0.32
AMTPC091-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Antitype	1.00	Antitype_chi	1.00
AMTPC093-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	1.00	Larentiinae	1.00	Thera	1.00	Thera_juniperata	1.00
AMTPC101-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	1.00	Larentiinae	1.00	Perizoma	1.00	Perizoma_blandiata	1.00
AMTPC105-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	1.00	Larentiinae	1.00	Hydriomena	1.00	Hydriomena_ruberata	1.00
AMTPC107-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	0.99	Larentiinae	0.99	Colostygia	0.95	Colostygia_turbata	0.90
AMTPC117-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	0.52	Ennominae	0.47	Psodos	0.25	Psodos_coracina	0.25
AMTPC119-15	Insecta	1.00	Lepidoptera	0.99	Geometridae	0.74	Ennominae	0.71	Yezognophos	0.53	Yezognophos_vittaria	0.53
AMTPC121-15	Insecta	1.00	Lepidoptera	0.99	Geometridae	0.86	Ennominae	0.83	Psodos	0.51	Psodos_coracina	0.51
AMTPC123-15	Insecta	1.00	Lepidoptera	1.00	Nymphalidae	1.00	Satyrinae	1.00	Lasiommata	1.00	Lasiommata_petropolitana	1.00
AMTPC125-15	Insecta	1.00	Lepidoptera	1.00	Nymphalidae	1.00	Nymphalinae	1.00	Aglais	1.00	Aglais_urticae	1.00
AMTPC130-15	Insecta	1.00	Lepidoptera	1.00	Hesperiidae	1.00	Pyrginae	1.00	Pyrgus	1.00	Pyrgus_alveus	1.00
AMTPC131-15	Insecta	1.00	Lepidoptera	1.00	Hesperiidae	1.00	Hesperiinae	1.00	Ochlodes	1.00	Ochlodes_sylvanus	1.00
AMTPC142-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	1.00	Larentiinae	1.00	Perizoma	1.00	Perizoma_minorata	1.00
AMTPC143-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	1.00	Larentiinae	1.00	Perizoma	1.00	Perizoma_minorata	1.00
AMTPC144-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	1.00	Larentiinae	1.00	Perizoma	1.00	Perizoma_minorata	1.00
AMTPC145-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	1.00	Larentiinae	1.00	Perizoma	1.00	Perizoma_minorata	1.00
AMTPC147-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	1.00	Larentiinae	1.00	Chloroclysta	1.00	Chloroclysta_miata	1.00
AMTPC148-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	1.00	Larentiinae	1.00	Perizoma	1.00	Perizoma_minorata	1.00
AMTPC155-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Sideridis	1.00	Sideridis_rivularis	1.00
AMTPC156-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	0.97	Plusiinae	0.87	Euchalcia	0.62	Euchalcia_variabilis	0.62
AMTPC159-15	Insecta	1.00	Lepidoptera	0.96	Geometridae	0.77	Larentiinae	0.68	Colostygia	0.24	Colostygia_turbata	0.15
AMTPC158-15	Insecta	1.00	Lepidoptera	0.99	Geometridae	0.86	Larentiinae	0.83	Colostygia	0.45	Colostygia_turbata	0.27
AMTPC163-15	Insecta	1.00	Lepidoptera	1.00	Erebidae	1.00	Boletobiinae	1.00	Phytometra	1.00	Phytometra_viridaria	1.00
AMTPC162-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Anarta	1.00	Anarta_myrtilli	1.00
AMTPC165-15	Insecta	1.00	Lepidoptera	1.00	Crambidae	1.00	Odontiinae	1.00	Metaxmeste	1.00	Metaxmeste_schrankiana	1.00
AMTPC166-15	Insecta	1.00	Lepidoptera	0.97	Geometridae	0.79	Larentiinae	0.69	Colostygia	0.31	Colostygia_turbata	0.27
AMTPC172-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	1.00	Larentiinae	1.00	Triphosa	1.00	Triphosa_dubitata	1.00
AMTPC173-15	Insecta	1.00	Lepidoptera	0.99	Noctuidae	0.91	Noctuinae	0.84	Mythimna	0.20	Mythimna_ferrago	0.08
AMTPC176-15	Insecta	1.00	Lepidoptera	0.74	Psychidae	0.18	Oiketicinae	0.17	Phalacropterix	0.16	Phalacropterix_graslinella	0.16
AMTPC177-15	Insecta	1.00	Lepidoptera	0.71	Psychidae	0.29	Psychinae	0.29	Proutia	0.28	Proutia_norvegica	0.26
AMTPC179-15	Insecta	1.00	Lepidoptera	0.91	Geometridae	0.75	Larentiinae	0.71	Colostygia	0.25	Colostygia_turbata	0.18
AMTPC185-15	Insecta	1.00	Lepidoptera	1.00	Crambidae	1.00	Pyraustinae	1.00	Anania	1.00	Anania_funebris	1.00
AMTPC186-15	Insecta	1.00	Lepidoptera	0.92	Crambidae	0.48	Pyraustinae	0.39	Anania	0.26	Pyrausta_cingulata	0.09
AMTPC188-15	Insecta	1.00	Lepidoptera	1.00	Depressariidae	1.00	Depressariinae	1.00	Agonopterix	1.00	Agonopterix_hypericella	1.00
AMTPC189-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Papestra	1.00	Papestra_biren	1.00
AMTPC178-15	Insecta	1.00	Lepidoptera	0.67	Psychidae	0.29	Psychinae	0.29	Proutia	0.23	Proutia_norvegica	0.21
AMTPC190-15	Insecta	1.00	Lepidoptera	1.00	Crambidae	1.00	Pyraustinae	1.00	Pyrausta	1.00	Pyrausta_porphyralis	1.00
AMTPC193-15	Insecta	1.00	Lepidoptera	0.88	Nymphalidae	0.50	Satyrinae	0.50	Coenonympha	0.43	Coenonympha_pamphilus	0.33
AMTPC192-15	Insecta	1.00	Lepidoptera	0.99	Nymphalidae	0.80	Satyrinae	0.79	Erebia	0.70	Erebia_pandrose	0.35
AMTPC197-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	0.99	Noctuinae	0.98	Hadena	0.83	Hadena_confusa	0.42
AMTPC198-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	0.98	Noctuinae	0.98	Anarta	0.75	Anarta_trifolii	0.70
AMTPC199-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Apamea	0.99	Apamea_rubrirena	0.97
AMTPC205-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Sideridis	1.00	Sideridis_rivularis	1.00
AMTPC206-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Sideridis	1.00	Sideridis_rivularis	1.00
AMTPC207-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Polia	1.00	Polia_bombycina	1.00
AMTPC212-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	0.84	Ennominae	0.76	Psodos	0.40	Psodos_coracina	0.40
AMTPC214-15	Insecta	1.00	Lepidoptera	1.00	Nymphalidae	0.86	Satyrinae	0.85	Erebia	0.73	Erebia_ligea	0.41
AMTPC216-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Xestia	0.62	Xestia_baja	0.18
AMTPC215-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Polia	1.00	Polia_bombycina	1.00
AMTPC217-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	0.95	Noctuinae	0.85	Anaplectoides	0.15	Anaplectoides_prasina	0.15
AMTPC218-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	0.98	Noctuinae	0.98	Anarta	0.76	Anarta_trifolii	0.60
AMTPC219-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	0.94	Noctuinae	0.88	Diarsia	0.19	Anaplectoides_prasina	0.11
AMTPC220-15	Insecta	1.00	Lepidoptera	1.00	Lycaenidae	0.98	Polyommatinae	0.98	Agriades	0.53	Agriades_aquilo	0.34
AMTPC221-15	Insecta	1.00	Lepidoptera	1.00	Lycaenidae	0.98	Polyommatinae	0.98	Plebejus	0.38	Plebejus_argus	0.29
AMTPC223-15	Insecta	1.00	Lepidoptera	1.00	Lycaenidae	0.99	Polyommatinae	0.99	Agriades	0.49	Agriades_aquilo	0.31
AMTPC224-15	Insecta	1.00	Lepidoptera	1.00	Cossidae	1.00	Cossinae	1.00	Cossus	1.00	Cossus_cossus	1.00
AMTPC225-15	Insecta	1.00	Lepidoptera	1.00	Sesiidae	1.00	Sesiinae	1.00	Synanthedon	1.00	Synanthedon_formicaeformis	0.99
AMTPC227-15	Insecta	1.00	Lepidoptera	0.96	Nymphalidae	0.67	Satyrinae	0.65	Erebia	0.45	Erebia_pandrose	0.19
AMTPC228-15	Insecta	1.00	Lepidoptera	0.96	Nymphalidae	0.84	Satyrinae	0.83	Erebia	0.58	Oeneis_norna	0.17
AMTPC229-15	Insecta	1.00	Lepidoptera	0.96	Nymphalidae	0.72	Satyrinae	0.70	Erebia	0.48	Erebia_medusa	0.19
AMTPC235-15	Insecta	1.00	Lepidoptera	1.00	Erebidae	1.00	Boletobiinae	1.00	Phytometra	1.00	Phytometra_viridaria	1.00
AMTPC237-15	Insecta	1.00	Lepidoptera	1.00	Erebidae	1.00	Hypeninae	1.00	Hypena	1.00	Hypena_crassalis	1.00
AMTPC238-15	Insecta	1.00	Lepidoptera	0.99	Nymphalidae	0.54	Nymphalinae	0.50	Melitaea	0.50	Melitaea_diamina	0.33
AMTPC239-15	Insecta	1.00	Lepidoptera	0.99	Nymphalidae	0.55	Nymphalinae	0.55	Melitaea	0.54	Melitaea_diamina	0.37
AMTPC240-15	Insecta	1.00	Lepidoptera	1.00	Erebidae	1.00	Hypeninae	1.00	Hypena	1.00	Hypena_crassalis	1.00
AMTPC241-15	Insecta	1.00	Lepidoptera	0.98	Noctuidae	0.50	Noctuinae	0.31	Pechipogo	0.07	Pechipogo_strigilata	0.07
AMTPC245-15	Insecta	1.00	Lepidoptera	0.99	Nymphalidae	0.99	Satyrinae	0.99	Erebia	0.94	Erebia_ligea	0.78
AMTPC254-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	0.81	Ennominae	0.75	Psodos	0.41	Psodos_coracina	0.41
AMTPC260-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	1.00	Larentiinae	1.00	Triphosa	1.00	Triphosa_dubitata	1.00
AMTPC263-15	Insecta	1.00	Lepidoptera	0.98	Nymphalidae	0.68	Satyrinae	0.65	Erebia	0.53	Erebia_pandrose	0.21
AMTPC264-15	Insecta	1.00	Lepidoptera	1.00	Nymphalidae	0.97	Satyrinae	0.97	Erebia	0.92	Erebia_ligea	0.80
AMTPC262-15	Insecta	1.00	Lepidoptera	1.00	Lycaenidae	0.98	Polyommatinae	0.98	Agriades	0.41	Plebejus_argus	0.29
AMTPC249-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	1.00	Larentiinae	1.00	Triphosa	1.00	Triphosa_dubitata	1.00
AMTPC265-15	Insecta	1.00	Lepidoptera	0.98	Nymphalidae	0.85	Satyrinae	0.84	Erebia	0.52	Erebia_ligea	0.34
AMTPC267-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Lacanobia	1.00	Lacanobia_contigua	1.00
AMTPC268-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Apamea	1.00	Apamea_remissa	1.00
AMTPC269-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Lacanobia	1.00	Lacanobia_contigua	1.00
AMTPC273-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Cuculliinae	1.00	Cucullia	1.00	Cucullia_lucifuga	1.00
AMTPC272-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Hecatera	1.00	Hecatera_bicolorata	1.00
AMTPC274-15	Insecta	1.00	Lepidoptera	0.97	Crambidae	0.26	Noctuinae	0.24	Metaxmeste	0.18	Metaxmeste_schrankiana	0.18
AMTPC275-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	0.99	Noctuinae	0.98	Anarta	0.69	Anarta_trifolii	0.65
AMTPC287-15	Insecta	1.00	Lepidoptera	1.00	Hepialidae	1.00	dummy_Hepialidae	1.00	Korscheltellus	1.00	Korscheltellus_fusconebulosa	0.99
AMTPC288-15	Insecta	1.00	Lepidoptera	0.99	Lasiocampidae	0.90	Malacosomatinae	0.90	Malacosoma	0.90	Malacosoma_castrense	0.65
AMTPC289-15	Insecta	1.00	Lepidoptera	1.00	Hepialidae	1.00	dummy_Hepialidae	1.00	Hepialus	1.00	Hepialus_humuli	1.00
AMTPC291-15	Insecta	1.00	Lepidoptera	1.00	Sphingidae	1.00	Macroglossinae	1.00	Hemaris	1.00	Hemaris_fuciformis	1.00
AMTPC293-15	Insecta	1.00	Lepidoptera	1.00	Gracillariidae	1.00	Lithocolletinae	1.00	Phyllonorycter	1.00	Phyllonorycter_strigulatella	1.00
AMTPC294-15	Insecta	1.00	Lepidoptera	1.00	Tortricidae	1.00	Tortricinae	1.00	Eana	1.00	Eana_osseana	1.00
AMTPC297-15	Insecta	1.00	Lepidoptera	1.00	Gelechiidae	1.00	Gelechiinae	1.00	Scrobipalpa	1.00	Scrobipalpa_pauperella	1.00
AMTPC295-15	Insecta	1.00	Lepidoptera	1.00	Depressariidae	1.00	Depressariinae	1.00	Agonopterix	1.00	Agonopterix_ciliella	0.93
AMTPC298-15	Insecta	1.00	Lepidoptera	1.00	Depressariidae	1.00	Depressariinae	1.00	Agonopterix	1.00	Agonopterix_ciliella	1.00
AMTPC304-15	Insecta	1.00	Lepidoptera	1.00	Nymphalidae	0.93	Satyrinae	0.91	Erebia	0.75	Erebia_ligea	0.47
AMTPC305-15	Insecta	1.00	Lepidoptera	0.97	Nymphalidae	0.83	Satyrinae	0.83	Erebia	0.62	Erebia_ligea	0.33
AMTPC325-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	1.00	Larentiinae	1.00	Perizoma	1.00	Perizoma_affinitata	0.87
AMTPC316-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	1.00	Larentiinae	1.00	Trichopteryx	1.00	Trichopteryx_carpinata	1.00
AMTPC343-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	1.00	Larentiinae	1.00	Triphosa	1.00	Triphosa_dubitata	1.00
AMTPC346-15	Insecta	1.00	Lepidoptera	1.00	Notodontidae	1.00	Pygaerinae	1.00	Clostera	1.00	Clostera_pigra	1.00
AMTPC354-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	0.74	Noctuinae	0.70	Agrotis	0.09	Agrotis_exclamationis	0.06
AMTPC347-15	Insecta	1.00	Lepidoptera	1.00	Crambidae	1.00	Odontiinae	1.00	Metaxmeste	1.00	Metaxmeste_schrankiana	1.00
AMTPC364-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	1.00	Larentiinae	1.00	Perizoma	1.00	Perizoma_blandiata	1.00
AMTPC365-15	Insecta	1.00	Lepidoptera	1.00	Nymphalidae	0.98	Satyrinae	0.98	Erebia	0.85	Erebia_ligea	0.50
AMTPC370-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Photedes	1.00	Photedes_minima	0.59
AMTPC371-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	1.00	Larentiinae	1.00	Perizoma	1.00	Perizoma_minorata	1.00
AMTPC374-15	Insecta	1.00	Lepidoptera	0.99	Geometridae	0.64	Larentiinae	0.60	Colostygia	0.35	Colostygia_olivata	0.22
AMTPC375-15	Insecta	1.00	Lepidoptera	0.99	Nymphalidae	0.75	Satyrinae	0.75	Erebia	0.52	Erebia_pandrose	0.18
AMTPC355-15	Insecta	1.00	Lepidoptera	0.88	Geometridae	0.53	Larentiinae	0.46	Triphosa	0.29	Triphosa_dubitata	0.29
AMTPC380-15	Insecta	1.00	Lepidoptera	0.99	Nymphalidae	0.76	Satyrinae	0.76	Erebia	0.55	Erebia_pandrose	0.26
AMTPC377-15	Insecta	1.00	Lepidoptera	1.00	Erebidae	1.00	Boletobiinae	1.00	Phytometra	1.00	Phytometra_viridaria	1.00
AMTPC588-15	Insecta	1.00	Lepidoptera	1.00	Elachistidae	1.00	Elachistinae	1.00	Elachista	1.00	Elachista_gleichenella	1.00
AMTPC637-15	Insecta	1.00	Lepidoptera	1.00	Tortricidae	1.00	Tortricinae	1.00	Syndemis	1.00	Syndemis_musculana	1.00
AMTPD023-15	Insecta	1.00	Diptera	0.78	Chironomidae	0.29	Orthocladiinae	0.21	Limnophyes	0.10	Limnophyes_habilis	0.05
AMTPC654-15	Insecta	1.00	Lepidoptera	1.00	Gelechiidae	1.00	Gelechiinae	1.00	Scrobipalpula	1.00	Scrobipalpula_diffluella	0.94
AMTPD090-15	Insecta	1.00	Diptera	0.90	Chironomidae	0.62	Orthocladiinae	0.41	Chaetocladius	0.06	Prodiamesa_olivacea	0.05
AMTPD1168-15	Insecta	1.00	Diptera	1.00	Tipulidae	1.00	Tipulinae	1.00	Tipula	1.00	Tipula_excisa	1.00
AMTPD126-15	Insecta	1.00	Diptera	0.82	Chironomidae	0.43	Orthocladiinae	0.32	Limnophyes	0.14	Limnophyes_margaretae	0.08
AMTPD1253-15	Insecta	1.00	Diptera	1.00	Tipulidae	1.00	Tipulinae	1.00	Tipula	1.00	Tipula_invenusta	0.98
AMTPD1527-15	Insecta	1.00	Diptera	1.00	Lonchaeidae	1.00	Lonchaeinae	1.00	Priscoearomyia	1.00	Priscoearomyia_nigra	1.00
AMTPD1528-15	Insecta	1.00	Diptera	1.00	Lonchaeidae	1.00	Lonchaeinae	1.00	Priscoearomyia	1.00	Priscoearomyia_nigra	1.00
AMTPD2148-15	Insecta	1.00	Diptera	1.00	Simuliidae	1.00	Simuliinae	1.00	Simulium	1.00	Simulium_beltukovae	0.99
