ID	class	Prob_class	order	Prob_order	family	Prob_family	subfamily	Prob_subfamily	genus	Prob_genus
AMTPA493-15	Insecta	1.00	Hymenoptera	1.00	Ichneumonidae	1.00	Campopleginae	1.00	Hyposoter	1.00
AMTPA677-15	Insecta	1.00	Hymenoptera	0.99	Ichneumonidae	0.95	Phygadeuontinae	0.37	Cubocephalus	0.12
AMTPA861-15	Insecta	0.90	Hymenoptera	0.30	Ichneumonidae	0.09	Crabroninae	0.04	Phronia	0.03
AMTPB005-15	Insecta	1.00	Hymenoptera	0.90	Ichneumonidae	0.87	Orthocentrinae	0.21	Bathythrix	0.07
AMTPB017-15	Insecta	1.00	Hymenoptera	1.00	Ichneumonidae	1.00	Ichneumoninae	1.00	Homotherus	1.00
AMTPB1265-15	Insecta	0.95	Hymenoptera	0.64	Ichneumonidae	0.39	Ctenopelmatinae	0.10	Polycentropus	0.04
AMTPB045-15	Insecta	1.00	Hymenoptera	0.45	Ichneumonidae	0.18	Pteromalinae	0.07	Eulonchetron	0.05
AMTPB1389-15	Insecta	1.00	Hymenoptera	0.99	Ichneumonidae	0.98	Phygadeuontinae	0.83	Aclastus	0.77
AMTPB1422-15	Insecta	0.97	Hymenoptera	0.45	Ichneumonidae	0.14	Phygadeuontinae	0.08	Atractodes	0.04
AMTPB1674-15	Insecta	1.00	Hymenoptera	0.64	Eulophidae	0.24	Pteromalinae	0.09	Baryscapus	0.06
AMTPB1910-15	Insecta	1.00	Hymenoptera	0.60	Ichneumonidae	0.22	Telenominae	0.07	Telenomus	0.07
AMTPB1789-15	Insecta	1.00	Hymenoptera	0.99	Ichneumonidae	0.99	Campopleginae	0.66	Campoletis	0.61
AMTPB1989-15	Insecta	0.95	Hymenoptera	0.51	Ichneumonidae	0.18	Crabroninae	0.07	Pholetesor	0.05
AMTPB1804-15	Insecta	1.00	Hymenoptera	1.00	Tenthredinidae	1.00	Allantinae	1.00	Ametastegia	1.00
AMTPB1733-15	Insecta	1.00	Hymenoptera	1.00	Ichneumonidae	1.00	Orthocentrinae	1.00	Stenomacrus	1.00
AMTPB2170-15	Insecta	1.00	Hymenoptera	1.00	Eulophidae	1.00	Eulophinae	1.00	Pnigalio	1.00
AMTPB2066-15	Insecta	1.00	Hymenoptera	1.00	Dryinidae	1.00	Anteoninae	1.00	Anteon	1.00
AMTPB274-15	Insecta	0.97	Hymenoptera	0.55	Ichneumonidae	0.19	Larentiinae	0.10	Colastes	0.07
AMTPB755-15	Insecta	1.00	Hymenoptera	0.95	Ichneumonidae	0.93	Campopleginae	0.30	Olesicampe	0.14
AMTPB768-15	Insecta	0.99	Hymenoptera	0.48	Ichneumonidae	0.17	Cynipinae	0.07	Synergus	0.07
AMTPC001-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Polia	1.00
AMTPC002-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Polia	1.00
AMTPC003-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Polia	1.00
AMTPC014-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Hadena	1.00
AMTPC037-15	Insecta	1.00	Lepidoptera	1.00	Sphingidae	1.00	Smerinthinae	1.00	Laothoe	1.00
AMTPC035-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	1.00	Larentiinae	1.00	Entephria	1.00
AMTPC036-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Sideridis	1.00
AMTPC038-15	Insecta	1.00	Lepidoptera	1.00	Sesiidae	1.00	Sesiinae	1.00	Synanthedon	1.00
AMTPC039-15	Insecta	1.00	Lepidoptera	1.00	Lasiocampidae	1.00	Lasiocampinae	1.00	Lasiocampa	1.00
AMTPC040-15	Insecta	1.00	Lepidoptera	1.00	Sphingidae	1.00	Macroglossinae	1.00	Hemaris	1.00
AMTPC015-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Hadena	1.00
AMTPC044-15	Insecta	1.00	Lepidoptera	1.00	Pieridae	1.00	Pierinae	1.00	Pieris	1.00
AMTPC053-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Cuculliinae	1.00	Cucullia	1.00
AMTPC064-15	Insecta	1.00	Lepidoptera	1.00	Crambidae	1.00	Pyraustinae	1.00	Anania	1.00
AMTPC066-15	Insecta	1.00	Lepidoptera	1.00	Crambidae	1.00	Spilomelinae	1.00	Udea	1.00
AMTPC074-15	Insecta	1.00	Lepidoptera	1.00	Crambidae	1.00	Pyraustinae	1.00	Anania	1.00
AMTPC075-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	1.00	Larentiinae	1.00	Triphosa	1.00
AMTPC078-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	0.55	Larentiinae	0.54	Eupithecia	0.13
AMTPC080-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Antitype	1.00
AMTPC082-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	0.99	Noctuinae	0.99	Anarta	0.69
AMTPC086-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	0.98	Larentiinae	0.98	Colostygia	0.96
AMTPC088-15	Insecta	1.00	Lepidoptera	1.00	Tortricidae	1.00	Tortricinae	1.00	Cnephasia	1.00
AMTPC089-15	Insecta	1.00	Lepidoptera	0.99	Nymphalidae	0.83	Satyrinae	0.81	Erebia	0.47
AMTPC090-15	Insecta	1.00	Lepidoptera	1.00	Nymphalidae	0.83	Satyrinae	0.83	Erebia	0.51
AMTPC091-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Antitype	1.00
AMTPC093-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	1.00	Larentiinae	1.00	Thera	1.00
AMTPC101-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	1.00	Larentiinae	1.00	Perizoma	1.00
AMTPC105-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	1.00	Larentiinae	1.00	Hydriomena	1.00
AMTPC107-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	0.98	Larentiinae	0.98	Colostygia	0.95
AMTPC117-15	Insecta	1.00	Lepidoptera	0.97	Geometridae	0.51	Ennominae	0.46	Psodos	0.29
AMTPC119-15	Insecta	1.00	Lepidoptera	0.98	Geometridae	0.81	Ennominae	0.77	Yezognophos	0.52
AMTPC121-15	Insecta	1.00	Lepidoptera	0.99	Geometridae	0.83	Ennominae	0.77	Psodos	0.44
AMTPC123-15	Insecta	1.00	Lepidoptera	1.00	Nymphalidae	1.00	Satyrinae	1.00	Lasiommata	1.00
AMTPC125-15	Insecta	1.00	Lepidoptera	1.00	Nymphalidae	1.00	Nymphalinae	1.00	Aglais	1.00
AMTPC130-15	Insecta	1.00	Lepidoptera	1.00	Hesperiidae	1.00	Pyrginae	1.00	Pyrgus	1.00
AMTPC131-15	Insecta	1.00	Lepidoptera	1.00	Hesperiidae	1.00	Hesperiinae	1.00	Ochlodes	1.00
AMTPC142-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	1.00	Larentiinae	1.00	Perizoma	1.00
AMTPC143-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	1.00	Larentiinae	1.00	Perizoma	1.00
AMTPC144-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	1.00	Larentiinae	1.00	Perizoma	1.00
AMTPC145-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	1.00	Larentiinae	1.00	Perizoma	1.00
AMTPC147-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	1.00	Larentiinae	1.00	Chloroclysta	1.00
AMTPC148-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	1.00	Larentiinae	1.00	Perizoma	1.00
AMTPC155-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Sideridis	1.00
AMTPC156-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	0.95	Plusiinae	0.83	Euchalcia	0.63
AMTPC158-15	Insecta	1.00	Lepidoptera	0.99	Geometridae	0.88	Larentiinae	0.79	Colostygia	0.42
AMTPC159-15	Insecta	1.00	Lepidoptera	0.95	Geometridae	0.69	Larentiinae	0.55	Colostygia	0.23
AMTPC162-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Anarta	1.00
AMTPC163-15	Insecta	1.00	Lepidoptera	1.00	Erebidae	1.00	Boletobiinae	1.00	Phytometra	1.00
AMTPC166-15	Insecta	1.00	Lepidoptera	0.94	Geometridae	0.68	Larentiinae	0.54	Colostygia	0.17
AMTPC165-15	Insecta	1.00	Lepidoptera	1.00	Crambidae	1.00	Odontiinae	1.00	Metaxmeste	1.00
AMTPC172-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	1.00	Larentiinae	1.00	Triphosa	1.00
AMTPC173-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	0.96	Noctuinae	0.86	Mythimna	0.16
AMTPC176-15	Insecta	1.00	Lepidoptera	0.70	Psychidae	0.23	Oiketicinae	0.23	Phalacropterix	0.18
AMTPC177-15	Insecta	1.00	Lepidoptera	0.78	Psychidae	0.23	Psychinae	0.23	Proutia	0.20
AMTPC178-15	Insecta	1.00	Lepidoptera	0.72	Psychidae	0.25	Psychinae	0.23	Proutia	0.20
AMTPC179-15	Insecta	1.00	Lepidoptera	0.95	Geometridae	0.84	Larentiinae	0.79	Colostygia	0.22
AMTPC185-15	Insecta	1.00	Lepidoptera	1.00	Crambidae	1.00	Pyraustinae	1.00	Anania	1.00
AMTPC186-15	Insecta	1.00	Lepidoptera	0.97	Crambidae	0.45	Pyraustinae	0.39	Anania	0.23
AMTPC188-15	Insecta	1.00	Lepidoptera	1.00	Depressariidae	1.00	Depressariinae	1.00	Agonopterix	1.00
AMTPC189-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Papestra	1.00
AMTPC190-15	Insecta	1.00	Lepidoptera	1.00	Crambidae	1.00	Pyraustinae	1.00	Pyrausta	1.00
AMTPC192-15	Insecta	1.00	Lepidoptera	1.00	Nymphalidae	0.75	Satyrinae	0.74	Erebia	0.60
AMTPC193-15	Insecta	1.00	Lepidoptera	0.92	Nymphalidae	0.51	Satyrinae	0.51	Coenonympha	0.44
AMTPC197-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	0.99	Hadena	0.83
AMTPC198-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	0.99	Noctuinae	0.98	Anarta	0.66
AMTPC214-15	Insecta	1.00	Lepidoptera	0.99	Nymphalidae	0.93	Satyrinae	0.92	Erebia	0.73
AMTPC207-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Polia	1.00
AMTPC206-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Sideridis	1.00
AMTPC199-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Apamea	0.99
AMTPC212-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	0.81	Ennominae	0.75	Psodos	0.33
AMTPC205-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Sideridis	1.00
AMTPC216-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	0.99	Noctuinae	0.98	Xestia	0.58
AMTPC215-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Polia	1.00
AMTPC217-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	0.97	Noctuinae	0.91	Diarsia	0.16
AMTPC218-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Anarta	0.71
AMTPC220-15	Insecta	1.00	Lepidoptera	1.00	Lycaenidae	1.00	Polyommatinae	1.00	Agriades	0.38
AMTPC221-15	Insecta	1.00	Lepidoptera	1.00	Lycaenidae	1.00	Polyommatinae	1.00	Agriades	0.43
AMTPC223-15	Insecta	1.00	Lepidoptera	1.00	Lycaenidae	0.99	Polyommatinae	0.99	Agriades	0.41
AMTPC224-15	Insecta	1.00	Lepidoptera	1.00	Cossidae	1.00	Cossinae	1.00	Cossus	1.00
AMTPC225-15	Insecta	1.00	Lepidoptera	1.00	Sesiidae	1.00	Sesiinae	1.00	Synanthedon	1.00
AMTPC219-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	0.96	Noctuinae	0.93	Diarsia	0.25
AMTPC228-15	Insecta	1.00	Lepidoptera	0.95	Nymphalidae	0.81	Satyrinae	0.79	Erebia	0.48
AMTPC227-15	Insecta	1.00	Lepidoptera	0.95	Nymphalidae	0.79	Satyrinae	0.78	Erebia	0.51
AMTPC229-15	Insecta	1.00	Lepidoptera	0.97	Nymphalidae	0.75	Satyrinae	0.75	Erebia	0.59
AMTPC235-15	Insecta	1.00	Lepidoptera	1.00	Erebidae	1.00	Boletobiinae	1.00	Phytometra	1.00
AMTPC237-15	Insecta	1.00	Lepidoptera	1.00	Erebidae	1.00	Hypeninae	1.00	Hypena	1.00
AMTPC238-15	Insecta	1.00	Lepidoptera	0.96	Nymphalidae	0.58	Nymphalinae	0.54	Melitaea	0.54
AMTPC239-15	Insecta	1.00	Lepidoptera	0.97	Nymphalidae	0.63	Nymphalinae	0.60	Melitaea	0.57
AMTPC240-15	Insecta	1.00	Lepidoptera	1.00	Erebidae	1.00	Hypeninae	1.00	Hypena	1.00
AMTPC245-15	Insecta	1.00	Lepidoptera	0.99	Nymphalidae	0.96	Satyrinae	0.96	Erebia	0.89
AMTPC241-15	Insecta	1.00	Lepidoptera	0.98	Noctuidae	0.56	Noctuinae	0.31	Acronicta	0.06
AMTPC249-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	1.00	Larentiinae	1.00	Triphosa	1.00
AMTPC254-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	0.80	Ennominae	0.77	Psodos	0.44
AMTPC260-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	1.00	Larentiinae	1.00	Triphosa	1.00
AMTPC262-15	Insecta	1.00	Lepidoptera	1.00	Lycaenidae	0.98	Polyommatinae	0.98	Plebejus	0.38
AMTPC263-15	Insecta	1.00	Lepidoptera	1.00	Nymphalidae	0.72	Satyrinae	0.69	Erebia	0.49
AMTPC264-15	Insecta	1.00	Lepidoptera	0.99	Nymphalidae	0.94	Satyrinae	0.94	Erebia	0.82
AMTPC265-15	Insecta	1.00	Lepidoptera	0.98	Nymphalidae	0.88	Satyrinae	0.87	Erebia	0.49
AMTPC267-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Lacanobia	1.00
AMTPC268-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Apamea	1.00
AMTPC269-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Lacanobia	1.00
AMTPC272-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Hecatera	1.00
AMTPC273-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Cuculliinae	1.00	Cucullia	1.00
AMTPC274-15	Insecta	1.00	Lepidoptera	0.97	Crambidae	0.32	Odontiinae	0.19	Metaxmeste	0.19
AMTPC275-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Anarta	0.74
AMTPC287-15	Insecta	1.00	Lepidoptera	1.00	Hepialidae	1.00	dummy_Hepialidae	1.00	Korscheltellus	1.00
AMTPC288-15	Insecta	1.00	Lepidoptera	0.97	Lasiocampidae	0.90	Malacosomatinae	0.90	Malacosoma	0.90
AMTPC289-15	Insecta	1.00	Lepidoptera	1.00	Hepialidae	1.00	dummy_Hepialidae	1.00	Hepialus	1.00
AMTPC291-15	Insecta	1.00	Lepidoptera	1.00	Sphingidae	1.00	Macroglossinae	1.00	Hemaris	1.00
AMTPC293-15	Insecta	1.00	Lepidoptera	1.00	Gracillariidae	1.00	Lithocolletinae	1.00	Phyllonorycter	1.00
AMTPC294-15	Insecta	1.00	Lepidoptera	1.00	Tortricidae	1.00	Tortricinae	1.00	Eana	1.00
AMTPC295-15	Insecta	1.00	Lepidoptera	1.00	Depressariidae	1.00	Depressariinae	1.00	Agonopterix	1.00
AMTPC297-15	Insecta	1.00	Lepidoptera	1.00	Gelechiidae	1.00	Gelechiinae	1.00	Scrobipalpa	1.00
AMTPC304-15	Insecta	1.00	Lepidoptera	0.99	Nymphalidae	0.91	Satyrinae	0.91	Erebia	0.69
AMTPC298-15	Insecta	1.00	Lepidoptera	1.00	Depressariidae	1.00	Depressariinae	1.00	Agonopterix	1.00
AMTPC305-15	Insecta	1.00	Lepidoptera	1.00	Nymphalidae	0.92	Satyrinae	0.91	Erebia	0.72
AMTPC316-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	1.00	Larentiinae	1.00	Trichopteryx	1.00
AMTPC325-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	1.00	Larentiinae	1.00	Perizoma	1.00
AMTPC343-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	1.00	Larentiinae	1.00	Triphosa	1.00
AMTPC346-15	Insecta	1.00	Lepidoptera	1.00	Notodontidae	1.00	Pygaerinae	1.00	Clostera	1.00
AMTPC347-15	Insecta	1.00	Lepidoptera	1.00	Crambidae	1.00	Odontiinae	1.00	Metaxmeste	1.00
AMTPC364-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	1.00	Larentiinae	1.00	Perizoma	1.00
AMTPC354-15	Insecta	1.00	Lepidoptera	0.99	Noctuidae	0.76	Noctuinae	0.76	Agrotis	0.15
AMTPC355-15	Insecta	1.00	Lepidoptera	0.93	Geometridae	0.60	Larentiinae	0.47	Triphosa	0.32
AMTPC365-15	Insecta	1.00	Lepidoptera	1.00	Nymphalidae	0.97	Satyrinae	0.97	Erebia	0.82
AMTPC370-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Photedes	1.00
AMTPC374-15	Insecta	1.00	Lepidoptera	0.99	Geometridae	0.52	Larentiinae	0.51	Colostygia	0.27
AMTPC371-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	1.00	Larentiinae	1.00	Perizoma	1.00
AMTPC375-15	Insecta	1.00	Lepidoptera	0.97	Nymphalidae	0.75	Satyrinae	0.73	Erebia	0.50
AMTPC380-15	Insecta	1.00	Lepidoptera	0.97	Nymphalidae	0.74	Satyrinae	0.71	Erebia	0.47
AMTPC377-15	Insecta	1.00	Lepidoptera	1.00	Erebidae	1.00	Boletobiinae	1.00	Phytometra	1.00
AMTPC588-15	Insecta	1.00	Lepidoptera	1.00	Elachistidae	1.00	Elachistinae	1.00	Elachista	1.00
AMTPC637-15	Insecta	1.00	Lepidoptera	1.00	Tortricidae	1.00	Tortricinae	1.00	Syndemis	1.00
AMTPC654-15	Insecta	1.00	Lepidoptera	1.00	Gelechiidae	1.00	Gelechiinae	1.00	Scrobipalpula	1.00
AMTPD023-15	Insecta	0.99	Diptera	0.83	Chironomidae	0.45	Orthocladiinae	0.32	Limnophyes	0.12
AMTPD090-15	Insecta	1.00	Diptera	0.87	Chironomidae	0.59	Orthocladiinae	0.34	Chaetocladius	0.08
AMTPD1168-15	Insecta	1.00	Diptera	1.00	Tipulidae	1.00	Tipulinae	1.00	Tipula	1.00
AMTPD126-15	Insecta	0.99	Diptera	0.84	Chironomidae	0.41	Orthocladiinae	0.32	Limnophyes	0.08
AMTPD1253-15	Insecta	1.00	Diptera	1.00	Tipulidae	1.00	Tipulinae	1.00	Tipula	1.00
AMTPD1527-15	Insecta	1.00	Diptera	1.00	Lonchaeidae	1.00	Lonchaeinae	1.00	Priscoearomyia	1.00
AMTPD1528-15	Insecta	1.00	Diptera	1.00	Lonchaeidae	1.00	Lonchaeinae	1.00	Priscoearomyia	1.00
AMTPD2148-15	Insecta	1.00	Diptera	1.00	Simuliidae	1.00	Simuliinae	1.00	Simulium	1.00
AMTPD2446-15	Insecta	1.00	Diptera	0.97	Heleomyzidae	0.55	Heleomyzinae	0.53	Heleomyza	0.26
AMTPD287-15	Insecta	1.00	Diptera	0.86	Chironomidae	0.58	Orthocladiinae	0.46	Limnophyes	0.26
AMTPD3025-15	Insecta	1.00	Diptera	1.00	Tephritidae	1.00	Trypetinae	1.00	Euleia	1.00
AMTPD3267-15	Insecta	1.00	Diptera	1.00	Pipunculidae	1.00	Pipunculinae	1.00	Cephalosphaera	1.00
AMTPD333-15	Insecta	1.00	Diptera	0.89	Chironomidae	0.48	Orthocladiinae	0.41	Limnophyes	0.23
AMTPD3082-15	Insecta	1.00	Diptera	1.00	Tephritidae	1.00	Tephritinae	1.00	Campiglossa	1.00
AMTPD356-15	Insecta	1.00	Diptera	0.72	Chironomidae	0.41	Orthocladiinae	0.26	Limnophyes	0.05
AMTPD3770-15	Insecta	1.00	Diptera	1.00	Bibionidae	1.00	Bibioninae	1.00	Bibio	1.00
AMTPD3844-15	Insecta	1.00	Diptera	0.92	Anthomyiidae	0.12	Anthomyiinae	0.08	Hilara	0.07
AMTPD375-15	Insecta	1.00	Diptera	0.86	Chironomidae	0.37	Orthocladiinae	0.36	Limnophyes	0.18
AMTPD428-15	Insecta	1.00	Diptera	0.92	Chironomidae	0.56	Orthocladiinae	0.47	Limnophyes	0.22
AMTPD438-15	Insecta	1.00	Diptera	0.97	Chironomidae	0.59	Diamesinae	0.34	Diamesa	0.34
AMTPD440-15	Insecta	1.00	Diptera	0.66	Chironomidae	0.31	Orthocladiinae	0.25	Metriocnemus	0.06
AMTPD4469-16	Insecta	1.00	Diptera	1.00	Syrphidae	1.00	Syrphinae	1.00	Melanostoma	1.00
AMTPD3995-15	Insecta	1.00	Diptera	1.00	Limoniidae	1.00	Limnophilinae	1.00	Euphylidorea	0.68
AMTPD4497-16	Insecta	1.00	Diptera	0.98	Syrphidae	0.97	Eristalinae	0.96	Cheilosia	0.83
AMTPD4502-16	Insecta	1.00	Diptera	1.00	Syrphidae	1.00	Syrphinae	1.00	Melanostoma	1.00
AMTPD4518-16	Insecta	1.00	Diptera	1.00	Syrphidae	1.00	Eristalinae	1.00	Cheilosia	1.00
AMTPD4547-16	Insecta	1.00	Diptera	1.00	Syrphidae	1.00	Eristalinae	1.00	Pelecocera	1.00
AMTPD4568-16	Insecta	1.00	Diptera	1.00	Syrphidae	1.00	Syrphinae	1.00	Melanostoma	1.00
AMTPD4575-16	Insecta	1.00	Diptera	1.00	Syrphidae	0.95	Eristalinae	0.94	Cheilosia	0.93
AMTPD4597-16	Insecta	1.00	Diptera	1.00	Syrphidae	1.00	Syrphinae	1.00	Melanostoma	1.00
AMTPD473-15	Insecta	0.99	Diptera	0.77	Chironomidae	0.36	Orthocladiinae	0.27	Limnophyes	0.08
AMTPD4614-16	Insecta	1.00	Diptera	1.00	Syrphidae	1.00	Syrphinae	1.00	Eupeodes	1.00
AMTPD474-15	Insecta	1.00	Diptera	0.82	Chironomidae	0.27	Orthocladiinae	0.21	Limnophyes	0.06
AMTPD4599-16	Insecta	1.00	Diptera	1.00	Syrphidae	1.00	Eristalinae	1.00	Eristalis	1.00
AMTPD475-15	Insecta	0.98	Diptera	0.75	Chironomidae	0.44	Orthocladiinae	0.36	Cricotopus	0.11
AMTPD506-15	Insecta	1.00	Diptera	0.93	Chironomidae	0.10	Orthocladiinae	0.09	Cricotopus	0.06
AMTPD503-15	Insecta	1.00	Diptera	0.89	Chironomidae	0.16	Anthomyiinae	0.11	Hydrophorus	0.05
AMTPD511-15	Insecta	0.99	Diptera	0.89	Chironomidae	0.27	Orthocladiinae	0.15	Cricotopus	0.06
AMTPD518-15	Insecta	0.99	Diptera	0.73	Syrphidae	0.09	Empidinae	0.07	Dolichopus	0.06
AMTPD528-15	Insecta	1.00	Diptera	0.92	Tachinidae	0.31	Exoristinae	0.18	Carcelia	0.08
AMTPD529-15	Insecta	1.00	Diptera	0.82	Tachinidae	0.28	Exoristinae	0.16	Coenosia	0.06
AMTPD530-15	Insecta	1.00	Diptera	0.88	Tachinidae	0.36	Exoristinae	0.18	Carcelia	0.07
AMTPD532-15	Insecta	1.00	Diptera	0.88	Tachinidae	0.25	Exoristinae	0.12	Fannia	0.07
AMTPD540-15	Insecta	1.00	Diptera	1.00	Keroplatidae	1.00	Keroplatinae	1.00	Orfelia	1.00
AMTPD541-15	Insecta	1.00	Diptera	1.00	Keroplatidae	1.00	Keroplatinae	1.00	Orfelia	1.00
AMTPD542-15	Insecta	1.00	Diptera	1.00	Keroplatidae	1.00	Keroplatinae	1.00	Orfelia	1.00
AMTPD543-15	Insecta	1.00	Diptera	1.00	Keroplatidae	1.00	Keroplatinae	1.00	Orfelia	1.00
AMTPD545-15	Insecta	1.00	Diptera	1.00	Keroplatidae	1.00	Keroplatinae	1.00	Orfelia	1.00
AMTPD553-15	Insecta	1.00	Diptera	1.00	Keroplatidae	1.00	Keroplatinae	1.00	Orfelia	1.00
AMTPD560-15	Insecta	1.00	Diptera	1.00	Keroplatidae	1.00	Keroplatinae	1.00	Orfelia	1.00
AMTPD561-15	Insecta	0.99	Diptera	0.64	Syrphidae	0.12	Eristalinae	0.07	Eupithecia	0.04
AMTPD570-15	Insecta	0.99	Diptera	0.51	Tachinidae	0.09	Larentiinae	0.08	Eupithecia	0.07
