ID	kingdom	Prob_kingdom	phylum	Prob_phylum	class	Prob_class	 order	Prob_order	family	Prob_family	genus	Prob_genus	 species	Prob_species
MN537723		Fungi	1.00	Ascomycota	1.00	Eurotiomycetes	1.00	Chaetothyriales	1.00	Herpotrichiellaceae	0.84	Exophiala	0.84	Exophiala_eucalyptorum	0.81
JN942681		Fungi	1.00	Ascomycota	0.51	Agaricomycetes	0.33	Agaricales	0.22	Mycenaceae	0.07	Biscogniauxia	0.06	Biscogniauxia_rosacearum	0.06
KF251172		Fungi	1.00	Ascomycota	1.00	Dothideomycetes	1.00	Pleosporales	1.00	Phaeosphaeriaceae	1.00	Paraphoma	1.00	Paraphoma_radicina	1.00
HQ599386		Fungi	1.00	Ascomycota	1.00	Dothideomycetes	1.00	Pleosporales	1.00	Massariaceae	1.00	Massaria	1.00	Massaria_campestris	1.00
JQ627125		Fungi	1.00	Ascomycota	0.99	Leotiomycetes	0.30	Hypocreales	0.20	Sareaceae	0.15	Sarea	0.15	Sarea_resinae	0.15
MW694951		Fungi	1.00	Ascomycota	1.00	Eurotiomycetes	1.00	Eurotiales	1.00	Aspergillaceae	1.00	Penicillium	1.00	Penicillium_cainii	0.73
MN250204		Fungi	1.00	Basidiomycota	0.91	Agaricomycetes	0.88	Agaricales	0.53	Boletaceae	0.08	Boletus	0.08	Boletus_reticulatus	0.08
JX867675		Fungi	1.00	Ascomycota	0.83	Dothideomycetes	0.40	Pleosporales	0.27	Saccharataceae	0.08	Septorioides	0.08	Septorioides_pini-thunbergii	0.08
OK057148		Fungi	1.00	Basidiomycota	0.94	Agaricomycetes	0.94	Agaricales	0.91	Psathyrellaceae	0.37	Psathyrella	0.21	Psathyrella_spadiceogrisea	0.07
KU846463		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Hypocreales	1.00	Stachybotryaceae	1.00	Myxospora	0.98	Myxospora_crassiseta	0.98
MH872962		Fungi	1.00	Ascomycota	1.00	Dothideomycetes	1.00	Pleosporales	1.00	Dacampiaceae	1.00	Aaosphaeria	1.00	Aaosphaeria_arxii	1.00
KP336774		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Sordariales	1.00	Chaetomiaceae	1.00	Parachaetomium	0.97	Parachaetomium_inaequale	0.97
MK229175		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Diaporthales	1.00	Juglanconidaceae	0.99	Juglanconis	0.99	Juglanconis_juglandina	0.99
DQ366699		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Hypocreales	1.00	Nectriaceae	1.00	Gliocephalotrichum	1.00	Gliocephalotrichum_microchlamydosporum	0.94
AY905554		Fungi	1.00	Ascomycota	1.00	Dothideomycetes	1.00	Botryosphaeriales	1.00	Botryosphaeriaceae	1.00	Neofusicoccum	1.00	Neofusicoccum_mangiferae	1.00
OK057159		Fungi	1.00	Basidiomycota	0.96	Agaricomycetes	0.96	Agaricales	0.93	Psathyrellaceae	0.58	Tulosesus	0.35	Tulosesus_pallidus	0.34
KP336763		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Sordariales	1.00	Chaetomiaceae	1.00	Ovatospora	1.00	Ovatospora_unipora	1.00
KY633514		Fungi	1.00	Ascomycota	1.00	Leotiomycetes	1.00	Phacidiales	1.00	Phacidiaceae	1.00	Phacidium	1.00	Phacidium_lacerum	1.00
MH784817		Fungi	1.00	Basidiomycota	0.97	Agaricomycetes	0.96	Agaricales	0.94	Lycoperdaceae	0.28	Lycoperdon	0.15	Lycoperdon_pyriforme	0.14
JN388972		Fungi	1.00	Basidiomycota	0.98	Agaricomycetes	0.95	Polyporales	0.36	Polyporaceae	0.21	Lactarius	0.19	Lactarius_ciliatus	0.17
KU597793		Fungi	1.00	Ascomycota	1.00	Leotiomycetes	0.95	Helotiales	0.95	Lachnaceae	0.76	Lachnellula	0.33	Proliferodiscus_tricolor	0.29
UDB000418		Fungi	1.00	Basidiomycota	0.98	Agaricomycetes	0.97	Boletales	0.68	Boletaceae	0.65	Boletus	0.65	Boletus_reticulatus	0.65
KP859039		Fungi	1.00	Ascomycota	1.00	Orbiliomycetes	1.00	Orbiliales	1.00	Orbiliaceae	1.00	Hyalorbilia	1.00	Hyalorbilia_fusarioides	1.00
AB304152		Fungi	1.00	Ascomycota	1.00	Saccharomycetes	1.00	Saccharomycetales	1.00	Saccharomycetaceae	1.00	Torulaspora	1.00	Torulaspora_maleeae	1.00
AJ969625		Fungi	1.00	Ascomycota	1.00	Pezizomycetes	1.00	Pezizales	1.00	Tuberaceae	1.00	Tuber	1.00	Tuber_borchii	1.00
KT949907		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Amphisphaeriales	0.99	Pseudomassariaceae	0.96	Pseudomassaria	0.72	Pseudomassaria_chondrospora	0.72
NR_156313		Fungi	1.00	Ascomycota	1.00	Saccharomycetes	1.00	Saccharomycetales	1.00	Metschnikowiaceae	1.00	Metschnikowia	1.00	Metschnikowia_viticola	0.50
HE962445		Fungi	1.00	Ascomycota	0.65	Saccharomycetes	0.48	Saccharomycetales	0.48	Saccharomycetaceae	0.20	Mucor	0.13	Torulaspora_globosa	0.07
KY827270		Fungi	1.00	Basidiomycota	0.97	Agaricomycetes	0.95	Agaricales	0.90	Psathyrellaceae	0.36	Tulosesus	0.19	Tulosesus_pallidus	0.19
KT949904		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Amphisphaeriales	0.94	Beltraniaceae	0.56	Neopestalotiopsis	0.36	Beltraniella_endiandrae	0.27
MK050431		Fungi	1.00	Basidiomycota	1.00	Microbotryomycetes	1.00	Microbotryomycetes_ord_Incertae_sedis_Chrysozymaceae	1.00	Chrysozymaceae	1.00	Chrysozyma	1.00	Chrysozyma_griseoflava	1.00
MN218820		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Xylariales	1.00	Xylariaceae	1.00	Xylaria	0.95	Xylaria_ellisii	0.52
KX234735		Fungi	1.00	Basidiomycota	1.00	Agaricomycetes	1.00	Agaricales	0.95	Psathyrellaceae	0.34	Tulosesus	0.28	Tulosesus_pallidus	0.28
KT949914		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Amphisphaeriales	1.00	Sporocadaceae	1.00	Seiridium	0.74	Seiridium_papillatum	0.46
KM039135		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	0.99	Xylariales	0.85	Hypoxylaceae	0.42	Xylaria	0.30	Xylaria_necrophora	0.15
FN185976		Fungi	1.00	Ascomycota	0.99	Leotiomycetes	0.72	Leotiales	0.58	Tympanidaceae	0.58	Tympanis	0.57	Tympanis_amelanchieris	0.23
JQ281774		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Diaporthales	1.00	Schizoparmaceae	1.00	Coniella	1.00	Coniella_pseudokoreana	0.92
MH855021		Fungi	1.00	Ascomycota	1.00	Saccharomycetes	1.00	Saccharomycetales	1.00	Cephaloascaceae	1.00	Cephaloascus	1.00	Cephaloascus_fragrans	1.00
KT949912		Fungi	1.00	Ascomycota	0.99	Sordariomycetes	0.67	Xylariales	0.25	Apiosporaceae	0.15	Nigrospora	0.15	Nigrospora_oryzae	0.14
KY827281		Fungi	1.00	Basidiomycota	0.98	Agaricomycetes	0.97	Agaricales	0.97	Hymenogastraceae	0.51	Galerina	0.38	Galerina_pumila	0.37
HM241692		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Chaetosphaeriales	1.00	Chaetosphaeriaceae	1.00	Pyrigemmula	1.00	Pyrigemmula_aurantiaca	1.00
MT216220		Fungi	1.00	Basidiomycota	1.00	Agaricomycetes	1.00	Agaricales	1.00	Hymenogastraceae	0.97	Psilocybe	0.53	Psilocybe_semilanceata	0.47
AY029342		Fungi	1.00	Basidiomycota	1.00	Tremellomycetes	1.00	Tremellales	1.00	Bulleribasidiaceae	1.00	Dioszegia	1.00	Dioszegia_butyracea	0.99
Z69588		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Hypocreales	1.00	Hypocreaceae	1.00	Trichoderma	1.00	Trichoderma_novae-zelandiae	0.53
MH712825		Fungi	1.00	Basidiomycota	0.81	Tremellomycetes	0.64	Tremellales	0.64	Tremellaceae	0.24	Tremella	0.24	Tremella_basidiomaticola	0.13
MN475939		Fungi	1.00	Basidiomycota	0.51	Agaricomycetes	0.47	Russulales	0.15	Peniophoraceae	0.09	Piloderma	0.07	Gibellulopsis_piscis	0.05
UDB035385		Fungi	1.00	Ascomycota	1.00	Eurotiomycetes	1.00	Ascosphaerales	1.00	Ascosphaeraceae	1.00	Ascosphaera	1.00	Ascosphaera_flava	1.00
KC608590		Fungi	1.00	Basidiomycota	0.96	Agaricomycetes	0.94	Agaricales	0.90	Agaricaceae	0.22	Agaricus	0.21	Calonarius_piceae	0.17
MK530453		Fungi	1.00	Ascomycota	1.00	Leotiomycetes	0.50	Helotiales	0.48	Myxotrichaceae	0.19	Oidiodendron	0.19	Oidiodendron_majus	0.19
EU343815		Fungi	1.00	Ascomycota	1.00	Saccharomycetes	1.00	Saccharomycetales	1.00	Saccharomycetales_fam_Incertae_sedis_Candida	1.00	Candida	1.00	Candida_gosingica	1.00
MK409979		Fungi	1.00	Ascomycota	0.99	Leotiomycetes	0.68	Helotiales	0.59	Drepanopezizaceae	0.31	Pseudopeziza	0.21	Pseudopeziza_medicaginis	0.21
AY015439		Fungi	1.00	Basidiomycota	1.00	Microbotryomycetes	1.00	Sporidiobolales	1.00	Sporidiobolaceae	1.00	Sporobolomyces	1.00	Sporobolomyces_ruberrimus	1.00
AY174797		Fungi	1.00	Basidiomycota	1.00	Agaricomycetes	1.00	Agaricales	1.00	Cortinariaceae	0.46	Calonarius	0.46	Calonarius_piceae	0.46
MW481711		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Amphisphaeriales	1.00	Apiosporaceae	1.00	Apiospora	1.00	Apiospora_pseudospegazzinii	0.96
JX941573		Fungi	1.00	Basidiomycota	1.00	Agaricomycetes	1.00	Polyporales	1.00	Polyporaceae	1.00	Perenniporia	1.00	Perenniporia_ochroleuca	1.00
GQ281791		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Diaporthales	1.00	Diaporthaceae	1.00	Diaporthe	1.00	Diaporthe_amygdali	1.00
JQ954648		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Diaporthales	1.00	Diaporthaceae	1.00	Diaporthe	1.00	Diaporthe_citrichinensis	0.99
MG828901		Fungi	1.00	Ascomycota	1.00	Dothideomycetes	1.00	Pleosporales	1.00	Phaeosphaeriaceae	0.68	Stagonospora	0.32	Stagonospora_pseudovitensis	0.32
KC520546		Fungi	1.00	Basidiomycota	0.99	Agaricomycetes	0.99	Agaricales	0.96	Physalacriaceae	0.23	Flammulina	0.20	Calonarius_piceae	0.19
KX965730		Fungi	1.00	Ascomycota	1.00	Dothideomycetes	0.99	Pleosporales	0.99	Didymosphaeriaceae	0.63	Kalmusia	0.36	Kalmusia_variispora	0.36
JN620351		Fungi	1.00	Basidiomycota	1.00	Agaricostilbomycetes	1.00	Agaricostilbales	1.00	Kondoaceae	1.00	Bensingtonia	1.00	Bensingtonia_pseudonaganoensis	0.66
KF730001		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Hypocreales	1.00	Hypocreaceae	1.00	Trichoderma	1.00	Trichoderma_gliocladium	0.69
EU343830		Fungi	1.00	Ascomycota	1.00	Saccharomycetes	1.00	Saccharomycetales	1.00	Metschnikowiaceae	1.00	Clavispora	1.00	Clavispora_fructus	1.00
KU866677		Fungi	1.00	Ascomycota	1.00	Eurotiomycetes	1.00	Eurotiales	1.00	Aspergillaceae	1.00	Aspergillus	1.00	Aspergillus_monodii	1.00
KX964424		Fungi	1.00	Basidiomycota	0.99	Agaricomycetes	0.99	Agaricales	0.98	Cortinariaceae	0.34	Calonarius	0.34	Calonarius_piceae	0.34
MF611640		Fungi	1.00	Basidiomycota	1.00	Agaricomycetes	1.00	Agaricales	1.00	Agaricaceae	1.00	Agaricus	1.00	Agaricus_stevensii	0.80
GU591650		Fungi	1.00	Basidiomycota	1.00	Agaricomycetes	1.00	Agaricales	1.00	Hymenogastraceae	0.96	Hebeloma	0.90	Hebeloma_brunneifolium	0.42
JX093786		Fungi	1.00	Basidiomycota	1.00	Agaricomycetes	1.00	Hymenochaetales	1.00	Hymenochaetaceae	1.00	Phellinus	0.53	Phellinus_hartigii	0.53
AY573202		Fungi	1.00	Ascomycota	1.00	Dothideomycetes	1.00	Botryosphaeriales	1.00	Botryosphaeriaceae	1.00	Neofusicoccum	1.00	Neofusicoccum_mangiferae	0.87
KT037522		Fungi	1.00	Ascomycota	1.00	Dothideomycetes	1.00	Mycosphaerellales	1.00	Mycosphaerellaceae	1.00	Pseudocercospora	0.95	Pseudocercospora_araliae	0.69
UDB037616		Fungi	1.00	Basidiomycota	0.99	Agaricomycetes	0.99	Agaricales	0.93	Strophariaceae	0.30	Pholiota	0.23	Moniliophthora_roreri	0.14
KR119072		Fungi	1.00	Basidiomycota	1.00	Agaricomycetes	1.00	Polyporales	1.00	Irpicaceae	1.00	Ceriporia	1.00	Ceriporia_lacerata	1.00
KU846135		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Hypocreales	1.00	Stachybotryaceae	0.70	Achroiostachys	0.54	Achroiostachys_betulicola	0.54
FJ378871		Fungi	1.00	Ascomycota	1.00	Leotiomycetes	0.67	Helotiales	0.66	Mollisiaceae	0.22	Phialocephala	0.18	Phialocephala_compacta	0.18
MW063202		Fungi	1.00	Ascomycota	1.00	Leotiomycetes	0.50	Leotiales	0.50	Cochlearomycetaceae	0.50	Satchmopsis	0.50	Satchmopsis_sacciformis	0.50
KM065941		Fungi	1.00	Ascomycota	1.00	Saccharomycetes	1.00	Saccharomycetales	1.00	Pichiaceae	1.00	Kuraishia	1.00	Kuraishia_ogatae	1.00
MH549203		Fungi	1.00	Basidiomycota	1.00	Agaricomycetes	1.00	Polyporales	0.41	Polyporaceae	0.32	Lactarius	0.15	Lentinus_tigrinus	0.12
HM562042		Fungi	1.00	Basidiomycota	0.99	Agaricomycetes	0.98	Agaricales	0.93	Mycenaceae	0.25	Mycena	0.25	Mycena_polygramma	0.13
FJ150706		Fungi	1.00	Ascomycota	1.00	Dothideomycetes	1.00	Botryosphaeriales	1.00	Saccharataceae	1.00	Saccharata	1.00	Saccharata_kirstenboschensis	0.74
DQ458893		Fungi	1.00	Ascomycota	1.00	Dothideomycetes	1.00	Botryosphaeriales	1.00	Botryosphaeriaceae	1.00	Diplodia	0.99	Diplodia_rosulata	0.99
FM206456		Fungi	1.00	Ascomycota	0.96	Pezizomycetes	0.56	Pezizales	0.56	Pyronemataceae	0.56	Tricharina	0.55	Tricharina_hiemalis	0.41
KJ847426		Fungi	1.00	Ascomycota	1.00	Dothideomycetes	1.00	Botryosphaeriales	1.00	Phyllostictaceae	1.00	Phyllosticta	0.85	Phyllosticta_brasiliana	0.35
KJ847422		Fungi	1.00	Ascomycota	1.00	Dothideomycetes	1.00	Botryosphaeriales	1.00	Phyllostictaceae	1.00	Phyllosticta	0.93	Phyllosticta_paxistimae	0.61
KJ847424		Fungi	1.00	Ascomycota	1.00	Dothideomycetes	1.00	Botryosphaeriales	1.00	Phyllostictaceae	1.00	Phyllosticta	1.00	Phyllosticta_ilicis-aquifolii	0.31
AF418621		Fungi	1.00	Basidiomycota	0.91	Agaricomycetes	0.82	Agaricales	0.31	Hymenogastraceae	0.10	Auriscalpium	0.10	Auriscalpium_vulgare	0.10
KF500530		Fungi	1.00	Ascomycota	1.00	Dothideomycetes	1.00	Pleosporales	1.00	Pleosporaceae	1.00	Bipolaris	1.00	Bipolaris_drechsleri	0.95
JQ926291		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Diaporthales	0.99	Melanconiellaceae	0.99	Melanconiella	0.99	Melanconiella_flavovirens	0.87
MN576831		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Hypocreales	1.00	Cordycipitaceae	1.00	Lecanicillium	0.73	Lecanicillium_psalliotae	0.62
AF444415		Fungi	1.00	Basidiomycota	1.00	Tremellomycetes	1.00	Trichosporonales	1.00	Trichosporonaceae	1.00	Cutaneotrichosporon	1.00	Cutaneotrichosporon_moniliiforme	1.00
AF444414		Fungi	1.00	Basidiomycota	1.00	Tremellomycetes	1.00	Trichosporonales	1.00	Trichosporonaceae	1.00	Apiotrichum	1.00	Apiotrichum_domesticum	0.99
KF984490		Fungi	1.00	Ascomycota	0.77	Saccharomycetes	0.61	Saccharomycetales	0.61	Saccharomycetales_fam_Incertae_sedis_Candida	0.18	Candida	0.18	Ogataea_salicorniae	0.06
AF444408		Fungi	1.00	Basidiomycota	1.00	Tremellomycetes	1.00	Cystofilobasidiales	1.00	Mrakiaceae	1.00	Udeniomyces	1.00	Udeniomyces_megalosporus	1.00
AF072238		Fungi	1.00	Ascomycota	1.00	Leotiomycetes	0.53	Helotiales	0.29	Tympanidaceae	0.17	Tympanis	0.14	Tympanis_pseudotsugae	0.12
KT217364		Fungi	1.00	Basidiomycota	1.00	Agaricomycetes	1.00	Agaricales	1.00	Hymenogastraceae	0.96	Hebeloma	0.92	Hebeloma_angustisporium	0.50
LN850760		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Microascales	1.00	Microascaceae	1.00	Microascus	0.87	Microascus_trigonosporus	0.87
EU517056		Fungi	1.00	Basidiomycota	1.00	Tremellomycetes	1.00	Tremellales	1.00	Bulleribasidiaceae	1.00	Derxomyces	1.00	Derxomyces_yunnanensis	0.29
AB072229		Fungi	1.00	Basidiomycota	1.00	Tremellomycetes	1.00	Cystofilobasidiales	1.00	Mrakiaceae	1.00	Itersonilia	1.00	Itersonilia_pannonica	1.00
AF444417		Fungi	1.00	Basidiomycota	0.99	Tremellomycetes	0.86	Cystofilobasidiales	0.76	Mrakiaceae	0.70	Mrakia	0.59	Mrakia_frigida	0.46
KY105699		Fungi	1.00	Ascomycota	1.00	Saccharomycetes	1.00	Saccharomycetales	1.00	Trichomonascaceae	1.00	Trichomonascus	1.00	Trichomonascus_apis	1.00
KY189977		Fungi	1.00	Ascomycota	1.00	Dothideomycetes	1.00	Botryosphaeriales	1.00	Botryosphaeriaceae	1.00	Dichomera	1.00	Dichomera_gemmicola	1.00
MH555894		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Ophiostomatales	1.00	Ophiostomataceae	1.00	Ophiostoma	1.00	Ophiostoma_macrosporum	0.63
KC343008		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Diaporthales	1.00	Diaporthaceae	1.00	Diaporthe	0.99	Diaporthe_citrichinensis	0.99
AF444440		Fungi	1.00	Basidiomycota	1.00	Tremellomycetes	1.00	Trichosporonales	1.00	Trichosporonaceae	1.00	Apiotrichum	1.00	Apiotrichum_gracile	1.00
KT719167		Fungi	1.00	Basidiomycota	0.52	Saccharomycetes	0.29	Saccharomycetales	0.29	Pachnocybaceae	0.17	Pachnocybe	0.17	Pachnocybe_ferruginea	0.17
AY540126		Fungi	1.00	Ascomycota	1.00	Leotiomycetes	1.00	Helotiales	1.00	Dermateaceae	1.00	Pezicula	1.00	Pezicula_ericae	1.00
AF444443		Fungi	1.00	Basidiomycota	1.00	Tremellomycetes	1.00	Tremellales	1.00	Cryptococcaceae	1.00	Kwoniella	1.00	Kwoniella_dendrophila	0.99
MN548907		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Ophiostomatales	1.00	Ophiostomataceae	1.00	Graphilbum	1.00	Graphilbum_sparsum	0.90
KF432982		Fungi	1.00	Basidiomycota	1.00	Agaricomycetes	1.00	Russulales	1.00	Russulaceae	1.00	Lactarius	1.00	Lactarius_subdulcis	1.00
KP004462		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Amphisphaeriales	1.00	Clypeophysalosporaceae	1.00	Bagadiella	0.96	Bagadiella_lunata	0.96
AF444469		Fungi	1.00	Basidiomycota	1.00	Tremellomycetes	1.00	Tremellales	1.00	Bulleribasidiaceae	1.00	Vishniacozyma	1.00	Vishniacozyma_victoriae	1.00
GU327626		Fungi	1.00	Ascomycota	1.00	Saccharomycetes	1.00	Saccharomycetales	1.00	Debaryomycetaceae	1.00	Yamadazyma	1.00	Yamadazyma_olivae	1.00
KC222130		Fungi	1.00	Ascomycota	0.99	Xylonomycetes	0.46	Xylonales	0.44	Xylonaceae	0.44	Xylona	0.44	Xylona_heveae	0.44
MF540618		Fungi	1.00	Ascomycota	0.68	Saccharomycetes	0.25	Saccharomycetales	0.25	Saccharomycopsidaceae	0.08	Ambrosiozyma	0.08	Kalmusia_variispora	0.04
MN548915		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Ophiostomatales	1.00	Ophiostomataceae	1.00	Graphilbum	0.99	Graphilbum_sparsum	0.93
DQ632675		Fungi	1.00	Ascomycota	1.00	Dothideomycetes	1.00	Mycosphaerellales	1.00	Mycosphaerellaceae	1.00	Paramycosphaerella	0.80	Paramycosphaerella_wachendorfiae	0.80
MN108118		Fungi	1.00	Basidiomycota	1.00	Agaricomycetes	1.00	Hymenochaetales	0.99	Hymenochaetaceae	0.99	Inonotus	0.42	Hydnoporia_olivacea	0.41
KX238805		Fungi	1.00	Ascomycota	0.81	Eurotiomycetes	0.63	Eurotiales	0.52	Aspergillaceae	0.25	Sagenomella	0.21	Sagenomella_verticillata	0.19
MH861396		Fungi	1.00	Basidiomycota	1.00	Agaricomycetes	1.00	Russulales	1.00	Peniophoraceae	1.00	Vararia	1.00	Vararia_breviphysa	1.00
