ID	kingdom	Prob_kingdom	phylum	Prob_phylum	class	Prob_class	 order	Prob_order	family	Prob_family	genus	Prob_genus	 species	Prob_species
KJ780507		Fungi	1.00	Ascomycota	0.59	Agaricomycetes	0.36	Russulales	0.16	Peniophoraceae	0.11	Peniophora	0.06	Venturia_pyrina	0.06
HQ260334		Fungi	1.00	Ascomycota	1.00	Saccharomycetes	1.00	Saccharomycetales	1.00	Saccharomycetaceae	1.00	Kazachstania	1.00	Kazachstania_intestinalis	1.00
UDB038245		Fungi	1.00	Basidiomycota	1.00	Agaricomycetes	1.00	Polyporales	0.95	Phanerochaetaceae	0.83	Phaeophlebiopsis	0.36	Phaeophlebiopsis_ravenelii	0.36
KM591585		Fungi	1.00	Ascomycota	0.55	Agaricomycetes	0.18	Russulales	0.13	Peniophoraceae	0.11	Robbauera	0.10	Robbauera_albescens	0.10
MT477069		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	0.96	Hypocreales	0.69	Cordycipitaceae	0.27	Trichoderma	0.19	Trichoderma_alutaceum	0.12
KP272110		Fungi	1.00	Ascomycota	0.93	Xylonomycetes	0.26	Helotiales	0.18	Xylonaceae	0.14	Xylona	0.14	Xylona_heveae	0.14
KU845985		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Hypocreales	1.00	Stachybotryaceae	1.00	Alfaria	1.00	Alfaria_terrestris	0.74
JN000071		Fungi	1.00	Basidiomycota	1.00	Microbotryomycetes	1.00	Microbotryales	1.00	Microbotryaceae	1.00	Microbotryum	1.00	Microbotryum_vinosum	1.00
JQ989328		Fungi	1.00	Ascomycota	0.94	Pezizomycetes	0.75	Pezizales	0.75	Pyronemataceae	0.75	Tricharina	0.69	Tricharina_hiemalis	0.34
MT477071		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	0.96	Hypocreales	0.61	Cordycipitaceae	0.49	Sporothrix	0.20	Cordyceps_cateniobliqua	0.15
JN942681		Fungi	1.00	Ascomycota	0.49	Agaricomycetes	0.32	Agaricales	0.18	Mucoraceae	0.11	Mucor	0.11	Trigonopsis_variabilis	0.07
EU514225		Fungi	1.00	Ascomycota	1.00	Dothideomycetes	1.00	Mycosphaerellales	1.00	Dissoconiaceae	1.00	Uwebraunia	1.00	Uwebraunia_musae	1.00
KU847232		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Hypocreales	1.00	Stachybotryaceae	1.00	Striaticonidium	1.00	Striaticonidium_brachysporum	1.00
KU847240		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Hypocreales	1.00	Stachybotryaceae	0.99	Striaticonidium	0.99	Striaticonidium_synnematum	0.57
LC259095		Fungi	1.00	Ascomycota	1.00	Saccharomycetes	1.00	Saccharomycetales	1.00	Lipomycetaceae	1.00	Lipomyces	1.00	Lipomyces_yarrowii	0.61
MN537723		Fungi	1.00	Ascomycota	1.00	Eurotiomycetes	1.00	Chaetothyriales	0.99	Herpotrichiellaceae	0.85	Exophiala	0.84	Exophiala_eucalyptorum	0.82
KF251156		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Amphisphaeriales	0.46	Sporocadaceae	0.38	Discosia	0.22	Discosia_yakushimensis	0.22
KX820250		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Amphisphaeriales	1.00	Clypeophysalosporaceae	1.00	Clypeophysalospora	1.00	Clypeophysalospora_latitans	1.00
KU847252		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Hypocreales	1.00	Stachybotryaceae	1.00	Xepicula	1.00	Xepicula_leucotricha	1.00
HQ599386		Fungi	1.00	Ascomycota	1.00	Dothideomycetes	1.00	Pleosporales	1.00	Massariaceae	1.00	Massaria	1.00	Massaria_campestris	1.00
JQ627125		Fungi	1.00	Ascomycota	0.99	Sordariomycetes	0.35	Hypocreales	0.25	Dermateaceae	0.12	Sarea	0.10	Sarea_resinae	0.10
MW694951		Fungi	1.00	Ascomycota	1.00	Eurotiomycetes	1.00	Eurotiales	1.00	Aspergillaceae	1.00	Penicillium	1.00	Penicillium_cainii	0.79
MN250204		Fungi	1.00	Basidiomycota	0.85	Agaricomycetes	0.79	Agaricales	0.45	Boletaceae	0.12	Boletus	0.12	Boletus_reticulatus	0.12
JX867675		Fungi	1.00	Ascomycota	0.91	Saccharomycetes	0.26	Saccharomycetales	0.26	Pichiaceae	0.21	Saturnispora	0.13	Oosporidium_margaritiferum	0.09
KF251172		Fungi	1.00	Ascomycota	1.00	Dothideomycetes	1.00	Pleosporales	1.00	Phaeosphaeriaceae	1.00	Paraphoma	1.00	Paraphoma_radicina	1.00
OK057148		Fungi	1.00	Basidiomycota	0.97	Agaricomycetes	0.95	Agaricales	0.93	Psathyrellaceae	0.45	Psathyrella	0.28	Psathyrella_spadiceogrisea	0.16
MK229175		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Diaporthales	1.00	Juglanconidaceae	0.99	Juglanconis	0.99	Juglanconis_juglandina	0.99
AJ969625		Fungi	1.00	Ascomycota	1.00	Pezizomycetes	1.00	Pezizales	1.00	Tuberaceae	1.00	Tuber	1.00	Tuber_borchii	1.00
OK057159		Fungi	1.00	Basidiomycota	0.94	Agaricomycetes	0.93	Agaricales	0.88	Psathyrellaceae	0.55	Tulosesus	0.34	Tulosesus_pallidus	0.34
HE962445		Fungi	1.00	Ascomycota	0.72	Saccharomycetes	0.59	Saccharomycetales	0.59	Saccharomycetaceae	0.27	Torulaspora	0.12	Torulaspora_globosa	0.11
JN388972		Fungi	1.00	Basidiomycota	0.99	Agaricomycetes	0.98	Polyporales	0.39	Russulaceae	0.20	Lactarius	0.20	Lactarius_ciliatus	0.15
MH872962		Fungi	1.00	Ascomycota	1.00	Dothideomycetes	1.00	Pleosporales	1.00	Dacampiaceae	1.00	Aaosphaeria	1.00	Aaosphaeria_arxii	1.00
KY633514		Fungi	1.00	Ascomycota	1.00	Leotiomycetes	1.00	Phacidiales	1.00	Phacidiaceae	1.00	Phacidium	1.00	Phacidium_lacerum	1.00
KP859039		Fungi	1.00	Ascomycota	1.00	Orbiliomycetes	1.00	Orbiliales	1.00	Orbiliaceae	1.00	Hyalorbilia	1.00	Hyalorbilia_fusarioides	1.00
AY905554		Fungi	1.00	Ascomycota	1.00	Dothideomycetes	1.00	Botryosphaeriales	1.00	Botryosphaeriaceae	1.00	Neofusicoccum	1.00	Neofusicoccum_mangiferae	1.00
UDB000418		Fungi	1.00	Basidiomycota	0.97	Agaricomycetes	0.96	Boletales	0.66	Boletaceae	0.66	Boletus	0.66	Boletus_reticulatus	0.65
KP336763		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Sordariales	1.00	Chaetomiaceae	1.00	Ovatospora	1.00	Ovatospora_unipora	1.00
KP336774		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Sordariales	1.00	Chaetomiaceae	1.00	Parachaetomium	0.97	Parachaetomium_inaequale	0.97
DQ366699		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Hypocreales	1.00	Nectriaceae	1.00	Gliocephalotrichum	1.00	Gliocephalotrichum_microchlamydosporum	0.97
KU846463		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Hypocreales	1.00	Stachybotryaceae	1.00	Myxospora	0.98	Myxospora_crassiseta	0.98
MH784817		Fungi	1.00	Basidiomycota	0.98	Agaricomycetes	0.98	Agaricales	0.94	Lycoperdaceae	0.21	Lycoperdon	0.14	Lycoperdon_pyriforme	0.13
KU597793		Fungi	1.00	Ascomycota	1.00	Leotiomycetes	0.95	Helotiales	0.95	Lachnaceae	0.72	Lachnellula	0.33	Proliferodiscus_tricolor	0.26
AB304152		Fungi	1.00	Ascomycota	1.00	Saccharomycetes	1.00	Saccharomycetales	1.00	Saccharomycetaceae	1.00	Torulaspora	1.00	Torulaspora_maleeae	1.00
NR_156313		Fungi	1.00	Ascomycota	1.00	Saccharomycetes	1.00	Saccharomycetales	1.00	Metschnikowiaceae	1.00	Metschnikowia	1.00	Metschnikowia_kofuensis	0.59
MK050431		Fungi	1.00	Basidiomycota	1.00	Microbotryomycetes	1.00	Microbotryomycetes_ord_Incertae_sedis_Chrysozymaceae	1.00	Chrysozymaceae	1.00	Chrysozyma	1.00	Chrysozyma_griseoflava	1.00
KY827270		Fungi	1.00	Basidiomycota	1.00	Agaricomycetes	0.99	Agaricales	0.94	Psathyrellaceae	0.47	Tulosesus	0.27	Tulosesus_pallidus	0.27
KX234735		Fungi	1.00	Basidiomycota	0.99	Agaricomycetes	0.99	Agaricales	0.94	Psathyrellaceae	0.31	Tulosesus	0.23	Tulosesus_pallidus	0.23
KT949907		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Amphisphaeriales	0.97	Pseudomassariaceae	0.95	Pseudomassaria	0.63	Pseudomassaria_chondrospora	0.63
KT949904		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Amphisphaeriales	0.88	Beltraniaceae	0.59	Beltraniella	0.30	Beltraniella_endiandrae	0.30
KY827281		Fungi	1.00	Basidiomycota	1.00	Agaricomycetes	0.99	Agaricales	0.96	Psathyrellaceae	0.39	Galerina	0.29	Galerina_pumila	0.28
MH855021		Fungi	1.00	Ascomycota	1.00	Saccharomycetes	1.00	Saccharomycetales	1.00	Cephaloascaceae	1.00	Cephaloascus	1.00	Cephaloascus_fragrans	1.00
MN218820		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Xylariales	1.00	Xylariaceae	1.00	Xylaria	0.93	Xylaria_ellisii	0.56
FN185976		Fungi	1.00	Ascomycota	1.00	Leotiomycetes	0.69	Leotiales	0.49	Tympanidaceae	0.49	Tympanis	0.49	Tympanis_amelanchieris	0.20
KT949912		Fungi	1.00	Ascomycota	0.99	Sordariomycetes	0.69	Amphisphaeriales	0.27	Apiosporaceae	0.21	Nigrospora	0.21	Nigrospora_oryzae	0.21
KT949914		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Amphisphaeriales	1.00	Sporocadaceae	1.00	Seiridium	0.76	Seiridium_phylicae	0.47
HM241692		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Chaetosphaeriales	1.00	Chaetosphaeriaceae	1.00	Pyrigemmula	1.00	Pyrigemmula_aurantiaca	1.00
KM039135		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	0.99	Xylariales	0.84	Xylariaceae	0.44	Xylaria	0.36	Xylaria_necrophora	0.19
AY029342		Fungi	1.00	Basidiomycota	1.00	Tremellomycetes	1.00	Tremellales	1.00	Bulleribasidiaceae	1.00	Dioszegia	1.00	Dioszegia_butyracea	1.00
MH712825		Fungi	1.00	Basidiomycota	0.67	Tremellomycetes	0.60	Tremellales	0.60	Tremellaceae	0.20	Tremella	0.20	Fibulobasidium_murrhardtense	0.18
MN475939		Fungi	1.00	Basidiomycota	0.51	Agaricomycetes	0.48	Russulales	0.15	Atheliaceae	0.13	Piloderma	0.13	Acanthophysium_buxicola	0.07
MT216220		Fungi	1.00	Basidiomycota	1.00	Agaricomycetes	1.00	Agaricales	1.00	Hymenogastraceae	0.93	Psilocybe	0.56	Psilocybe_semilanceata	0.54
JQ281774		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	0.97	Diaporthales	0.97	Schizoparmaceae	0.97	Coniella	0.97	Coniella_pseudokoreana	0.91
Z69588		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Hypocreales	1.00	Hypocreaceae	1.00	Trichoderma	1.00	Trichoderma_ghanense	0.56
MK530453		Fungi	1.00	Ascomycota	1.00	Leotiomycetes	0.49	Helotiales	0.46	Orbiliaceae	0.16	Helicoon	0.16	Helicoon_richonis	0.16
KC608590		Fungi	1.00	Basidiomycota	0.97	Agaricomycetes	0.96	Agaricales	0.87	Cortinariaceae	0.19	Calonarius	0.19	Calonarius_piceae	0.19
UDB035385		Fungi	1.00	Ascomycota	1.00	Eurotiomycetes	1.00	Ascosphaerales	1.00	Ascosphaeraceae	1.00	Ascosphaera	1.00	Ascosphaera_flava	0.99
AY174797		Fungi	1.00	Basidiomycota	1.00	Agaricomycetes	1.00	Agaricales	1.00	Cortinariaceae	0.40	Calonarius	0.40	Calonarius_piceae	0.40
AY015439		Fungi	1.00	Basidiomycota	1.00	Microbotryomycetes	1.00	Sporidiobolales	1.00	Sporidiobolaceae	1.00	Sporobolomyces	1.00	Sporobolomyces_ruberrimus	1.00
MK409979		Fungi	1.00	Ascomycota	0.99	Leotiomycetes	0.77	Helotiales	0.72	Drepanopezizaceae	0.47	Pseudopeziza	0.31	Pseudopeziza_medicaginis	0.31
EU343815		Fungi	1.00	Ascomycota	1.00	Saccharomycetes	1.00	Saccharomycetales	1.00	Saccharomycetales_fam_Incertae_sedis_Candida	1.00	Candida	1.00	Candida_gosingica	1.00
JX941573		Fungi	1.00	Basidiomycota	1.00	Agaricomycetes	1.00	Polyporales	1.00	Polyporaceae	1.00	Perenniporia	0.99	Perenniporia_ochroleuca	0.99
EU343830		Fungi	1.00	Ascomycota	1.00	Saccharomycetes	1.00	Saccharomycetales	1.00	Metschnikowiaceae	1.00	Clavispora	1.00	Clavispora_fructus	1.00
JN620351		Fungi	1.00	Basidiomycota	1.00	Agaricostilbomycetes	1.00	Agaricostilbales	1.00	Kondoaceae	1.00	Bensingtonia	1.00	Bensingtonia_pseudonaganoensis	0.61
KC520546		Fungi	1.00	Basidiomycota	0.99	Agaricomycetes	0.99	Agaricales	0.92	Physalacriaceae	0.28	Flammulina	0.24	Calonarius_piceae	0.20
MW481711		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Amphisphaeriales	1.00	Apiosporaceae	1.00	Apiospora	1.00	Apiospora_pseudospegazzinii	0.94
KX965730		Fungi	1.00	Ascomycota	1.00	Dothideomycetes	0.97	Pleosporales	0.97	Didymosphaeriaceae	0.62	Kalmusia	0.37	Kalmusia_variispora	0.37
GQ281791		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Diaporthales	1.00	Diaporthaceae	1.00	Diaporthe	1.00	Diaporthe_amygdali	1.00
MG828901		Fungi	1.00	Ascomycota	1.00	Dothideomycetes	1.00	Pleosporales	1.00	Phaeosphaeriaceae	0.59	Stagonospora	0.39	Stagonospora_pseudovitensis	0.39
JQ954648		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Diaporthales	1.00	Diaporthaceae	1.00	Diaporthe	1.00	Diaporthe_citrichinensis	0.98
MF611640		Fungi	1.00	Basidiomycota	1.00	Agaricomycetes	1.00	Agaricales	1.00	Agaricaceae	1.00	Agaricus	1.00	Agaricus_stevensii	0.78
KX964424		Fungi	1.00	Basidiomycota	1.00	Agaricomycetes	1.00	Agaricales	0.97	Cortinariaceae	0.31	Calonarius	0.31	Calonarius_piceae	0.31
KT037522		Fungi	1.00	Ascomycota	1.00	Dothideomycetes	1.00	Mycosphaerellales	1.00	Mycosphaerellaceae	1.00	Pseudocercospora	0.92	Pseudocercospora_araliae	0.76
JX093786		Fungi	1.00	Basidiomycota	1.00	Agaricomycetes	1.00	Hymenochaetales	1.00	Hymenochaetaceae	1.00	Phellinus	0.62	Phellinus_hartigii	0.62
KF730001		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Hypocreales	1.00	Hypocreaceae	1.00	Trichoderma	1.00	Trichoderma_gliocladium	0.65
KU866677		Fungi	1.00	Ascomycota	1.00	Eurotiomycetes	1.00	Eurotiales	1.00	Aspergillaceae	1.00	Aspergillus	1.00	Aspergillus_monodii	1.00
KR119072		Fungi	1.00	Basidiomycota	1.00	Agaricomycetes	1.00	Polyporales	1.00	Irpicaceae	1.00	Ceriporia	1.00	Ceriporia_lacerata	1.00
AY573202		Fungi	1.00	Ascomycota	1.00	Dothideomycetes	1.00	Botryosphaeriales	1.00	Botryosphaeriaceae	1.00	Neofusicoccum	0.99	Neofusicoccum_mangiferae	0.88
FM206456		Fungi	1.00	Ascomycota	0.94	Pezizomycetes	0.56	Pezizales	0.56	Pyronemataceae	0.54	Tricharina	0.53	Tricharina_hiemalis	0.35
FJ378871		Fungi	1.00	Ascomycota	0.99	Leotiomycetes	0.51	Helotiales	0.51	Microascaceae	0.17	Phialocephala	0.15	Phialocephala_compacta	0.15
UDB037616		Fungi	1.00	Basidiomycota	1.00	Agaricomycetes	1.00	Agaricales	0.92	Strophariaceae	0.33	Pholiota	0.27	Moniliophthora_roreri	0.23
GU591650		Fungi	1.00	Basidiomycota	1.00	Agaricomycetes	1.00	Agaricales	1.00	Hymenogastraceae	1.00	Hebeloma	0.84	Hebeloma_brunneifolium	0.37
MW063202		Fungi	1.00	Ascomycota	1.00	Dothideomycetes	0.51	Muyocopronales	0.51	Muyocopronaceae	0.51	Satchmopsis	0.48	Satchmopsis_sacciformis	0.48
KM065941		Fungi	1.00	Ascomycota	1.00	Saccharomycetes	1.00	Saccharomycetales	1.00	Pichiaceae	1.00	Kuraishia	1.00	Kuraishia_ogatae	1.00
KU846135		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Hypocreales	1.00	Stachybotryaceae	0.75	Achroiostachys	0.54	Achroiostachys_betulicola	0.54
MH549203		Fungi	1.00	Basidiomycota	1.00	Agaricomycetes	1.00	Polyporales	0.34	Polyporaceae	0.27	Lactarius	0.17	Lentinus_tigrinus	0.13
DQ458893		Fungi	1.00	Ascomycota	1.00	Dothideomycetes	1.00	Botryosphaeriales	1.00	Botryosphaeriaceae	1.00	Diplodia	0.98	Diplodia_rosulata	0.98
HM562042		Fungi	1.00	Basidiomycota	0.98	Agaricomycetes	0.97	Agaricales	0.84	Hymenogastraceae	0.20	Hebeloma	0.20	Mycena_polygramma	0.10
FJ150706		Fungi	1.00	Ascomycota	1.00	Dothideomycetes	1.00	Botryosphaeriales	1.00	Saccharataceae	1.00	Saccharata	1.00	Saccharata_kirstenboschensis	0.78
AF444408		Fungi	1.00	Basidiomycota	1.00	Tremellomycetes	1.00	Cystofilobasidiales	1.00	Mrakiaceae	1.00	Udeniomyces	1.00	Udeniomyces_megalosporus	1.00
AF418621		Fungi	1.00	Basidiomycota	0.92	Agaricomycetes	0.83	Agaricales	0.24	Polyporaceae	0.12	Auriscalpium	0.09	Auriscalpium_vulgare	0.09
KF984490		Fungi	1.00	Ascomycota	0.77	Saccharomycetes	0.61	Saccharomycetales	0.61	Pichiaceae	0.18	Ogataea	0.18	Helicoma_linderi	0.06
KJ847422		Fungi	1.00	Ascomycota	1.00	Dothideomycetes	1.00	Botryosphaeriales	1.00	Phyllostictaceae	1.00	Phyllosticta	0.86	Phyllosticta_paxistimae	0.54
KJ847424		Fungi	1.00	Ascomycota	1.00	Dothideomycetes	1.00	Botryosphaeriales	1.00	Phyllostictaceae	1.00	Phyllosticta	0.98	Phyllosticta_ilicis-aquifolii	0.35
KJ847426		Fungi	1.00	Ascomycota	1.00	Dothideomycetes	1.00	Botryosphaeriales	1.00	Phyllostictaceae	1.00	Phyllosticta	0.84	Phyllosticta_brasiliana	0.43
AF444414		Fungi	1.00	Basidiomycota	1.00	Tremellomycetes	1.00	Trichosporonales	1.00	Trichosporonaceae	1.00	Apiotrichum	1.00	Apiotrichum_domesticum	1.00
AF444415		Fungi	1.00	Basidiomycota	1.00	Tremellomycetes	1.00	Trichosporonales	1.00	Trichosporonaceae	1.00	Cutaneotrichosporon	1.00	Cutaneotrichosporon_moniliiforme	1.00
AF444417		Fungi	1.00	Basidiomycota	0.97	Tremellomycetes	0.85	Cystofilobasidiales	0.79	Mrakiaceae	0.67	Mrakia	0.61	Mrakia_frigida	0.51
KF500530		Fungi	1.00	Ascomycota	1.00	Dothideomycetes	1.00	Pleosporales	1.00	Pleosporaceae	1.00	Bipolaris	1.00	Bipolaris_drechsleri	0.97
MN576831		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Hypocreales	1.00	Cordycipitaceae	1.00	Lecanicillium	0.77	Lecanicillium_psalliotae	0.69
JQ926291		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Diaporthales	0.99	Melanconiellaceae	0.99	Melanconiella	0.95	Melanconiella_flavovirens	0.86
EU517056		Fungi	1.00	Basidiomycota	1.00	Tremellomycetes	1.00	Tremellales	1.00	Bulleribasidiaceae	1.00	Derxomyces	1.00	Derxomyces_pseudohuiaensis	0.31
AB072229		Fungi	1.00	Basidiomycota	1.00	Tremellomycetes	1.00	Cystofilobasidiales	1.00	Mrakiaceae	1.00	Itersonilia	1.00	Itersonilia_pannonica	1.00
KY105699		Fungi	1.00	Ascomycota	1.00	Saccharomycetes	1.00	Saccharomycetales	1.00	Trichomonascaceae	1.00	Trichomonascus	1.00	Trichomonascus_apis	1.00
AF072238		Fungi	1.00	Ascomycota	0.97	Leotiomycetes	0.56	Helotiales	0.31	Tympanidaceae	0.14	Tympanis	0.12	Tympanis_pseudotsugae	0.11
LN850760		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Microascales	1.00	Microascaceae	1.00	Microascus	0.91	Microascus_trigonosporus	0.90
KT217364		Fungi	1.00	Basidiomycota	1.00	Agaricomycetes	1.00	Agaricales	1.00	Hymenogastraceae	1.00	Hebeloma	0.97	Hebeloma_angustisporium	0.47
AF444440		Fungi	1.00	Basidiomycota	1.00	Tremellomycetes	1.00	Trichosporonales	1.00	Trichosporonaceae	1.00	Apiotrichum	1.00	Apiotrichum_gracile	1.00
AF444443		Fungi	1.00	Basidiomycota	1.00	Tremellomycetes	1.00	Tremellales	1.00	Cryptococcaceae	1.00	Kwoniella	1.00	Kwoniella_dendrophila	1.00
MH555894		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Ophiostomatales	1.00	Ophiostomataceae	1.00	Ophiostoma	1.00	Ophiostoma_macrosporum	0.60
KY189977		Fungi	1.00	Ascomycota	1.00	Dothideomycetes	1.00	Botryosphaeriales	1.00	Botryosphaeriaceae	1.00	Dichomera	1.00	Dichomera_gemmicola	1.00
KT719167		Fungi	1.00	Basidiomycota	0.52	Saccharomycetes	0.29	Saccharomycetales	0.29	Pachnocybaceae	0.12	Pachnocybe	0.12	Pachnocybe_ferruginea	0.12
MF540618		Fungi	1.00	Ascomycota	0.70	Saccharomycetes	0.34	Saccharomycetales	0.34	Saccharomycopsidaceae	0.14	Ambrosiozyma	0.14	Ambrosiozyma_pseudovanderkliftii	0.05
AF444469		Fungi	1.00	Basidiomycota	1.00	Tremellomycetes	1.00	Tremellales	1.00	Bulleribasidiaceae	1.00	Vishniacozyma	1.00	Vishniacozyma_victoriae	1.00
AY540126		Fungi	1.00	Ascomycota	1.00	Leotiomycetes	1.00	Helotiales	1.00	Dermateaceae	1.00	Pezicula	1.00	Pezicula_ericae	1.00
KC343008		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Diaporthales	1.00	Diaporthaceae	1.00	Diaporthe	1.00	Diaporthe_citrichinensis	0.99
KC222130		Fungi	1.00	Ascomycota	0.99	Xylonomycetes	0.48	Xylonales	0.47	Xylonaceae	0.47	Xylona	0.47	Xylona_heveae	0.47
KF432982		Fungi	1.00	Basidiomycota	1.00	Agaricomycetes	1.00	Russulales	1.00	Russulaceae	1.00	Lactarius	1.00	Lactarius_subdulcis	1.00
MN548907		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Ophiostomatales	1.00	Ophiostomataceae	1.00	Graphilbum	1.00	Graphilbum_sparsum	0.91
KX238805		Fungi	1.00	Ascomycota	0.87	Eurotiomycetes	0.60	Eurotiales	0.50	Trichocomaceae	0.25	Sagenomella	0.24	Sagenomella_verticillata	0.22
KX772550		Fungi	1.00	Basidiomycota	0.56	Agaricomycetes	0.51	Agaricales	0.19	Peniophoraceae	0.10	Dendrothele	0.06	Dendrothele_griseocana	0.05
GU327626		Fungi	1.00	Ascomycota	1.00	Saccharomycetes	1.00	Saccharomycetales	1.00	Debaryomycetaceae	1.00	Yamadazyma	1.00	Yamadazyma_olivae	1.00
MN548915		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Ophiostomatales	1.00	Ophiostomataceae	1.00	Graphilbum	1.00	Graphilbum_sparsum	0.92
MN108118		Fungi	1.00	Basidiomycota	1.00	Agaricomycetes	1.00	Hymenochaetales	1.00	Hymenochaetaceae	1.00	Hydnoporia	0.48	Hydnoporia_olivacea	0.48
MH861396		Fungi	1.00	Basidiomycota	1.00	Agaricomycetes	1.00	Russulales	1.00	Peniophoraceae	1.00	Vararia	1.00	Vararia_breviphysa	1.00
KP004462		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Amphisphaeriales	0.99	Clypeophysalosporaceae	0.99	Bagadiella	0.94	Bagadiella_lunata	0.94
