ID	class	order	family	Prob_class	Prob_order	Prob_family
GBCOU2234-13	Insecta	Coleoptera	unk	1	1	0.5147
FBCOG996-12	Insecta	Coleoptera	unk	1	1	0.9556000000000001
GCOL3157-16	Insecta	Coleoptera	unk	1	1	0.5187
FBCON448-13	Insecta	Coleoptera	Ripiphoridae	1	1	0.6243
GCOL13156-16	Insecta	Coleoptera	unk	1	1	0.7071999999999999
FBCOA474-10	Insecta	Coleoptera	unk	1	1	0.9572
FBCOA879-10	Insecta	Coleoptera	unk	1	1	0.7850999999999999
FBCOA098-10	Insecta	Coleoptera	unk	1	1	0.5304
GCOL517-16	Insecta	Coleoptera	unk	1	1	0.9837
GCOL7514-16	Insecta	Coleoptera	unk	1	1	0.741
FBCON411-13	Insecta	Coleoptera	unk	1	1	0.8390000000000001
GCOL9872-16	Insecta	Coleoptera	Kateretidae	1	1	0.516
FBCOP494-13	Insecta	Coleoptera	unk	1	1	0.8337000000000001
FBCOF506-12	Insecta	Coleoptera	Leiodidae	1	1	0.9978
GBCOE841-13	Insecta	Coleoptera	Curculionidae	1	1	0.998
GCOL11216-16	Insecta	Coleoptera	Phalacridae	1	1	0.9473
GCOL9043-16	Insecta	Coleoptera	unk	1	1	0.5304
FBCOG1381-12	Insecta	Coleoptera	Elateridae	1	1	0.9978
GCOL12186-16	Insecta	Coleoptera	unk	1	1	0.9846
GBCOU3112-13	Insecta	Coleoptera	unk	1	1	1
GBCOU1532-13	Insecta	Coleoptera	unk	1	1	0.9014
GCOL6213-16	Insecta	Coleoptera	Leiodidae	1	1	0.5713
FBCOD210-11	Insecta	Coleoptera	unk	1	1	0.5587000000000001
FBCOP800-13	Insecta	Coleoptera	unk	1	1	0.9578000000000001
FBCOA511-10	Insecta	Coleoptera	unk	1	1	0.8308000000000001
FBCOG238-12	Insecta	Coleoptera	unk	1	1	0.9224
GBCOG593-13	Insecta	Coleoptera	unk	1	1	0.809
FBCOH780-12	Insecta	Coleoptera	unk	1	1	0.8864
GCOL787-16	Insecta	Coleoptera	unk	1	1	0.5436000000000001
GBCOC434-12	Insecta	Coleoptera	unk	1	1	0.7098
GCOL2979-16	Insecta	Coleoptera	unk	1	1	0.7728
FBCOA431-10	Insecta	Coleoptera	unk	1	1	0.9336000000000001
GCOL9663-16	Insecta	Coleoptera	unk	1	1	0.9326000000000001
GBCOE384-13	Insecta	Coleoptera	Leiodidae	1	1	0.5947
FBCOA770-10	Insecta	Coleoptera	unk	1	1	0.9686
GBCOU2282-13	Insecta	Coleoptera	unk	1	1	0.6928
GBCOF131-13	Insecta	Coleoptera	unk	1	1	0.718
GBCOU4058-13	Insecta	Coleoptera	unk	1	1	0.7816
FBCOP495-13	Insecta	Coleoptera	unk	1	1	1
FBCOG223-12	Insecta	Coleoptera	Ptiliidae	1	1	0.5679000000000001
FBCON433-13	Insecta	Coleoptera	unk	1	1	1
GCOL2873-16	Insecta	Coleoptera	unk	1	1	0.9546000000000001
GCOL1563-16	Insecta	Coleoptera	Dytiscidae	1	1	0.6026
GBCOF397-13	Insecta	Coleoptera	unk	1	1	0.8751000000000001
FBCOA639-10	Insecta	Coleoptera	unk	1	1	0.8831
GBCOF324-13	Insecta	Coleoptera	Leiodidae	1	1	0.6423
FBSYR1228-13	Insecta	Diptera	unk	1	1	0.6103999999999999
GCOL3291-16	Insecta	Coleoptera	Curculionidae	1	0.9547000000000001	0.5709000000000001
GBCOD342-13	Insecta	Coleoptera	Leiodidae	1	1	0.9978
FBLMZ559-12	Insecta	Lepidoptera	unk	1	0.6640999999999999	0.4587
GCOL12185-16	Insecta	Coleoptera	unk	1	1	0.9233
GBCOF009-13	Insecta	Coleoptera	unk	1	1	1
FBCOK085-13	Insecta	Coleoptera	unk	1	1	0.983
FBCOA659-10	Insecta	Coleoptera	Scarabaeidae	1	1	0.8656000000000001
GBCOE771-13	Insecta	Coleoptera	Leiodidae	1	1	0.9978
GBCL15251-13	Insecta	Coleoptera	unk	1	1	0.81
GBCOU1295-13	Insecta	Coleoptera	Scarabaeidae	1	1	0.5443
FBCOO903-13	Insecta	Coleoptera	unk	1	1	0.6338
GBCOG724-13	Insecta	Coleoptera	unk	1	1	0.7523
FBCOH017-12	Insecta	Coleoptera	unk	1	1	0.7611
GBCOU3224-13	Insecta	Coleoptera	unk	1	1	0.8568000000000001
FBCOC929-10	Insecta	Coleoptera	unk	1	1	0.9561000000000001
FBCOK272-13	Insecta	Coleoptera	unk	1	1	0.8233
GCOL7366-16	Insecta	Coleoptera	unk	1	1	0.8456000000000001
GBCOF493-13	Insecta	Coleoptera	unk	1	1	1
GCOL12580-16	Insecta	Coleoptera	unk	1	1	0.9334
FBCOJ042-12	Insecta	Coleoptera	unk	1	1	0.7719
FBCOC755-10	Insecta	Coleoptera	Scarabaeidae	1	1	0.8160000000000001
FBCOF185-12	Insecta	Coleoptera	unk	1	1	0.8257000000000001
FBCOO147-13	Insecta	Coleoptera	Leiodidae	1	1	0.9978
GBCOC820-12	Insecta	Coleoptera	unk	1	1	0.8790000000000001
FBCOJ837-13	Insecta	Coleoptera	unk	1	1	0.9692
FBCOO791-13	Insecta	Coleoptera	unk	1	1	0.9378000000000001
FBCOK675-13	Insecta	Coleoptera	Scarabaeidae	1	1	0.5097
GBCOF865-13	Insecta	Coleoptera	unk	1	1	0.9212
GCOL12845-16	Insecta	Coleoptera	unk	1	1	0.9486000000000001
GBCOU1430-13	Insecta	Coleoptera	unk	1	1	0.6900999999999999
GBCOC265-12	Insecta	Coleoptera	unk	1	1	0.7719
GBCOU1925-13	Insecta	Coleoptera	unk	1	1	0.5541
FBCON723-13	Insecta	Coleoptera	unk	1	1	0.9716
FBCOP438-13	Insecta	Coleoptera	unk	1	1	0.9956
GCOL12506-16	Insecta	Coleoptera	unk	1	1	0.6737
GMGRD2985-13	Insecta	Coleoptera	unk	1	1	0.9623999999999999
FBCOK529-13	Insecta	Coleoptera	Melyridae	1	1	0.4979
FBCOB888-10	Insecta	Coleoptera	Hydrophilidae	1	1	0.47990000000000005
FBCOA872-10	Insecta	Coleoptera	unk	1	1	0.8459000000000001
FENHY045-14	Insecta	Coleoptera	Hydrophilidae	1	1	0.8358000000000001
GBCOU1974-13	Insecta	Coleoptera	unk	1	1	0.9603999999999999
FBCOE1113-12	Insecta	Coleoptera	Silphidae	1	1	0.5951
GBCOE073-13	Insecta	Coleoptera	Silphidae	1	1	0.6013
GBCOF773-13	Insecta	Coleoptera	unk	1	1	1
FENHY022-14	Insecta	Coleoptera	Hydrophilidae	1	1	0.998
GBCOD851-13	Insecta	Coleoptera	unk	1	1	0.7071
GBCOG141-13	Insecta	Coleoptera	unk	1	1	0.8257000000000001
FBCOJ688-13	Insecta	Coleoptera	unk	1	1	0.8337000000000001
FBCHI078-14	Insecta	Diptera	unk	1	1	0.5135
GBCOU3511-13	Insecta	Coleoptera	unk	1	1	0.8788000000000001
FBCOG1034-12	Insecta	Coleoptera	unk	1	1	0.9004
GCOL9986-16	Insecta	Coleoptera	unk	1	1	0.8239000000000001
FBCOG634-12	Insecta	Coleoptera	unk	1	1	0.9846
FBCOB856-10	Insecta	Coleoptera	Hydrophilidae	1	1	0.48850000000000005
FBCOA087-10	Insecta	Coleoptera	unk	1	1	1
GCOL3850-16	Insecta	Coleoptera	unk	1	1	0.8152
FBCOE626-12	Insecta	Coleoptera	unk	1	1	0.8473
FBCOA802-10	Insecta	Coleoptera	unk	1	1	0.8703000000000001
GCOL796-16	Insecta	Coleoptera	Hydrophilidae	1	1	0.47100000000000003
FBCOO186-13	Insecta	Coleoptera	unk	1	1	0.7659
GBCOF552-13	Insecta	Coleoptera	unk	1	1	0.8873
GBCOU1383-13	Insecta	Coleoptera	Scarabaeidae	1	1	0.5443
FBCON563-13	Insecta	Coleoptera	unk	1	1	0.7208
FBCOJ607-12	Insecta	Coleoptera	unk	1	1	0.8161
GCOL13400-16	Insecta	Coleoptera	unk	1	1	0.7098
GCOL9030-16	Insecta	Coleoptera	unk	1	1	0.8834
GBCOU2367-13	Insecta	Coleoptera	unk	1	1	0.9055
FBCOA856-10	Insecta	Coleoptera	unk	1	1	0.6829999999999999
FBCOE287-12	Insecta	Coleoptera	unk	1	1	0.7497
FBCOI455-12	Insecta	Coleoptera	unk	1	1	0.963
FBCOI831-12	Insecta	Coleoptera	unk	1	1	0.9999
FBCOO394-13	Insecta	Coleoptera	unk	1	1	0.9703999999999999
GBCOU703-13	Insecta	Coleoptera	unk	1	1	1
GCOL11022-16	Insecta	Coleoptera	unk	1	1	0.9118
FBCOP689-13	Insecta	Coleoptera	unk	1	1	0.5816
FBCON651-13	Insecta	Coleoptera	unk	1	1	0.9509000000000001
FBCOJ017-12	Insecta	Coleoptera	unk	1	1	0.9686
FBCOJ057-12	Insecta	Coleoptera	unk	1	0.7317	0.7317
GCOL1015-16	Insecta	Coleoptera	unk	1	1	0.7061999999999999
FBCOE871-12	Insecta	Coleoptera	unk	1	1	0.9157000000000001
GBCOU2283-13	Insecta	Coleoptera	unk	1	1	0.7557
GCOL12178-16	Insecta	Coleoptera	unk	1	1	0.9792
GCOL9870-16	Insecta	Coleoptera	unk	1	1	0.8057000000000001
GBCOD596-13	Insecta	Coleoptera	Nitidulidae	1	1	0.9552
FBCOK516-13	Insecta	Coleoptera	unk	1	1	0.8021
GCOL8075-16	Insecta	Coleoptera	unk	1	1	0.9827
FBCOE592-12	Insecta	Coleoptera	unk	1	1	0.7014999999999999
FBCOC756-10	Insecta	Coleoptera	Scarabaeidae	1	1	0.8485
GBCOU3448-13	Insecta	Coleoptera	unk	1	1	0.8368000000000001
GCOL8407-16	Insecta	Coleoptera	Leiodidae	1	1	0.8243
GBCOG641-13	Insecta	Coleoptera	unk	1	1	0.6338
GCOL6214-16	Insecta	Coleoptera	unk	1	1	0.922
FBCOA373-10	Insecta	Coleoptera	Ciidae	1	1	0.7207
GBCOU3012-13	Insecta	Coleoptera	unk	1	1	0.8883
GBCOG407-13	Insecta	Coleoptera	unk	1	1	0.9045
GBCOD389-13	Insecta	Coleoptera	unk	1	1	0.7297
GCOL3885-16	Insecta	Coleoptera	unk	1	1	0.5204
GBCOU531-13	Insecta	Coleoptera	unk	1	1	0.7897
FBCOQ005-13	Insecta	Coleoptera	unk	1	1	0.5315
GBCOU3142-13	Insecta	Coleoptera	unk	1	1	0.6754999999999999
GCOL4565-16	Insecta	Coleoptera	unk	1	1	0.9338000000000001
FBCOD922-11	Insecta	Coleoptera	unk	1	1	0.5221
GBCOC275-12	Insecta	Coleoptera	Ciidae	1	1	0.5931
FBCOC869-10	Insecta	Coleoptera	unk	1	1	0.6374
FBCOC433-10	Insecta	Coleoptera	unk	1	1	0.809
FBCOO805-13	Insecta	Coleoptera	unk	1	1	0.7424999999999999
FBCOK697-13	Insecta	Coleoptera	unk	1	1	0.8293
FBCOQ237-13	Insecta	Coleoptera	Curculionidae	1	1	0.998
FBCON625-13	Insecta	Coleoptera	unk	1	1	0.7033999999999999
FBCOI615-12	Insecta	Coleoptera	unk	1	1	0.5719000000000001
GBCOL338-12	Insecta	Coleoptera	Phalacridae	1	1	0.6224999999999999
GCOL7725-16	Insecta	Coleoptera	unk	1	1	0.7822999999999999
GBCOF336-13	Insecta	Coleoptera	Tenebrionidae	1	1	0.7923999999999999
FBCOG1328-12	Insecta	Coleoptera	unk	1	1	1
GBCOB117-12	Insecta	Coleoptera	unk	1	1	0.5073
FBCON305-13	Insecta	Coleoptera	unk	1	1	0.9045
GCOL6591-16	Insecta	Coleoptera	unk	1	1	0.48250000000000004
FBCOK731-13	Insecta	Coleoptera	unk	1	1	0.991
GCOL10140-16	Insecta	Coleoptera	unk	1	1	0.6142
FBCOF959-12	Insecta	Coleoptera	Anthicidae	1	1	0.5929
GCOL2571-16	Insecta	Coleoptera	unk	1	1	0.5187
GCOL2610-16	Insecta	Coleoptera	unk	1	1	0.5651
GBCOB135-12	Insecta	Coleoptera	unk	1	1	0.5957
GBCOU1902-13	Insecta	Coleoptera	Anthicidae	1	1	0.5869
GBCOU764-13	Insecta	Coleoptera	unk	1	1	0.5821999999999999
GCOL7591-16	Insecta	Coleoptera	unk	1	1	0.7037
GBCOU1138-13	Insecta	Coleoptera	Scraptiidae	1	1	0.5207
GBCOU1431-13	Insecta	Coleoptera	Nitidulidae	1	1	0.9748
FBCOJ002-12	Insecta	Coleoptera	unk	1	1	0.6378
GCOL8165-16	Insecta	Coleoptera	unk	1	1	0.7759
GBCOU1665-13	Insecta	Coleoptera	unk	1	1	0.5123
GCOL11363-16	Insecta	Coleoptera	unk	1	1	0.4984
GBCOU1560-13	Insecta	Coleoptera	unk	1	1	0.7371
GBCOU2781-13	Insecta	Coleoptera	unk	1	1	0.8822
FBCOE448-12	Insecta	Coleoptera	unk	1	0.9999	0.5732
GCOL621-16	Insecta	Coleoptera	unk	1	1	0.8885
GCOL589-16	Insecta	Coleoptera	Scraptiidae	1	1	0.519
FBCON379-13	Insecta	Coleoptera	unk	1	1	0.5673
FBCOJ001-12	Insecta	Coleoptera	unk	1	1	0.7787000000000001
GCOL4346-16	Insecta	Coleoptera	Scraptiidae	1	1	0.5119
GBCOU1033-13	Insecta	Coleoptera	unk	1	1	0.7684
GCOL2541-16	Insecta	Coleoptera	unk	1	1	0.707
GCOL9106-16	Insecta	Coleoptera	unk	1	1	0.6029
FBCOO746-13	Insecta	Coleoptera	unk	1	1	0.7137
FBCOF748-12	Insecta	Coleoptera	unk	1	1	0.5115
FBCOB781-10	Insecta	Coleoptera	unk	1	1	0.9186000000000001
FBCOE1160-12	Insecta	Coleoptera	Nitidulidae	1	1	0.8737000000000001
FBCOA397-10	Insecta	Coleoptera	unk	1	1	1
FBCOB318-10	Insecta	Coleoptera	Anthicidae	1	1	0.8554
FBCOD693-11	Insecta	Coleoptera	unk	1	1	0.7347
GCOL10088-16	Insecta	Coleoptera	Curculionidae	1	1	0.8299000000000001
FBCOF199-12	Insecta	Coleoptera	unk	1	1	0.6179
FBCOD1016-11	Insecta	Coleoptera	Curculionidae	1	1	0.8448000000000001
FBCON353-13	Insecta	Coleoptera	unk	1	1	0.5447000000000001
FBCOP543-13	Insecta	Coleoptera	Mordellidae	1	1	0.6449
GCOL13185-16	Insecta	Coleoptera	unk	1	1	0.6636
GBCOD331-13	Insecta	Coleoptera	unk	1	0.9992	0.9783999999999999
GBCOU1428-13	Insecta	Coleoptera	unk	1	1	0.6134
FBCOD601-11	Insecta	Coleoptera	unk	1	1	0.8219000000000001
GBCOU3060-13	Insecta	Coleoptera	Nitidulidae	1	1	0.8737000000000001
BSOIL273-18	Insecta	Ephemeroptera	unk	1	1	0.6425
GCOL2525-16	Insecta	Coleoptera	unk	1	1	0.8119000000000001
GCOL5218-16	Insecta	Coleoptera	unk	1	1	0.6976
GMGMR255-18	Insecta	Coleoptera	unk	1	1	0.9441
GCOL1626-16	Insecta	Coleoptera	unk	1	1	0.6355
FBLMW261-10	Insecta	Lepidoptera	unk	1	0.8572000000000001	0.6693999999999999
GCOL18446-21	Insecta	Coleoptera	unk	1	1	0.5881
GBCOB080-12	Insecta	Coleoptera	Attelabidae	1	1	0.6931999999999999
GCOL2651-16	Insecta	Coleoptera	unk	1	1	0.6447
GBCOU1303-13	Insecta	Coleoptera	unk	1	1	0.5083
GBCOU2974-13	Insecta	Coleoptera	unk	1	1	0.6730999999999999
GBCOU1625-13	Insecta	Coleoptera	unk	1	1	0.5123
FBCOC854-10	Insecta	Coleoptera	unk	1	1	0.5385
GBCOC573-12	Insecta	Coleoptera	unk	1	1	0.6693999999999999
FBCOC669-10	Insecta	Coleoptera	unk	1	1	0.5193
FBCOA229-10	Insecta	Coleoptera	unk	1	1	0.8674000000000001
GCOL2596-16	Insecta	Coleoptera	unk	1	1	0.8673000000000001
GBCOG451-13	Insecta	Coleoptera	unk	1	1	0.5497000000000001
FBCOD241-11	Insecta	Coleoptera	Haliplidae	1	1	0.9254
GBCOD268-13	Insecta	Coleoptera	Attelabidae	1	1	0.9778
FBAQU979-10	Insecta	Coleoptera	Haliplidae	1	1	0.9338000000000001
GBCOD537-13	Insecta	Coleoptera	unk	1	0.9999	0.5724
GBCOE034-13	Insecta	Coleoptera	unk	1	1	0.7156
GBCOG059-13	Insecta	Coleoptera	unk	1	1	0.6822999999999999
FBCOJ302-12	Insecta	Coleoptera	unk	1	1	0.5737000000000001
FBCOO004-13	Insecta	Coleoptera	Anthribidae	1	1	0.7142999999999999
FBCON934-13	Insecta	Coleoptera	Scarabaeidae	1	1	0.4985
GMGRB1981-13	Insecta	Coleoptera	Attelabidae	1	1	0.9986
FBCOO821-13	Insecta	Coleoptera	unk	1	1	0.708
FBCOH626-12	Insecta	Coleoptera	unk	1	1	0.7746000000000001
GCOL2420-16	Insecta	Coleoptera	unk	1	1	0.5385
GCOL8129-16	Insecta	Coleoptera	unk	1	1	0.7804999999999999
GCOL15852-21	Insecta	Coleoptera	unk	1	1	1
GCOL4992-16	Insecta	Coleoptera	unk	1	1	0.9794999999999999
GBMNE16291-21	Insecta	Coleoptera	Cleridae	1	1	0.5295
GMGMA151-14	Insecta	Coleoptera	Mordellidae	1	1	0.6083
GCOL12598-16	Insecta	Coleoptera	unk	1	1	0.5783
FBCON894-13	Insecta	Coleoptera	unk	1	1	0.6668999999999999
FBCOK053-13	Insecta	Coleoptera	Erotylidae	1	1	0.5088
GCOL10855-16	Insecta	Coleoptera	unk	1	1	0.5617000000000001
FBCON384-13	Insecta	Coleoptera	unk	1	1	0.8794000000000001
GBCOU655-13	Insecta	Coleoptera	Attelabidae	1	1	0.7837
FBCON247-13	Insecta	Coleoptera	unk	1	1	0.8453
GBCOU3150-13	Insecta	Coleoptera	Kateretidae	1	1	0.6607999999999999
GCOL1124-16	Insecta	Coleoptera	Tenebrionidae	1	1	0.93
ULMCA013-19	Insecta	Coleoptera	Nitidulidae	1	1	0.8128000000000001
GBCOD950-13	Insecta	Coleoptera	unk	1	1	0.972
GCOL2721-16	Insecta	Coleoptera	unk	1	1	0.7988999999999999
GCOL12512-16	Insecta	Coleoptera	unk	1	1	0.7026
GCOL2429-16	Insecta	Coleoptera	unk	1	1	0.5187
FBCOC495-10	Insecta	Coleoptera	unk	1	0.5997	0.47650000000000003
GCOL5230-16	Insecta	Coleoptera	unk	1	1	0.8293
GCOL2595-16	Insecta	Coleoptera	unk	1	1	0.8520000000000001
ULMCA015-19	Insecta	Coleoptera	Nitidulidae	1	1	0.8128000000000001
GBCOF190-13	Insecta	Coleoptera	Leiodidae	1	1	0.9394
GBCOD616-13	Insecta	Coleoptera	unk	1	1	0.8601000000000001
GCOL2428-16	Insecta	Coleoptera	unk	1	1	0.6585
GCOL2426-16	Insecta	Coleoptera	unk	1	1	0.5730000000000001
FBCOD763-11	Insecta	Coleoptera	unk	1	1	0.8108000000000001
GBCOD639-13	Insecta	Coleoptera	unk	1	1	0.9676
GBCOU3461-13	Insecta	Coleoptera	unk	1	1	0.9441
FBCON726-13	Insecta	Coleoptera	unk	1	1	0.6363
FBCON774-13	Insecta	Coleoptera	unk	1	1	0.8293
FBCOP088-13	Insecta	Coleoptera	unk	1	1	0.8616000000000001
GCOL10676-16	Insecta	Coleoptera	Curculionidae	1	1	0.998
FBCOB611-10	Insecta	Coleoptera	unk	1	1	0.6822999999999999
GCOL12980-16	Insecta	Coleoptera	unk	1	1	0.6241
ZSMDB080-16	Insecta	Coleoptera	unk	1	1	0.9062
MIDGE152-06	Insecta	Diptera	unk	1	0.7269	0.46930000000000005
FBCOI144-12	Insecta	Coleoptera	Curculionidae	1	1	0.998
GBCOU2084-13	Insecta	Coleoptera	unk	1	1	0.7952999999999999
GBCOU558-13	Insecta	Coleoptera	Salpingidae	1	1	0.9362
FBCOF772-12	Insecta	Coleoptera	unk	1	1	0.7409
GBCOU2423-13	Insecta	Coleoptera	unk	1	1	0.6305
GCOL1429-16	Insecta	Coleoptera	unk	1	1	0.806
FBCOC375-10	Insecta	Coleoptera	unk	1	1	0.41630000000000006
FBCOP164-13	Insecta	Coleoptera	unk	1	1	0.4635
GCOL6353-16	Insecta	Coleoptera	unk	1	1	0.5147
FBCOH672-12	Insecta	Coleoptera	Curculionidae	1	1	0.998
GCOL5479-16	Insecta	Coleoptera	unk	1	1	0.7172999999999999
FBCOI718-12	Insecta	Coleoptera	Leiodidae	1	1	0.9394
GCOL2237-16	Insecta	Coleoptera	Scraptiidae	1	1	0.5215
GCOL13261-16	Insecta	Coleoptera	unk	1	1	0.5202
GBCOU2932-13	Insecta	Coleoptera	unk	1	1	0.9508000000000001
GCOL10409-16	Insecta	Coleoptera	unk	1	1	0.6132
FBCOJ119-12	Insecta	Coleoptera	unk	1	1	0.9512
FBCOF1085-12	Insecta	Coleoptera	unk	1	1	0.8148000000000001
GBCOD803-13	Insecta	Coleoptera	Mordellidae	1	1	0.7633
GBCOU536-13	Insecta	Coleoptera	Salpingidae	1	1	0.9335
FBCOQ229-13	Insecta	Coleoptera	unk	1	1	0.5324
FBCON449-13	Insecta	Coleoptera	unk	1	1	0.9382
GCOL13207-16	Insecta	Coleoptera	Phalacridae	1	1	0.6407
GBCOD617-13	Insecta	Coleoptera	unk	1	1	0.8616000000000001
FBCOD1138-11	Insecta	Coleoptera	unk	1	1	0.7917
GCOL2666-16	Insecta	Coleoptera	unk	1	1	0.969
GCOL2604-16	Insecta	Coleoptera	Phalacridae	1	1	0.64
FBCOB614-10	Insecta	Coleoptera	unk	1	1	0.9558000000000001
GBCOD416-13	Insecta	Coleoptera	unk	1	1	0.9517000000000001
FBCOC667-10	Insecta	Coleoptera	unk	1	1	0.4393000000000001
GCOL11347-16	Insecta	Coleoptera	unk	1	1	0.4393000000000001
GMGMK1029-14	Insecta	Coleoptera	Mordellidae	1	1	0.9306000000000001
GCOL10548-16	Insecta	Coleoptera	Heteroceridae	1	1	0.5770000000000001
GBCOB793-12	Insecta	Coleoptera	unk	1	1	0.5732
TBGMI061-21	Insecta	unk	unk	1	0.8087000000000001	0.8087000000000001
FBCOB149-10	Insecta	Coleoptera	unk	1	1	0.7108
GBCOC551-12	Insecta	Coleoptera	unk	1	1	0.7047
GBCOE916-13	Insecta	Coleoptera	Elateridae	1	1	0.7763
GBCOU3547-13	Insecta	Coleoptera	unk	1	1	0.7823999999999999
GBCOU2228-13	Insecta	Coleoptera	Elateridae	1	1	0.9646
