ID	class	order	family	subfamily	tribe	genus	species	Prob_class	Prob_order	Prob_family	Prob_subfamily	Prob_tribe	Prob_genus	Prob_species
SMNKA068-16	Arachnida	Araneae	Linyphiidae	dummy_Linyphiidae	dummy_Linyphiidae	Walckenaeria	Walckenaeria_obtusa	1	1	1	1	1	1	0.999
FBARB180-11	Arachnida	Araneae	Linyphiidae	dummy_Linyphiidae	dummy_Linyphiidae	Walckenaeria	unk	1	1	1	1	1	1	0.8725
GBBSP1437-15	Arachnida	Araneae	Linyphiidae	dummy_Linyphiidae	dummy_Linyphiidae	Gonatium	Gonatium_paradoxum	1	1	1	1	1	1	0.9996
SMNKA174-16	Arachnida	Araneae	Linyphiidae	dummy_Linyphiidae	dummy_Linyphiidae	unk	unk	1	1	1	1	1	0.6036	0.6036
FBARB477-11	Arachnida	Araneae	Linyphiidae	dummy_Linyphiidae	dummy_Linyphiidae	Silometopus	unk	1	1	1	1	1	1	0.6939
GBBSP1323-15	Arachnida	Araneae	Linyphiidae	dummy_Linyphiidae	dummy_Linyphiidae	Tapinocyba	Tapinocyba_pallens	1	1	1	1	1	1	0.9352
GBBSP1363-15	Arachnida	Araneae	Linyphiidae	dummy_Linyphiidae	dummy_Linyphiidae	unk	unk	1	1	1	1	1	0.9517000000000001	0.9517000000000001
SMNKA199-16	Arachnida	Araneae	Linyphiidae	dummy_Linyphiidae	dummy_Linyphiidae	unk	unk	1	1	1	1	1	0.8731000000000001	0.8731000000000001
SMNKA153-16	Arachnida	Araneae	Linyphiidae	dummy_Linyphiidae	dummy_Linyphiidae	Agyneta	unk	1	1	1	1	1	1	0.5
SMNKA091-16	Arachnida	Araneae	Linyphiidae	dummy_Linyphiidae	dummy_Linyphiidae	Agyneta	Agyneta_rurestris	1	1	1	1	1	1	0.8736000000000002
SMNKA263-16	Arachnida	Araneae	Linyphiidae	dummy_Linyphiidae	dummy_Linyphiidae	unk	unk	1	1	1	1	1	0.5495	0.5495
GBBSP1130-15	Arachnida	Araneae	Linyphiidae	dummy_Linyphiidae	dummy_Linyphiidae	Tallusia	Tallusia_experta	1	1	1	1	1	0.9997	0.9997
FBARB213-11	Arachnida	Araneae	Linyphiidae	dummy_Linyphiidae	dummy_Linyphiidae	unk	unk	1	1	1	1	1	1	1
SMNKA283-16	Arachnida	Araneae	unk	unk	unk	unk	unk	1	1	0.5367000000000001	0.5367000000000001	0.5367000000000001	0.5367000000000001	0.5367000000000001
GBBSP2099-16	Arachnida	Araneae	Hahniidae	dummy_Hahniidae	dummy_Hahniidae	unk	unk	1	1	0.5768000000000001	0.5768000000000001	0.5768000000000001	0.3919	0.3919
FBARB611-12	Arachnida	Araneae	unk	unk	unk	unk	unk	1	1	1	1	1	1	1
GBBSP1067-15	Arachnida	Araneae	Uloboridae	dummy_Uloboridae	dummy_Uloboridae	Hyptiotes	Hyptiotes_paradoxus	1	1	0.9998	0.9998	0.9998	0.9998	0.9998
GBBSP528-15	Arachnida	Opiliones	Phalangiidae	Oligolophinae	dummy_Oligolophinae	unk	unk	1	1	1	1	1	0.7861999999999999	0.7861999999999999
SMNSA217-16	Arachnida	Opiliones	Phalangiidae	Oligolophinae	dummy_Oligolophinae	unk	unk	1	0.7287	0.7287	0.7287	0.7287	0.7287	0.7287
MYFAB406-11	Arachnida	unk	unk	unk	unk	unk	unk	1	0.8171	0.8171	0.8171	0.8171	0.8171	0.8171
SMNSA261-16	Arachnida	Opiliones	Phalangiidae	Oligolophinae	dummy_Oligolophinae	unk	unk	1	0.9999	0.9999	0.9999	0.9999	0.9410000000000001	0.9410000000000001
TBGMI177-21	Arachnida	Sarcoptiformes	unk	unk	unk	unk	unk	1	1	0.7738	0.7738	0.7738	0.7738	0.7738
TBGMI163-21	Arachnida	Sarcoptiformes	unk	unk	unk	unk	unk	1	1	0.7413	0.7413	0.7413	0.7413	0.7413
TBGMI166-21	Arachnida	Sarcoptiformes	unk	unk	unk	unk	unk	1	1	0.2841	0.2841	0.2841	0.2841	0.2841
TBGMI172-21	Arachnida	Sarcoptiformes	unk	unk	unk	unk	unk	1	1	0.7878	0.7878	0.7878	0.7878	0.7878
TBGMI165-21	Arachnida	Sarcoptiformes	Galumnidae	dummy_Galumnidae	dummy_Galumnidae	unk	unk	1	1	0.6531	0.6531	0.6531	0.5082	0.5082
TBGMI157-21	Arachnida	Sarcoptiformes	unk	unk	unk	unk	unk	1	1	0.6697	0.6697	0.6697	0.6697	0.6697
TBGMI174-21	Arachnida	Sarcoptiformes	unk	unk	unk	unk	unk	1	1	0.7546	0.7546	0.7546	0.7546	0.7546
TBGMI159-21	Arachnida	Sarcoptiformes	Oppiidae	dummy_Oppiidae	dummy_Oppiidae	unk	unk	1	1	0.5192	0.5192	0.5192	0.3876	0.3876
TBGMI152-21	Arachnida	Sarcoptiformes	Chamobatidae	dummy_Chamobatidae	dummy_Chamobatidae	Chamobates	unk	1	1	0.5762	0.5762	0.5762	0.5762	0.35919999999999996
TBGMI178-21	Arachnida	Sarcoptiformes	Phenopelopidae	dummy_Phenopelopidae	dummy_Phenopelopidae	Eupelops	unk	1	1	1	1	1	1	0.8284
TBGMI154-21	Arachnida	Sarcoptiformes	Galumnidae	dummy_Galumnidae	dummy_Galumnidae	unk	unk	1	1	0.8937	0.8937	0.8937	0.7757000000000001	0.7757000000000001
TBGMI198-22	Arachnida	Sarcoptiformes	Carabodidae	dummy_Carabodidae	dummy_Carabodidae	unk	unk	1	1	1	1	1	0.6968	0.6968
TBGMI181-21	Arachnida	Sarcoptiformes	Liacaridae	dummy_Liacaridae	dummy_Liacaridae	unk	unk	1	0.9631	0.8125	0.8125	0.8125	0.5246000000000001	0.5246000000000001
MYFAB059-10	Arachnida	unk	unk	unk	unk	unk	unk	1	0.8937	0.8937	0.8937	0.8937	0.8937	0.8937
GMGRH2003-13	Insecta	Neuroptera	Coniopterygidae	Coniopteryginae	unk	unk	unk	1	1	0.6329	0.6329	0.6325	0.6325	0.6325
SMNSA023-16	Arachnida	unk	unk	unk	unk	unk	unk	1	0.6583	0.6583	0.6583	0.6583	0.6583	0.6583
MYFAB457-11	Arachnida	unk	unk	unk	unk	unk	unk	1	0.6859	0.6859	0.6859	0.6859	0.6859	0.6859
TBGMI023-21	Insecta	Ephemeroptera	unk	unk	unk	unk	unk	1	1	0.6607999999999999	0.6607999999999999	0.6607999999999999	0.6607999999999999	0.6607999999999999
GBMYR975-15	Arachnida	unk	unk	unk	unk	unk	unk	1	0.8418000000000001	0.8418000000000001	0.8418000000000001	0.8418000000000001	0.8418000000000001	0.8418000000000001
MYFAB274-10	Arachnida	unk	unk	unk	unk	unk	unk	1	0.8760000000000001	0.8760000000000001	0.8760000000000001	0.8760000000000001	0.8760000000000001	0.8760000000000001
GBCOU852-13	Insecta	Coleoptera	Tetratomidae	unk	unk	unk	unk	1	1	0.43940000000000007	0.4151	0.4151	0.4151	0.4151
GBCOU2781-13	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.7048	0.7048	0.7048	0.7048	0.7048
GBCOU2618-13	Insecta	Coleoptera	Scraptiidae	Anaspidinae	Anaspidini	Anaspis	unk	1	1	0.8115	0.8115	0.8115	0.8115	0.8115
GBCOU2198-13	Insecta	Coleoptera	Oedemeridae	Oedemerinae	Oedemerini	Oedemera	unk	1	1	1	1	1	1	0.9736
GCOL7059-16	Insecta	Coleoptera	Oedemeridae	unk	unk	unk	unk	1	1	0.4436	0.4436	0.4436	0.4436	0.4436
GCOL10558-16	Insecta	Coleoptera	Oedemeridae	Oedemerinae	Ditylini	Chrysanthia	unk	1	1	1	0.9881	0.5378000000000001	0.5378000000000001	0.5306000000000001
FBCOO467-13	Insecta	Coleoptera	Oedemeridae	unk	unk	unk	unk	1	1	0.43420000000000003	0.43420000000000003	0.43420000000000003	0.43420000000000003	0.43420000000000003
FBCOB551-10	Insecta	Coleoptera	Zopheridae	Colydiinae	Orthocerini	Orthocerus	Orthocerus_clavicornis	1	1	1	1	0.9999	0.9999	0.9999
GBCOD950-13	Insecta	Coleoptera	Zopheridae	Colydiinae	Synchitini	unk	unk	1	1	0.6404	0.6404	0.558	0.5045	0.5045
GBCOU1665-13	Insecta	Coleoptera	Oedemeridae	unk	unk	unk	unk	1	1	0.3932	0.2807	0.2807	0.2807	0.2807
GBCOU1625-13	Insecta	Coleoptera	Oedemeridae	unk	unk	unk	unk	1	1	0.3932	0.2807	0.2807	0.2807	0.2807
FBCOK007-13	Insecta	Coleoptera	Melyridae	unk	unk	unk	unk	1	1	0.6164	0.5672	0.5672	0.5672	0.5672
FBCOK085-13	Insecta	Coleoptera	Melandryidae	Melandryinae	Dircaeini	unk	unk	1	1	1	1	1	0.8885	0.8885
FBCOC891-10	Insecta	Coleoptera	Scraptiidae	Anaspidinae	Anaspidini	Anaspis	unk	1	1	0.9278000000000001	0.9278000000000001	0.9278000000000001	0.9278000000000001	0.9232
GCOL621-16	Insecta	Coleoptera	Melandryidae	Melandryinae	Dircaeini	Abdera	Abdera_triguttata	1	1	0.985	0.985	0.985	0.985	0.5245
GBCOB152-12	Insecta	Coleoptera	Melandryidae	Melandryinae	unk	unk	unk	1	1	1	1	0.5104	0.5104	0.5104
FBCON489-13	Insecta	Coleoptera	Monotomidae	Rhizophaginae	dummy_Rhizophaginae	Rhizophagus	unk	1	1	0.7098	0.46480000000000005	0.46480000000000005	0.46480000000000005	0.4432
FBCOP025-13	Insecta	Coleoptera	Staphylinidae	Pselaphinae	unk	unk	unk	1	1	0.6212	0.5979	0.4494	0.4494	0.4494
FBCOB411-10	Insecta	Coleoptera	Corylophidae	Corylophinae	Orthoperini	Orthoperus	unk	1	1	1	1	1	1	0.8115
GCOL13151-16	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.5098	0.5098	0.5098	0.5098	0.5098
FBCOE339-12	Insecta	Coleoptera	Latridiidae	Corticariinae	dummy_Corticariinae	Melanophthalma	Melanophthalma_transversalis	1	1	1	1	1	0.9998	0.9998
FBCOG931-12	Insecta	Coleoptera	Latridiidae	Latridiinae	dummy_Latridiinae	Cartodere	unk	1	1	1	1	1	0.9644999999999999	0.7109
FBCOB807-10	Insecta	Coleoptera	Staphylinidae	Scydmaeninae	Stenichnini	unk	unk	1	1	0.5862999999999999	0.5862999999999999	0.5862999999999999	0.46490000000000004	0.46490000000000004
FBCOF345-12	Insecta	Coleoptera	Clambidae	Clambinae	dummy_Clambinae	Clambus	unk	1	1	0.9813999999999999	0.9813999999999999	0.9813999999999999	0.9813999999999999	0.7799999999999999
FBCOK529-13	Insecta	Coleoptera	Melyridae	Dasytinae	Dasytini	Dasytes	unk	1	1	1	0.9954999999999999	0.9954999999999999	0.921	0.7348
GBCOU2014-13	Insecta	Coleoptera	Melyridae	Dasytinae	Dasytini	Dasytes	unk	1	1	1	0.9954	0.9954	0.885	0.8726000000000002
GBCOU1633-13	Insecta	Coleoptera	Melyridae	Dasytinae	Dasytini	Dasytes	unk	1	1	1	1	1	1	0.6894999999999999
GBCOU2610-13	Insecta	Coleoptera	Melyridae	Dasytinae	Dasytini	Dasytes	unk	1	1	1	1	1	1	0.9592
FBCOG1299-12	Insecta	Coleoptera	Melyridae	Malachiinae	Malachiini	unk	unk	1	1	1	1	1	0.8773000000000001	0.8773000000000001
GCOL6993-16	Insecta	Coleoptera	Melyridae	Malachiinae	Malachiini	unk	unk	1	1	1	1	1	0.8773000000000001	0.8773000000000001
FBCOO570-13	Insecta	Coleoptera	Melyridae	Malachiinae	Malachiini	unk	unk	1	1	1	1	1	0.7608	0.7608
FBCOQ135-13	Insecta	Coleoptera	Melyridae	Malachiinae	Malachiini	Malachius	unk	1	1	1	1	1	0.6678	0.468
GBCOU1672-13	Insecta	Coleoptera	Melyridae	Malachiinae	Malachiini	unk	unk	1	1	1	1	1	0.7879999999999999	0.7879999999999999
GCOL6734-16	Insecta	Coleoptera	Melyridae	Malachiinae	Malachiini	unk	unk	1	1	1	1	1	0.9597000000000001	0.9597000000000001
GBCOU1311-13	Insecta	Coleoptera	Melyridae	Malachiinae	Malachiini	unk	unk	1	1	1	1	1	0.9621	0.9621
GCOL6733-16	Insecta	Coleoptera	Melyridae	Malachiinae	Malachiini	unk	unk	1	1	1	1	1	0.9597000000000001	0.9597000000000001
GCOL6128-16	Insecta	Coleoptera	Melyridae	Malachiinae	Malachiini	Malachius	unk	1	1	1	1	1	0.6730999999999999	0.46640000000000004
GBCOU2366-13	Insecta	Coleoptera	Melyridae	Malachiinae	Malachiini	unk	unk	1	1	1	1	1	0.9641	0.9641
FBCOQ137-13	Insecta	Coleoptera	Melyridae	Malachiinae	Malachiini	unk	unk	1	1	1	1	1	0.5426000000000001	0.5426000000000001
FBCOP050-13	Insecta	Coleoptera	Melyridae	Malachiinae	Malachiini	unk	unk	1	1	1	1	1	0.9124	0.9124
GBCOU1310-13	Insecta	Coleoptera	Melyridae	Malachiinae	Malachiini	unk	unk	1	1	1	1	1	0.9597000000000001	0.9597000000000001
FBCOC407-10	Insecta	Coleoptera	Peltidae	dummy_Peltidae	dummy_Peltidae	Peltis	unk	1	1	0.8116000000000001	0.8116000000000001	0.8116000000000001	0.8116000000000001	0.8116000000000001
FBCOO115-13	Insecta	Coleoptera	Cerambycidae	Cerambycinae	unk	unk	unk	1	1	1	1	0.8679000000000001	0.8679000000000001	0.8679000000000001
FBCOP200-13	Insecta	Coleoptera	Cerambycidae	Cerambycinae	Callidiini	unk	unk	1	1	0.9773	0.9773	0.8788000000000001	0.6465	0.6465
GBCOU3277-13	Insecta	Coleoptera	Cleridae	Korynetinae	dummy_Korynetinae	Necrobia	Necrobia_violacea	1	1	0.9045	0.48890000000000006	0.48890000000000006	0.48890000000000006	0.48890000000000006
GCOL4154-16	Insecta	Coleoptera	Tenebrionidae	Alleculinae	Alleculini	unk	unk	1	1	1	0.9676	0.9676	0.8177000000000001	0.8177000000000001
GBCOU1849-13	Insecta	Coleoptera	Tenebrionidae	Alleculinae	Alleculini	unk	unk	1	1	1	0.9799	0.9799	0.9420000000000001	0.9420000000000001
FBCOB524-10	Insecta	Coleoptera	Tenebrionidae	Alleculinae	Alleculini	Mycetochara	unk	1	1	1	1	1	1	0.7683
GCOL1124-16	Insecta	Coleoptera	Tenebrionidae	Diaperinae	Diaperini	unk	unk	1	1	1	0.5967	0.5967	0.5708000000000001	0.5708000000000001
GCOL4041-16	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.5808	0.5808	0.5808	0.5808	0.5808
GCOL6056-16	Insecta	Coleoptera	Tenebrionidae	Alleculinae	Alleculini	unk	unk	1	1	1	0.456	0.456	0.43310000000000004	0.43310000000000004
FBCOI459-12	Insecta	Coleoptera	Tenebrionidae	Alleculinae	Alleculini	unk	unk	1	1	1	0.9812	0.9812	0.9496000000000001	0.9496000000000001
GCOL7484-16	Insecta	Coleoptera	Tenebrionidae	Tenebrioninae	unk	unk	unk	1	1	1	0.8598000000000001	0.7828999999999999	0.7828999999999999	0.7828999999999999
GCOL7483-16	Insecta	Coleoptera	Tenebrionidae	Tenebrioninae	unk	unk	unk	1	1	1	0.8598000000000001	0.7828999999999999	0.7828999999999999	0.7828999999999999
GBCOU602-13	Insecta	Coleoptera	Tenebrionidae	Tenebrioninae	unk	unk	unk	1	1	1	0.8598000000000001	0.7828999999999999	0.7828999999999999	0.7828999999999999
TBGMI037-21	Insecta	Coleoptera	Dermestidae	Attageninae	Attagenini	Attagenus	unk	1	1	0.5591	0.5591	0.5591	0.5591	0.4524
FBCOJ654-12	Insecta	Coleoptera	Buprestidae	Agrilinae	Agrilini	Agrilus	unk	1	1	1	0.711	0.711	0.711	0.6909
GBCOU1974-13	Insecta	Coleoptera	Buprestidae	Agrilinae	Agrilini	Agrilus	unk	1	1	0.9866	0.5803999999999999	0.5803999999999999	0.5803999999999999	0.5803999999999999
GCOL4127-16	Insecta	Coleoptera	Buprestidae	unk	unk	unk	unk	1	1	1	0.5523	0.5523	0.5523	0.5523
FBCOP229-13	Insecta	Coleoptera	Ptinidae	Ernobiinae	unk	unk	unk	1	1	0.9296000000000001	0.9288000000000001	0.8055	0.8055	0.8055
GCOL6045-16	Insecta	Coleoptera	Buprestidae	Buprestinae	unk	unk	unk	1	1	1	1	0.7216	0.7216	0.7216
FBCOC073-10	Insecta	Coleoptera	Buprestidae	Buprestinae	Buprestini	Buprestis	Buprestis_rustica	1	1	1	1	1	1	0.9984999999999999
GCOL10784-16	Insecta	Coleoptera	Buprestidae	Buprestinae	unk	unk	unk	1	1	1	1	0.6962999999999999	0.6962999999999999	0.6962999999999999
GBCOU2150-13	Insecta	Coleoptera	Histeridae	Abraeinae	Plegaderini	Plegaderus	unk	1	1	0.9224	0.7685	0.7682	0.7682	0.7318
FBCOE120-12	Insecta	Coleoptera	Buprestidae	Buprestinae	unk	unk	unk	1	1	1	1	0.8367000000000001	0.8367000000000001	0.8367000000000001
GBCOU2356-13	Insecta	Coleoptera	Ptinidae	Anobiinae	Anobiini	Anobium	unk	1	1	1	1	1	1	0.5951
FBCOQ068-13	Insecta	Coleoptera	Ptinidae	unk	unk	unk	unk	1	1	0.8757000000000001	0.6268	0.6268	0.6268	0.6268
GBCOE702-13	Insecta	Coleoptera	Ptinidae	unk	unk	unk	unk	1	1	1	0.8965	0.8965	0.8965	0.8965
FBCOC736-10	Insecta	Coleoptera	Ptinidae	Dorcatominae	Dorcatomini	Dorcatoma	unk	1	1	1	1	1	1	0.8744000000000001
FBCOC495-10	Insecta	Coleoptera	Ptinidae	Xyletininae	Xyletinini	Xyletinus	unk	1	1	1	0.7121999999999999	0.7121999999999999	0.7121999999999999	0.6891999999999999
FBCON684-13	Insecta	Coleoptera	Ptinidae	unk	unk	unk	unk	1	1	1	1	1	1	1
FBCOG1106-12	Insecta	Coleoptera	Scarabaeidae	Aphodiinae	Aphodiini	unk	unk	1	1	0.8987	0.8987	0.8987	0.8202	0.8202
FBCOA607-10	Insecta	Coleoptera	Ptinidae	Ernobiinae	unk	unk	unk	1	1	0.9296000000000001	0.9288000000000001	0.8055	0.8055	0.8055
GCOL2919-16	Insecta	Coleoptera	Staphylinidae	Staphylininae	Staphylinini	unk	unk	1	1	1	1	1	0.9590000000000001	0.9590000000000001
GCOL10765-16	Insecta	Coleoptera	Ptinidae	Ptininae	Ptinini	Ptinus	unk	1	1	1	1	1	1	1
GBCOU1740-13	Insecta	Coleoptera	Byrrhidae	Byrrhinae	dummy_Byrrhinae	Byrrhus	Byrrhus_fasciatus	1	1	1	1	1	1	0.9997
TBGMI008-21	Insecta	Coleoptera	Dermestidae	Attageninae	Attagenini	Attagenus	unk	1	1	0.3691	0.3691	0.3691	0.3691	0.24400000000000002
GCOL8694-16	Insecta	Coleoptera	Dermestidae	Megatominae	Anthrenini	Anthrenus	unk	1	1	1	1	0.8912	0.8912	0.8177000000000001
CSP042-09	Insecta	Coleoptera	Dermestidae	Megatominae	Megatomini	unk	unk	1	1	1	1	1	0.8608000000000001	0.8608000000000001
CSP057-09	Insecta	Coleoptera	Dermestidae	Megatominae	Megatomini	unk	unk	1	1	1	1	0.9824999999999999	0.8929	0.8929
FBCOO869-13	Insecta	Coleoptera	Dermestidae	Dermestinae	Dermestini	Dermestes	unk	1	1	1	0.5151	0.5151	0.5151	0.5151
CSP027-09	Insecta	Coleoptera	Dermestidae	Dermestinae	Dermestini	Dermestes	unk	1	1	1	0.9979	0.9979	0.9979	0.9979
GCOL6671-16	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.5690000000000001	0.5690000000000001	0.5690000000000001	0.5690000000000001	0.5690000000000001
FBAQU411-10	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.7953999999999999	0.7953999999999999	0.7953999999999999	0.7953999999999999	0.7953999999999999
FBAQU671-10	Insecta	Coleoptera	Elmidae	Elminae	dummy_Elminae	Elmis	Elmis_aenea	1	1	1	1	1	0.8465	0.8465
FBCOD718-11	Insecta	Coleoptera	Heteroceridae	Heterocerinae	dummy_Heterocerinae	Augyles	unk	1	1	0.8981	0.8981	0.8981	0.7827	0.5462
FBAQU675-10	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.5690000000000001	0.5690000000000001	0.5690000000000001	0.5690000000000001	0.5690000000000001
AGRID027-10	Insecta	Coleoptera	Elateridae	Elaterinae	Agriotini	unk	unk	1	1	1	0.9223	0.9223	0.6072	0.6072
FBCOC433-10	Insecta	Coleoptera	Elateridae	unk	unk	unk	unk	1	1	0.9015	0.6178	0.6178	0.6178	0.6178
FBCOC781-10	Insecta	Coleoptera	Elateridae	Negastriinae	Negastriini	Negastrius	unk	1	1	1	1	1	0.6746	0.6746
FBCOJ181-12	Insecta	Coleoptera	Elateridae	Negastriinae	Negastriini	unk	unk	1	1	1	0.8994	0.8994	0.8202	0.8202
GBCOU2189-13	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.8819	0.8819	0.8819	0.8819	0.8819
FBCOK524-13	Insecta	Coleoptera	Elateridae	Dendrometrinae	Dendrometrini	unk	unk	1	1	1	0.968	0.9539000000000001	0.8663000000000001	0.8663000000000001
FBCOA786-10	Insecta	Coleoptera	Elateridae	Dendrometrinae	Prosternini	Selatosomus	unk	1	1	1	0.9823	0.9621999999999999	0.9172	0.5181
FBCOJ182-12	Insecta	Coleoptera	Elateridae	Dendrometrinae	Prosternini	unk	unk	1	1	1	0.7708	0.7451	0.6347	0.6347
FBCOJ487-12	Insecta	Coleoptera	Elateridae	Dendrometrinae	Prosternini	Selatosomus	unk	1	1	1	0.9821	0.9621999999999999	0.8791000000000001	0.4967
FBCON245-13	Insecta	Coleoptera	Elateridae	Elaterinae	unk	unk	unk	1	1	1	0.6919	0.5831999999999999	0.5831999999999999	0.5831999999999999
FBCOO641-13	Insecta	Coleoptera	Elateridae	Elaterinae	Ampedini	Ampedus	unk	1	1	1	1	1	1	0.8455
GCOL5078-16	Insecta	Coleoptera	Elateridae	Elaterinae	Ampedini	Ampedus	unk	1	1	1	1	1	1	0.8625
GBCOE928-13	Insecta	Coleoptera	Elateridae	Elaterinae	Ampedini	Ampedus	unk	1	1	1	1	1	1	0.7212
GBCOU3577-13	Insecta	Coleoptera	Elateridae	Elaterinae	Ampedini	Ampedus	unk	1	1	1	1	1	1	0.7564
GBCOG593-13	Insecta	Coleoptera	Elateridae	unk	unk	unk	unk	1	1	0.9015	0.6178	0.6178	0.6178	0.6178
GCOL6670-16	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.5690000000000001	0.5690000000000001	0.5690000000000001	0.5690000000000001	0.5690000000000001
BSOIL273-18	Insecta	Diptera	Muscidae	Coenosiinae	Limnophorini	unk	unk	1	0.906	0.7837999999999999	0.7837999999999999	0.7837999999999999	0.5237	0.5237
TBGMI030-21	Insecta	Coleoptera	Ciidae	Ciinae	dummy_Ciinae	unk	unk	1	1	0.96	0.96	0.96	0.6001	0.6001
BISCE124-17	Insecta	Coleoptera	Eucnemidae	unk	unk	unk	unk	1	1	0.5582	0.5582	0.5582	0.5582	0.5582
TBGMI029-21	Insecta	Diptera	Lauxaniidae	Lauxaniinae	dummy_Lauxaniinae	Minettia	unk	1	0.7786000000000001	0.7786000000000001	0.7786000000000001	0.7786000000000001	0.7786000000000001	0.46440000000000003
TBGMI054-21	Insecta	Coleoptera	Silphidae	Silphinae	dummy_Silphinae	Silpha	Silpha_carinata	1	1	0.9457000000000001	0.9457000000000001	0.9457000000000001	0.346	0.3459
