ID	class	order	family	subfamily	Prob_class	Prob_order	Prob_family	Prob_subfamily
GBBSP2099-16	Arachnida	Araneae	unk	unk	1	0.9994999999999999	0.6954999999999999	0.6954999999999999
SMNKA017-16	Arachnida	Araneae	unk	unk	1	1	0.9149	0.9149
TBGMI116-21	Arachnida	Opiliones	Phalangiidae	Oligolophinae	1	0.597	0.597	0.597
MYFAB067-10	Arachnida	unk	unk	unk	1	0.5938	0.5938	0.5938
GACAC2799-19	Arachnida	unk	unk	unk	1	0.6181	0.6181	0.6181
GBBSP528-15	Arachnida	Opiliones	Phalangiidae	Oligolophinae	1	0.9121	0.9121	0.9121
MYFAB059-10	Arachnida	unk	unk	unk	1	0.7109	0.7109	0.7109
FBPSS055-16	Arachnida	Pseudoscorpiones	Cheliferidae	unk	1	0.9999	0.9999	0.8757000000000001
MYFAB369-11	Arachnida	unk	unk	unk	0.9714999999999999	0.5282	0.5282	0.5282
GACAC2877-19	Arachnida	unk	unk	unk	1	0.6088	0.6088	0.6088
FBPSS075-16	Arachnida	Pseudoscorpiones	Cheliferidae	unk	1	0.6934999999999999	0.6934999999999999	0.6934999999999999
GBMNC64779-20	Insecta	Ephemeroptera	Baetidae	Baetinae	1	0.9801	0.5867	0.5867
TBGMI152-21	Arachnida	Sarcoptiformes	Galumnidae	dummy_Galumnidae	1	1	0.6318	0.6318
TBGMI154-21	Arachnida	Sarcoptiformes	unk	unk	1	1	0.8897	0.8897
TBGMI176-21	Arachnida	Sarcoptiformes	unk	unk	1	1	0.8085	0.8085
TBGMI178-21	Arachnida	Sarcoptiformes	Phenopelopidae	dummy_Phenopelopidae	1	1	0.6163	0.6163
TBGMI165-21	Arachnida	Sarcoptiformes	unk	unk	1	1	0.9229	0.9229
TBGMI159-21	Arachnida	Sarcoptiformes	unk	unk	1	1	0.9649	0.9649
TBGMI174-21	Arachnida	Sarcoptiformes	unk	unk	1	1	0.8875	0.8875
TBGMI179-21	Arachnida	Sarcoptiformes	unk	unk	1	1	0.9219	0.9219
TBGMI172-21	Arachnida	Sarcoptiformes	unk	unk	1	1	0.7071999999999999	0.7071999999999999
TBGMI156-21	Arachnida	Sarcoptiformes	unk	unk	1	1	0.9378000000000001	0.9378000000000001
TBGMI161-21	Arachnida	Sarcoptiformes	unk	unk	1	1	0.812	0.812
TBGMI182-21	Arachnida	Sarcoptiformes	unk	unk	1	1	0.6462	0.6462
GBCH3318-09	Arachnida	Sarcoptiformes	Phthiracaridae	dummy_Phthiracaridae	1	1	0.6976	0.6976
GMGMV5084-20	Arachnida	Sarcoptiformes	unk	unk	1	0.5578000000000001	0.5578000000000001	0.5578000000000001
MYFAB483-11	Insecta	Hemiptera	Aradidae	unk	1	1	0.6959	0.5902
GMGMQ4172-18	Arachnida	Sarcoptiformes	unk	unk	1	0.5113	0.5113	0.5113
TBGMI125-21	Arachnida	unk	unk	unk	1	0.5058	0.5058	0.5058
TBGMI039-21	Insecta	Coleoptera	unk	unk	1	1	0.2295	0.2295
TBGMI035-21	Insecta	Coleoptera	Lucanidae	unk	1	1	1	0.545
MYFAB220-10	Arachnida	unk	unk	unk	1	0.6599999999999999	0.6599999999999999	0.6599999999999999
TRCBG996-20	Arachnida	unk	unk	unk	0.6352	0.3746	0.3746	0.3746
MYFAB324-11	Arachnida	unk	unk	unk	1	0.7191	0.7191	0.7191
MYFAB274-10	Arachnida	unk	unk	unk	1	0.6073	0.6073	0.6073
FBCOD361-11	Insecta	Coleoptera	Staphylinidae	Scydmaeninae	1	1	0.8637000000000001	0.5225
GCOL4346-16	Insecta	Coleoptera	Chrysomelidae	unk	1	1	0.5974999999999999	0.46580000000000005
FBCON305-13	Insecta	Coleoptera	Chrysomelidae	Galerucinae	1	1	0.9837	0.9774999999999999
FBCOA375-10	Insecta	Coleoptera	Leiodidae	unk	1	1	0.7273	0.6688
FBCOK731-13	Insecta	Coleoptera	Chrysomelidae	Galerucinae	1	1	0.9718	0.9342
FBCOB792-10	Insecta	Coleoptera	Brentidae	Apioninae	1	1	0.8503000000000001	0.7562
GBCOU2031-13	Insecta	Coleoptera	Brentidae	Apioninae	1	1	1	0.9984999999999999
GBCOC154-12	Insecta	Coleoptera	Brentidae	Apioninae	1	1	1	0.9984999999999999
GCOL10377-16	Insecta	Coleoptera	Brentidae	Apioninae	1	1	1	0.9984999999999999
GCOL8616-16	Insecta	Coleoptera	Brentidae	Apioninae	1	1	1	0.9984999999999999
FBCOK724-13	Insecta	Coleoptera	Brentidae	Apioninae	1	1	1	0.9984999999999999
GCOL621-16	Insecta	Coleoptera	unk	unk	1	1	0.6563	0.6563
FBCOP702-13	Insecta	Coleoptera	Brentidae	Apioninae	1	1	1	0.9984999999999999
GBCOU571-13	Insecta	Coleoptera	Brentidae	Apioninae	1	1	1	0.9984999999999999
GCOL11925-16	Insecta	Coleoptera	Brentidae	Apioninae	1	1	1	0.9984999999999999
GCOL7785-16	Insecta	Coleoptera	Brentidae	Apioninae	1	1	1	0.9984999999999999
GCOL1429-16	Insecta	Coleoptera	Brentidae	Nanophyinae	1	1	1	0.6978
TBGMI052-21	Insecta	Coleoptera	Staphylinidae	unk	1	1	0.6762999999999999	0.468
FBCOK730-13	Insecta	Coleoptera	Chrysomelidae	Galerucinae	1	1	0.9726	0.9358000000000001
FBCOC669-10	Insecta	Coleoptera	Erotylidae	unk	1	1	0.9732999999999999	0.6199
GCOL2627-16	Insecta	Coleoptera	Byrrhidae	unk	1	1	0.5467000000000001	0.5338
FBCOA130-10	Insecta	Coleoptera	Chrysomelidae	unk	1	1	0.6766	0.5773
GCOL7133-16	Insecta	Coleoptera	Coccinellidae	Coccinellinae	1	1	0.7049	0.7049
FBCOG251-12	Insecta	Coleoptera	Latridiidae	Corticariinae	1	1	1	0.9961
FBCOE339-12	Insecta	Coleoptera	Latridiidae	unk	1	1	1	0.5
GBCOU2958-13	Insecta	Coleoptera	Latridiidae	unk	1	1	1	0.5
FBCOQ250-13	Insecta	Coleoptera	Latridiidae	Corticariinae	1	1	1	0.928
GCOL2571-16	Insecta	Coleoptera	Chrysomelidae	unk	1	1	0.7551	0.4847
GCOL2429-16	Insecta	Coleoptera	Chrysomelidae	unk	1	1	0.7551	0.4847
GCOL12703-16	Insecta	Coleoptera	Melandryidae	Melandryinae	1	1	0.8582000000000001	0.8582000000000001
GCOL3885-16	Insecta	Coleoptera	unk	unk	1	1	0.7707	0.7707
GBCOU2734-13	Insecta	Coleoptera	Cerambycidae	unk	1	1	0.4132	0.3469
GCOL2596-16	Insecta	Coleoptera	Chrysomelidae	Galerucinae	1	1	0.5036	0.48380000000000006
GBCOD950-13	Insecta	Coleoptera	unk	unk	1	1	0.722	0.722
GCOL12844-16	Insecta	Coleoptera	Chrysomelidae	unk	1	1	0.8730000000000001	0.8007000000000001
GCOL2595-16	Insecta	Coleoptera	Chrysomelidae	Galerucinae	1	1	0.5065	0.48760000000000003
FBCON726-13	Insecta	Coleoptera	Tetratomidae	unk	1	1	1	0.6397
FBCOK697-13	Insecta	Coleoptera	Chrysomelidae	unk	1	1	0.9068	0.7301
GCOL18446-21	Insecta	Coleoptera	Erotylidae	unk	1	1	0.7691	0.4806
GCOL13207-16	Insecta	Coleoptera	Chrysomelidae	Galerucinae	1	1	0.8586000000000001	0.8321000000000001
GCOL10184-16	Insecta	Coleoptera	Oedemeridae	Oedemerinae	1	1	1	0.7591
GBCOU3461-13	Insecta	Coleoptera	Cerambycidae	unk	1	1	0.8180000000000001	0.7542
FBCON894-13	Insecta	Coleoptera	unk	unk	1	1	0.4408	0.4408
GCOL2589-16	Insecta	Coleoptera	Chrysomelidae	Galerucinae	1	1	1	0.9937
FBCOE1154-12	Insecta	Coleoptera	Chrysomelidae	Galerucinae	1	1	0.9334	0.9276000000000001
FBCOB391-10	Insecta	Coleoptera	Ciidae	Ciinae	1	1	0.5366000000000001	0.5366000000000001
FBCOE871-12	Insecta	Coleoptera	unk	unk	1	1	0.40650000000000003	0.40650000000000003
FBCOB152-10	Insecta	Coleoptera	Tetratomidae	unk	1	1	1	0.6397
GCOL5241-16	Insecta	Coleoptera	Tetratomidae	unk	1	1	0.47880000000000006	0.3089
GCOL5230-16	Insecta	Coleoptera	Chrysomelidae	unk	1	1	0.9068	0.7301
FBCON744-13	Insecta	Coleoptera	unk	unk	1	1	0.7096	0.7096
FBCOO467-13	Insecta	Coleoptera	Tetratomidae	unk	1	1	1	0.7784
GCOL5218-16	Insecta	Coleoptera	Chrysomelidae	Galerucinae	1	1	0.936	0.9024
FBCOJ607-12	Insecta	Coleoptera	Ripiphoridae	unk	1	1	0.8392000000000001	0.7592
GBCOU1430-13	Insecta	Coleoptera	Nitidulidae	unk	1	1	0.9781	0.4934
GBCOU2932-13	Insecta	Coleoptera	Tetratomidae	unk	1	1	0.9768	0.8
GCOL2237-16	Insecta	Coleoptera	Chrysomelidae	unk	1	1	0.7012999999999999	0.5255
GCOL5268-16	Insecta	Coleoptera	Tetratomidae	unk	1	1	0.41190000000000004	0.2897
GCOL589-16	Insecta	Coleoptera	Chrysomelidae	unk	1	1	0.6033	0.4717
GCOL2604-16	Insecta	Coleoptera	Chrysomelidae	Galerucinae	1	1	0.8813	0.8522000000000001
GBCOU2781-13	Insecta	Coleoptera	Tetratomidae	unk	1	1	0.9628	0.7933999999999999
GBCOU2367-13	Insecta	Coleoptera	unk	unk	1	1	0.5126000000000001	0.5126000000000001
FBCOF748-12	Insecta	Coleoptera	unk	unk	1	1	0.9472	0.9472
GCOL8075-16	Insecta	Coleoptera	unk	unk	1	1	0.6345	0.6345
FBCOB807-10	Insecta	Coleoptera	Cerambycidae	Lepturinae	1	1	0.6698	0.5607000000000001
FBCOF1085-12	Insecta	Coleoptera	Anthicidae	unk	1	1	0.72	0.5788000000000001
FBCOJ001-12	Insecta	Coleoptera	Tetratomidae	unk	1	1	0.6001	0.4257
GBCOG407-13	Insecta	Coleoptera	Chrysomelidae	Galerucinae	1	1	0.9837	0.9774999999999999
GCOL8236-16	Insecta	Coleoptera	Hydraenidae	unk	1	1	0.9089	0.7069
GCOL2428-16	Insecta	Coleoptera	Chrysomelidae	Galerucinae	1	1	1	0.9937
GCOL2426-16	Insecta	Coleoptera	Chrysomelidae	unk	1	1	0.6023	0.5737000000000001
FBCOB614-10	Insecta	Coleoptera	Nitidulidae	unk	1	1	0.9709	0.8502000000000001
FBCON684-13	Insecta	Coleoptera	unk	unk	1	0.9994	0.8286000000000001	0.8286000000000001
FBCOG491-12	Insecta	Coleoptera	Erotylidae	unk	1	1	0.8892	0.6933999999999999
GCOL8259-16	Insecta	Coleoptera	Cleridae	unk	1	1	0.9057000000000001	0.6561
FBCOG996-12	Insecta	Coleoptera	Staphylinidae	unk	1	1	0.5423	0.4393000000000001
GCOL5479-16	Insecta	Coleoptera	unk	unk	1	1	0.6357	0.6357
GCOL2649-16	Insecta	Coleoptera	Chrysomelidae	Galerucinae	1	1	0.28590000000000004	0.2841
GBCOU852-13	Insecta	Coleoptera	Tetratomidae	unk	1	1	1	0.8031
FBCOO394-13	Insecta	Coleoptera	unk	unk	1	1	0.28990000000000005	0.28990000000000005
GCOL13199-16	Insecta	Coleoptera	Staphylinidae	unk	1	1	0.6133	0.5068
GBCOU703-13	Insecta	Coleoptera	unk	unk	1	1	0.9372	0.9372
FBCOI476-12	Insecta	Coleoptera	Staphylinidae	unk	1	1	0.987	0.6112
FBCON028-13	Insecta	Coleoptera	unk	unk	1	1	0.8655	0.8655
GBCOU1431-13	Insecta	Coleoptera	Nitidulidae	unk	1	1	1	0.9632999999999999
GCOL2541-16	Insecta	Coleoptera	Chrysomelidae	Galerucinae	1	1	0.9737	0.9676
GCOL2420-16	Insecta	Coleoptera	Chrysomelidae	Galerucinae	1	1	0.6869	0.6826
GCOL7514-16	Insecta	Coleoptera	Hydraenidae	unk	1	1	0.381	0.311
FBCOB781-10	Insecta	Coleoptera	Nitidulidae	unk	1	1	1	0.5
GCOL2525-16	Insecta	Coleoptera	Chrysomelidae	Galerucinae	1	1	0.8659000000000001	0.8604
FBCOH626-12	Insecta	Coleoptera	unk	unk	1	1	0.3604	0.3604
FBCOB791-10	Insecta	Coleoptera	Hydraenidae	unk	1	1	0.381	0.311
FBCOG1328-12	Insecta	Coleoptera	Nitidulidae	Meligethinae	1	1	1	0.9986
FBCOK022-13	Insecta	Coleoptera	Nitidulidae	Meligethinae	1	1	1	0.9986
GBCOU2844-13	Insecta	Coleoptera	unk	unk	1	1	0.734	0.734
GBCOG724-13	Insecta	Coleoptera	Heteroceridae	Heterocerinae	1	1	0.5771000000000001	0.5771000000000001
GCOL2531-16	Insecta	Coleoptera	Chrysomelidae	unk	1	1	1	0.9181
GCOL2666-16	Insecta	Coleoptera	Hydraenidae	unk	1	1	0.9496000000000001	0.6309
FBCOA229-10	Insecta	Coleoptera	Nitidulidae	unk	1	1	0.9621999999999999	0.8163
GCOL2586-16	Insecta	Coleoptera	unk	unk	1	1	0.3604	0.3604
FBCOD763-11	Insecta	Coleoptera	Erotylidae	unk	1	1	0.8021	0.616
GBCOU1925-13	Insecta	Coleoptera	Nitidulidae	unk	1	1	0.7398	0.3699
GBCOG451-13	Insecta	Coleoptera	Chrysomelidae	Galerucinae	1	1	0.8148000000000001	0.7993999999999999
GCOL9106-16	Insecta	Coleoptera	Chrysomelidae	unk	1	1	0.9272	0.7798
GMGMA151-14	Insecta	Coleoptera	unk	unk	1	1	0.923	0.923
FBCOK516-13	Insecta	Coleoptera	Staphylinidae	unk	1	0.9994999999999999	0.5808	0.5757000000000001
GBCOU2974-13	Insecta	Coleoptera	unk	unk	1	1	0.9962	0.9962
FBCOC854-10	Insecta	Coleoptera	Chrysomelidae	Galerucinae	1	1	0.6869	0.6826
FBCON723-13	Insecta	Coleoptera	Ptinidae	unk	1	1	0.8220000000000001	0.8220000000000001
GCOL2610-16	Insecta	Coleoptera	Erotylidae	unk	1	1	0.7091999999999999	0.5647000000000001
GCOL7484-16	Insecta	Coleoptera	Tenebrionidae	unk	1	1	0.9218000000000001	0.8817
GBCOF760-13	Insecta	Coleoptera	Leiodidae	unk	1	1	1	0.9464
FBCOF010-12	Insecta	Coleoptera	unk	unk	1	1	0.9011	0.9011
FBCOK085-13	Insecta	Coleoptera	Staphylinidae	unk	1	1	0.9334	0.7833999999999999
GBCOU1138-13	Insecta	Coleoptera	Chrysomelidae	unk	1	1	0.5841999999999999	0.4557
FBCOP200-13	Insecta	Coleoptera	Elateridae	unk	1	1	0.7779	0.40740000000000004
FBCON774-13	Insecta	Coleoptera	Chrysomelidae	unk	1	1	0.9068	0.7301
GCOL3157-16	Insecta	Coleoptera	unk	unk	1	1	0.5972999999999999	0.5972999999999999
GBCOB793-12	Insecta	Coleoptera	unk	unk	1	1	0.47880000000000006	0.47880000000000006
GCOL517-16	Insecta	Coleoptera	unk	unk	1	1	0.7631	0.7631
FBCOI615-12	Insecta	Coleoptera	unk	unk	1	1	0.6459	0.6459
GCOL10558-16	Insecta	Coleoptera	Oedemeridae	Oedemerinae	1	1	1	0.6077
FBCOH845-12	Insecta	Coleoptera	Leiodidae	unk	1	1	1	0.8485
GBCOU2198-13	Insecta	Coleoptera	Oedemeridae	Oedemerinae	1	1	1	0.6548
GBCOU1665-13	Insecta	Coleoptera	unk	unk	1	1	0.6238	0.6238
FBCOK007-13	Insecta	Coleoptera	unk	unk	1	1	0.996	0.996
GCOL6591-16	Insecta	Coleoptera	unk	unk	1	1	0.7421	0.7421
GCOL4565-16	Insecta	Coleoptera	Cerambycidae	unk	1	1	0.6186	0.5682
FBCOA283-10	Insecta	Coleoptera	Attelabidae	Rhynchitinae	1	1	0.6677	0.6677
FBCOB551-10	Insecta	Coleoptera	Zopheridae	Colydiinae	1	1	0.9981	0.9981
GBCOU602-13	Insecta	Coleoptera	Tenebrionidae	unk	1	1	0.9218000000000001	0.8817
FBCOC407-10	Insecta	Coleoptera	unk	unk	1	1	0.4475	0.4475
GCOL2600-16	Insecta	Coleoptera	Tetratomidae	unk	1	1	0.47880000000000006	0.3089
GCOL6353-16	Insecta	Coleoptera	Cerambycidae	Lepturinae	1	1	0.9664999999999999	0.896
FBCOA856-10	Insecta	Coleoptera	Staphylinidae	Proteininae	1	1	0.8773000000000001	0.48250000000000004
GCOL7113-16	Insecta	Coleoptera	Chrysomelidae	unk	1	1	0.6838	0.6315
GCOL8097-16	Insecta	Coleoptera	unk	unk	1	1	0.5055	0.5055
FBCOO924-13	Insecta	Coleoptera	Cryptophagidae	Atomariinae	1	1	1	0.9993
FBCOO746-13	Insecta	Coleoptera	Staphylinidae	unk	1	1	1	0.8253
FBCOK053-13	Insecta	Coleoptera	Erotylidae	unk	1	1	0.8393	0.5986
GCOL11501-16	Insecta	Coleoptera	Cryptophagidae	Cryptophaginae	1	1	1	0.6487
GBCOG435-13	Insecta	Coleoptera	Curculionidae	unk	1	1	0.8583000000000001	0.7757000000000001
FBCOO748-13	Insecta	Coleoptera	Curculionidae	Entiminae	1	1	1	0.9942
FBCON379-13	Insecta	Coleoptera	unk	unk	1	1	0.4565	0.4565
GCOL7059-16	Insecta	Coleoptera	Tetratomidae	unk	1	1	1	0.7737
GBCOD331-13	Insecta	Coleoptera	Chrysomelidae	Galerucinae	1	1	1	0.6465
FBCOB448-10	Insecta	Coleoptera	Chrysomelidae	unk	1	1	0.6729999999999999	0.43200000000000005
GCOL12995-16	Insecta	Coleoptera	Monotomidae	Monotominae	1	1	1	0.9417000000000001
GBCOE945-13	Insecta	Coleoptera	Ptinidae	unk	1	1	1	0.8478000000000001
FBCON489-13	Insecta	Coleoptera	Monotomidae	unk	1	1	0.8273	0.7062999999999999
FBCON353-13	Insecta	Coleoptera	Chrysomelidae	Galerucinae	1	1	1	0.9937
GCOL6128-16	Insecta	Coleoptera	Melyridae	Malachiinae	1	1	0.9633999999999999	0.9295
FBCOK017-13	Insecta	Coleoptera	Curculionidae	unk	1	1	0.8583000000000001	0.7757000000000001
GBCOD128-13	Insecta	Coleoptera	Chrysomelidae	unk	1	1	0.9277000000000001	0.7468
BSOIL273-18	Insecta	Ephemeroptera	unk	unk	1	1	0.601	0.601
GBCOU1890-13	Insecta	Coleoptera	Staphylinidae	unk	1	1	1	0.9255
FBCOF1019-12	Insecta	Coleoptera	Mordellidae	Mordellinae	1	1	0.506	0.506
GBCOU2189-13	Insecta	Coleoptera	Elateridae	unk	1	1	1	0.6669999999999999
GCOL2721-16	Insecta	Coleoptera	unk	unk	1	1	0.6071	0.6071
FBCOH563-12	Insecta	Coleoptera	Chrysomelidae	unk	1	1	0.5938	0.5135
GBCOE059-13	Insecta	Coleoptera	Chrysomelidae	unk	1	1	0.6766	0.5773
GBCOD803-13	Insecta	Coleoptera	Mordellidae	Mordellinae	1	1	0.506	0.506
GCOL7055-16	Insecta	Coleoptera	Brentidae	Apioninae	1	1	1	0.9984999999999999
GCOL2638-16	Insecta	Coleoptera	unk	unk	1	1	0.3604	0.3604
FBCOQ113-13	Insecta	Coleoptera	unk	unk	1	1	0.6202	0.6202
GBCOU1303-13	Insecta	Coleoptera	Chrysomelidae	Chrysomelinae	1	1	1	0.9983
GBCOU2025-13	Insecta	Coleoptera	Brentidae	Apioninae	1	1	1	0.9984999999999999
MYFAB622-16	Insecta	Diptera	Asilidae	Stichopogoninae	1	0.9509000000000001	0.9509000000000001	0.7442
GBCOC551-12	Insecta	Coleoptera	Lucanidae	unk	1	1	0.7906	0.7638
GCOL2651-16	Insecta	Coleoptera	Chrysomelidae	unk	1	1	0.8874	0.7758
FBCOP647-13	Insecta	Coleoptera	Chrysomelidae	Galerucinae	1	1	0.9579000000000001	0.9518000000000001
FBCOH564-12	Insecta	Coleoptera	Chrysomelidae	unk	1	1	0.6275	0.5327000000000001
FBCON345-13	Insecta	Coleoptera	Curculionidae	unk	1	1	0.8652000000000001	0.7836
GBCOU236-13	Insecta	Coleoptera	Chrysomelidae	unk	1	1	0.9638	0.9636
GCOL9035-16	Insecta	Coleoptera	Chrysomelidae	Chrysomelinae	1	1	0.89	0.8853
FBCON625-13	Insecta	Coleoptera	Chrysomelidae	unk	1	1	0.6679999999999999	0.42650000000000005
GBCOE034-13	Insecta	Coleoptera	Chrysomelidae	Galerucinae	1	1	1	0.6558
GCOL10409-16	Insecta	Coleoptera	Tenebrionidae	unk	1	1	0.8276000000000001	0.6289
FBCOC667-10	Insecta	Coleoptera	Cryptophagidae	Cryptophaginae	1	1	1	0.7832999999999999
FBCOJ578-12	Insecta	Coleoptera	unk	unk	1	0.9994	0.6425	0.6425
FBCOG588-12	Insecta	Coleoptera	Alexiidae	dummy_Alexiidae	1	1	0.9878	0.9878
FBCOG589-12	Insecta	Coleoptera	Alexiidae	dummy_Alexiidae	1	1	0.9878	0.9878
GBCOU2371-13	Insecta	Coleoptera	unk	unk	1	1	0.9393	0.9393
FBCOP025-13	Insecta	Coleoptera	Silvanidae	unk	1	1	0.5902	0.4302
FBCOA744-10	Insecta	Coleoptera	Staphylinidae	Aleocharinae	1	1	0.9601999999999999	0.9287000000000001
GBCOU1625-13	Insecta	Coleoptera	unk	unk	1	1	0.6238	0.6238
FBCOD913-11	Insecta	Coleoptera	Ciidae	Ciinae	1	1	0.6306	0.6306
GCOL10140-16	Insecta	Coleoptera	Chrysomelidae	unk	1	1	0.9891	0.8546000000000001
FBCOO115-13	Insecta	Coleoptera	Elateridae	unk	1	1	0.8751000000000001	0.4551
GBCOU1033-13	Insecta	Coleoptera	Chrysomelidae	unk	1	1	0.47600000000000003	0.43950000000000006
FBCOF959-12	Insecta	Coleoptera	Anthicidae	Anthicinae	1	1	1	0.521
GBCOU2234-13	Insecta	Coleoptera	Cerambycidae	Lepturinae	1	1	0.9664999999999999	0.896
GBCOU1902-13	Insecta	Coleoptera	Lycidae	unk	1	1	0.9311	0.9101
GBCOF409-13	Insecta	Coleoptera	unk	unk	1	1	0.4408	0.4408
FBCOA373-10	Insecta	Coleoptera	Ciidae	Ciinae	1	1	0.7184999999999999	0.7184999999999999
GCOL6148-16	Insecta	Coleoptera	Scraptiidae	Anaspidinae	1	1	0.9679	0.9679
GBCOF336-13	Insecta	Coleoptera	Anthicidae	unk	1	1	0.5	0.4467
GBCOU1974-13	Insecta	Coleoptera	unk	unk	1	0.9994999999999999	0.6029	0.6029
GBCOC573-12	Insecta	Coleoptera	Chrysomelidae	Bruchinae	1	1	1	0.8266000000000001
GCOL15852-21	Insecta	Coleoptera	Chrysomelidae	Galerucinae	1	1	1	0.9663999999999999
FBCOQ223-13	Insecta	Coleoptera	Chrysomelidae	Galerucinae	1	1	1	0.9937
FBCOP543-13	Insecta	Coleoptera	Chrysomelidae	Galerucinae	1	1	1	0.9937
FBCOD1173-11	Insecta	Coleoptera	Chrysomelidae	Galerucinae	1	1	1	0.9937
GCOL7962-16	Insecta	Coleoptera	Chrysomelidae	Chrysomelinae	1	1	1	0.9983
FBCOO406-13	Insecta	Coleoptera	Chrysomelidae	Galerucinae	1	1	1	0.6555
GBCOU1444-13	Insecta	Coleoptera	Chrysomelidae	unk	1	1	1	0.9997
FBCOE448-12	Insecta	Coleoptera	Chrysomelidae	Cassidinae	1	1	1	0.9994999999999999
FBCOC683-10	Insecta	Coleoptera	Curculionidae	Ceutorhynchinae	1	1	1	0.7169
GCOL13261-16	Insecta	Coleoptera	Erotylidae	unk	1	1	0.9784999999999999	0.6162
GCOL12166-16	Insecta	Coleoptera	Staphylinidae	unk	1	1	0.7486	0.43990000000000007
GBCOU3547-13	Insecta	Coleoptera	Silvanidae	unk	1	1	0.7857	0.6264
GCOL3000-16	Insecta	Coleoptera	Staphylinidae	Oxytelinae	1	1	1	0.9268000000000001
FBCOO805-13	Insecta	Coleoptera	Bostrichidae	unk	1	1	0.6355	0.5452
GBCOU715-13	Insecta	Coleoptera	Chrysomelidae	Cryptocephalinae	1	1	1	0.9821
GBCOU1659-13	Insecta	Coleoptera	Chrysomelidae	unk	1	1	0.9607	0.653
GBCOU3142-13	Insecta	Coleoptera	Chrysomelidae	unk	1	1	0.6523	0.4762
GBCOL338-12	Insecta	Coleoptera	Chrysomelidae	unk	1	1	0.6739999999999999	0.6739999999999999
BISCE065-17	Insecta	Diptera	Asilidae	Stichopogoninae	1	0.5749000000000001	0.5607000000000001	0.321
FBCOQ137-13	Insecta	Coleoptera	Melyridae	Malachiinae	1	1	0.9677	0.9398000000000001
GCOL7591-16	Insecta	Coleoptera	Staphylinidae	Oxytelinae	1	1	0.9811	0.9004
FBCOJ002-12	Insecta	Coleoptera	Chrysomelidae	unk	1	1	0.5204	0.4721
FBCOP649-13	Insecta	Coleoptera	Chrysomelidae	Galerucinae	1	1	0.9579000000000001	0.9518000000000001
GBCOU2610-13	Insecta	Coleoptera	Melyridae	Dasytinae	1	1	1	0.9078
GMGMK1514-14	Insecta	Coleoptera	Melyridae	Malachiinae	1	1	0.972	0.899
FBCOG313-12	Insecta	Coleoptera	Melyridae	Malachiinae	1	1	1	0.9126000000000001
FBCOP050-13	Insecta	Coleoptera	Melyridae	unk	1	1	0.9921	0.5649000000000001
GCOL6733-16	Insecta	Coleoptera	Melyridae	Malachiinae	1	1	1	0.9354
GBCOG243-13	Insecta	Coleoptera	Melyridae	Malachiinae	1	1	0.9647	0.9354
FBCOE464-12	Insecta	Coleoptera	Melyridae	unk	1	1	0.9923	0.5582
