ID	class	order	family	subfamily	tribe	Prob_class	Prob_order	Prob_family	Prob_subfamily	Prob_tribe
FBCOB152-10	Insecta	Coleoptera	Tetratomidae	unk	unk	1	1	0.9873	0.6479	0.6479
FBCOD1189-11	Insecta	Coleoptera	Chrysomelidae	Chrysomelinae	dummy_Chrysomelinae	1	1	0.8162	0.5185	0.5185
GCOL7591-16	Insecta	Coleoptera	Staphylinidae	Oxytelinae	unk	1	1	1	1	0.7908
GCOL2571-16	Insecta	Coleoptera	unk	unk	unk	1	1	0.605	0.605	0.605
FBCOE1154-12	Insecta	Coleoptera	Phalacridae	Phalacrinae	dummy_Phalacrinae	1	1	0.4484	0.4484	0.4484
FBCOI615-12	Insecta	Coleoptera	unk	unk	unk	1	1	0.48230000000000006	0.48230000000000006	0.48230000000000006
GBCOU1665-13	Insecta	Coleoptera	unk	unk	unk	1	1	0.4938	0.4938	0.4938
FBCOC290-10	Insecta	Coleoptera	Cerambycidae	Lepturinae	unk	1	1	1	1	0.7313
GCOL517-16	Insecta	Coleoptera	unk	unk	unk	1	1	0.5068	0.5068	0.5068
FBCOB411-10	Insecta	Coleoptera	Corylophidae	Corylophinae	Orthoperini	1	1	1	1	0.7789
GCOL2091-16	Insecta	Coleoptera	Silvanidae	Brontinae	unk	1	1	0.9999	0.9395	0.7017
FBCOO746-13	Insecta	Coleoptera	Staphylinidae	unk	unk	1	1	0.8737000000000001	0.3675	0.3675
GCOL9035-16	Insecta	Coleoptera	Chrysomelidae	Chrysomelinae	dummy_Chrysomelinae	1	1	1	0.7572	0.7572
FBCON247-13	Insecta	Coleoptera	Chrysomelidae	Chrysomelinae	dummy_Chrysomelinae	1	1	1	0.7997	0.7997
GBCOU764-13	Insecta	Coleoptera	Chrysomelidae	Chrysomelinae	dummy_Chrysomelinae	1	1	1	0.9699	0.9699
GCOL2627-16	Insecta	Coleoptera	Silvanidae	unk	unk	1	1	1	0.7433	0.7433
FBCOJ302-12	Insecta	Coleoptera	Chrysomelidae	Chrysomelinae	dummy_Chrysomelinae	1	1	1	0.9727	0.9727
GBCOU1303-13	Insecta	Coleoptera	Silvanidae	Brontinae	unk	1	1	0.7849999999999999	0.7849999999999999	0.6069
FBCOB391-10	Insecta	Coleoptera	unk	unk	unk	1	1	0.6227	0.6227	0.6227
BSOIL273-18	Insecta	Diptera	Bombyliidae	Anthracinae	unk	1	0.8316000000000001	0.8316000000000001	0.5656000000000001	0.5494
FBCOQ011-13	Insecta	Coleoptera	unk	unk	unk	1	1	0.6207	0.6207	0.6207
GBCOB821-12	Insecta	Coleoptera	Silvanidae	Silvaninae	dummy_Silvaninae	1	1	1	0.7739	0.7739
FBCOD1069-11	Insecta	Coleoptera	Chrysomelidae	Chrysomelinae	dummy_Chrysomelinae	1	1	1	0.9989	0.9989
GCOL1762-16	Insecta	Coleoptera	Chrysomelidae	Chrysomelinae	dummy_Chrysomelinae	1	1	1	0.9727	0.9727
GBCOB793-12	Insecta	Coleoptera	Cerambycidae	Lamiinae	unk	1	1	0.5353	0.5241	0.4732
GBCOE059-13	Insecta	Coleoptera	Curculionidae	unk	unk	1	1	0.3703	0.226	0.226
FBCOJ359-12	Insecta	Coleoptera	Coccinellidae	Coccinellinae	Epilachnini	1	1	1	1	0.9994
GBCOU2958-13	Insecta	Coleoptera	Latridiidae	unk	unk	1	1	1	0.4999	0.4999
GBCOF717-13	Insecta	Coleoptera	Latridiidae	Latridiinae	dummy_Latridiinae	1	1	1	0.9986	0.9986
FBCOE339-12	Insecta	Coleoptera	Latridiidae	Latridiinae	dummy_Latridiinae	1	1	1	0.5668000000000001	0.5668000000000001
FBCOC407-10	Insecta	Coleoptera	Melandryidae	Melandryinae	unk	1	1	0.3413	0.3413	0.3413
FBCOG1299-12	Insecta	Coleoptera	Melyridae	Malachiinae	Malachiini	1	1	1	0.8565	0.8565
FBCOA856-10	Insecta	Coleoptera	unk	unk	unk	1	1	0.5746000000000001	0.5746000000000001	0.5746000000000001
FBCOP050-13	Insecta	Coleoptera	Melyridae	Malachiinae	Malachiini	1	1	1	0.8446000000000001	0.8446000000000001
GCOL3822-16	Insecta	Coleoptera	Tenebrionidae	Tenebrioninae	unk	1	1	1	1	0.6459
FBCOO115-13	Insecta	Coleoptera	Cerambycidae	Cerambycinae	unk	1	1	0.8406000000000001	0.8406000000000001	0.7948
FBCOP200-13	Insecta	Coleoptera	Cerambycidae	Cerambycinae	unk	1	1	0.7669	0.7669	0.7037
GBCOU536-13	Insecta	Coleoptera	Cerambycidae	Cerambycinae	unk	1	1	1	0.9999	0.6022
GCOL10409-16	Insecta	Coleoptera	Cerambycidae	Cerambycinae	unk	1	1	0.4999	0.4999	0.4736
FBCOP849-13	Insecta	Coleoptera	Ptinidae	unk	unk	1	1	1	0.5710000000000001	0.5710000000000001
GCOL18446-21	Insecta	Coleoptera	Ripiphoridae	unk	unk	1	1	0.7523	0.7287	0.7287
FBCON502-13	Insecta	Coleoptera	unk	unk	unk	1	1	0.3257	0.3257	0.3257
FBCOC375-10	Insecta	Coleoptera	Cerambycidae	Cerambycinae	unk	1	1	1	1	0.9961
GBCOU558-13	Insecta	Coleoptera	Cerambycidae	Cerambycinae	unk	1	1	1	0.9998	0.5789000000000001
FBCOK730-13	Insecta	Coleoptera	Chrysomelidae	Galerucinae	unk	1	1	1	0.9997	0.46140000000000003
FBCOD693-11	Insecta	Coleoptera	unk	unk	unk	1	1	0.7701	0.7701	0.7701
GBCOU948-13	Insecta	Coleoptera	Scarabaeidae	Melolonthinae	unk	1	1	0.44730000000000003	0.44730000000000003	0.35069999999999996
GBCOU2845-13	Insecta	Coleoptera	unk	unk	unk	1	1	0.8374	0.8374	0.8374
GCOL2596-16	Insecta	Coleoptera	unk	unk	unk	1	1	0.7171	0.7171	0.7171
GCOL5268-16	Insecta	Coleoptera	Chrysomelidae	Galerucinae	unk	1	1	0.7048	0.7048	0.3769
FBCOJ607-12	Insecta	Coleoptera	unk	unk	unk	1	1	0.4722	0.4722	0.4722
GBCOU2932-13	Insecta	Coleoptera	Cerambycidae	Lepturinae	Rhaginii	1	1	1	1	0.9994999999999999
GCOL621-16	Insecta	Coleoptera	unk	unk	unk	1	1	0.6339	0.6339	0.6339
FBCOK731-13	Insecta	Coleoptera	Chrysomelidae	Galerucinae	unk	1	1	1	0.9997	0.4611
GBCOU1033-13	Insecta	Coleoptera	Cerambycidae	Lepturinae	unk	1	1	1	0.9923	0.5616000000000001
GBCOU2618-13	Insecta	Coleoptera	Scraptiidae	Anaspidinae	Anaspidini	1	1	0.7229	0.7229	0.7229
FBCOF010-12	Insecta	Coleoptera	Silvanidae	Brontinae	unk	1	1	0.7311	0.4625	0.3976
FBCOQ135-13	Insecta	Coleoptera	Melyridae	Malachiinae	Malachiini	1	1	0.9826	0.5263	0.5263
GCOL15852-21	Insecta	Coleoptera	Ripiphoridae	unk	unk	1	1	0.42940000000000006	0.3965	0.3965
GCOL589-16	Insecta	Coleoptera	Cerambycidae	Lamiinae	unk	1	1	1	1	0.9355
GCOL4346-16	Insecta	Coleoptera	Cerambycidae	Lamiinae	unk	1	1	1	1	0.7647
GBCOU1138-13	Insecta	Coleoptera	Cerambycidae	Lamiinae	unk	1	1	1	1	0.9352
GCOL2428-16	Insecta	Coleoptera	Chrysomelidae	Galerucinae	unk	1	1	0.5595	0.5595	0.368
GBCOU2844-13	Insecta	Coleoptera	unk	unk	unk	1	1	0.8374	0.8374	0.8374
GBCOF336-13	Insecta	Coleoptera	Histeridae	Dendrophilinae	unk	1	1	0.5683	0.5165	0.3663
FBCOF199-12	Insecta	Coleoptera	Chrysomelidae	Chrysomelinae	dummy_Chrysomelinae	1	1	1	0.6783999999999999	0.6783999999999999
GBCOG243-13	Insecta	Coleoptera	Melyridae	Malachiinae	Malachiini	1	1	0.9826	0.5263	0.5263
GBCOC551-12	Insecta	Coleoptera	Lucanidae	unk	unk	1	1	0.4437	0.43400000000000005	0.43400000000000005
GBCOU852-13	Insecta	Coleoptera	Cerambycidae	Lepturinae	unk	1	1	0.8467000000000001	0.5675	0.5675
GCOL6613-16	Insecta	Coleoptera	Scraptiidae	Anaspidinae	Anaspidini	1	1	0.9994	0.9994	0.9994
GCOL8075-16	Insecta	Coleoptera	Staphylinidae	Omaliinae	Omaliini	1	1	1	1	0.9952
GCOL2589-16	Insecta	Coleoptera	Chrysomelidae	Galerucinae	unk	1	1	0.9415	0.9415	0.5276000000000001
GBCOU2367-13	Insecta	Coleoptera	Nitidulidae	unk	unk	1	1	0.7281	0.6916	0.6916
GCOL10184-16	Insecta	Coleoptera	Oedemeridae	Oedemerinae	Ditylini	1	1	0.9207000000000001	0.9207000000000001	0.4857
FBCOA229-10	Insecta	Coleoptera	unk	unk	unk	1	1	0.39440000000000003	0.39440000000000003	0.39440000000000003
GBCOU703-13	Insecta	Coleoptera	Nitidulidae	unk	unk	1	1	0.9234	0.8093	0.8093
FBCOG1069-12	Insecta	Coleoptera	Staphylinidae	Omaliinae	unk	1	1	1	0.7382	0.7382
FBCOG996-12	Insecta	Coleoptera	Staphylinidae	Omaliinae	Omaliini	1	1	0.9678	0.9182	0.8517000000000001
GCOL3000-16	Insecta	Coleoptera	Staphylinidae	Oxytelinae	unk	1	1	0.8721000000000001	0.8721000000000001	0.43670000000000003
GCOL2649-16	Insecta	Coleoptera	unk	unk	unk	1	1	0.9954999999999999	0.9954999999999999	0.9954999999999999
GCOL2651-16	Insecta	Coleoptera	Chrysomelidae	Galerucinae	unk	1	1	0.6207	0.6201	0.4002
FBCOA867-10	Insecta	Coleoptera	unk	unk	unk	1	1	0.6959	0.6959	0.6959
GCOL2610-16	Insecta	Coleoptera	unk	unk	unk	1	1	0.5204	0.5204	0.5204
GCOL5479-16	Insecta	Coleoptera	unk	unk	unk	1	1	0.8578000000000001	0.8578000000000001	0.8578000000000001
GBCOU1849-13	Insecta	Coleoptera	Tenebrionidae	Tenebrioninae	unk	1	1	0.8758000000000001	0.7387	0.5912999999999999
FBCOJ001-12	Insecta	Coleoptera	unk	unk	unk	1	1	0.5842999999999999	0.5842999999999999	0.5842999999999999
FBCOB149-10	Insecta	Coleoptera	Tenebrionidae	Tenebrioninae	unk	1	1	1	1	0.6459
GCOL1124-16	Insecta	Coleoptera	Tenebrionidae	unk	unk	1	1	1	0.7679	0.7679
GCOL7484-16	Insecta	Coleoptera	Tenebrionidae	Tenebrioninae	unk	1	1	1	1	0.7827
GCOL6056-16	Insecta	Coleoptera	Tenebrionidae	unk	unk	1	1	1	0.6906	0.6906
FBCOB524-10	Insecta	Coleoptera	Tenebrionidae	Diaperinae	unk	1	1	1	0.594	0.4041
GBCOU1650-13	Insecta	Coleoptera	unk	unk	unk	1	1	0.5716000000000001	0.5716000000000001	0.5716000000000001
FBCON070-13	Insecta	Coleoptera	Tenebrionidae	unk	unk	1	1	1	0.5365	0.5365
FBCOI459-12	Insecta	Coleoptera	Tenebrionidae	Tenebrioninae	unk	1	1	1	0.9535	0.7831999999999999
GBCOU602-13	Insecta	Coleoptera	Tenebrionidae	Tenebrioninae	unk	1	1	1	1	0.7827
GCOL4154-16	Insecta	Coleoptera	Tenebrionidae	Tenebrioninae	unk	1	1	1	1	0.8489000000000001
FBCOD922-11	Insecta	Coleoptera	Ciidae	Ciinae	dummy_Ciinae	1	1	0.5153	0.5153	0.5153
GBCOU2717-13	Insecta	Coleoptera	Tenebrionidae	Tenebrioninae	unk	1	1	1	0.9801	0.9402
FBCOJ002-12	Insecta	Coleoptera	Tenebrionidae	Diaperinae	unk	1	1	0.7969999999999999	0.7969999999999999	0.4976
GBCOU1872-13	Insecta	Coleoptera	Histeridae	unk	unk	1	1	0.9761	0.5386000000000001	0.5386000000000001
FBCOD1231-11	Insecta	Coleoptera	Tenebrionidae	Tenebrioninae	unk	1	1	1	0.5104	0.4615
GCOL7725-16	Insecta	Coleoptera	Tenebrionidae	Diaperinae	unk	1	1	1	0.9589000000000001	0.711
FBCOE871-12	Insecta	Coleoptera	Nitidulidae	unk	unk	1	1	0.7244999999999999	0.6111	0.6111
FBCOB781-10	Insecta	Coleoptera	Nitidulidae	unk	unk	1	1	1	0.5	0.5
GCOL8573-16	Insecta	Coleoptera	unk	unk	unk	1	1	0.6941999999999999	0.6941999999999999	0.6941999999999999
GBCOU1374-13	Insecta	Coleoptera	Cantharidae	Cantharinae	Cantharini	1	1	1	1	0.9981
FBCOF459-12	Insecta	Coleoptera	Cantharidae	Cantharinae	Cantharini	1	1	1	1	0.925
FBCOG924-12	Insecta	Coleoptera	Histeridae	Abraeinae	unk	1	1	1	0.9991	0.7734
GBCOU1890-13	Insecta	Coleoptera	Staphylinidae	Oxytelinae	unk	1	1	0.9781	0.8408000000000001	0.8336000000000001
GCOL10547-16	Insecta	Coleoptera	Cantharidae	Malthininae	Malthodini	1	1	1	1	0.9991
GCOL8097-16	Insecta	Coleoptera	Attelabidae	Rhynchitinae	unk	1	1	0.7413	0.7413	0.606
GCOL2895-16	Insecta	Coleoptera	Staphylinidae	unk	unk	1	1	0.7287	0.5315	0.5315
FBCOB882-10	Insecta	Coleoptera	Staphylinidae	Oxytelinae	Thinobiini	1	1	1	1	0.7876
GBCOU2234-13	Insecta	Coleoptera	Cerambycidae	Lepturinae	unk	1	1	1	1	0.47350000000000003
FBCON449-13	Insecta	Coleoptera	Staphylinidae	unk	unk	1	1	1	0.5023	0.5023
GBCOF475-13	Insecta	Coleoptera	Staphylinidae	Tachyporinae	unk	1	1	0.448	0.448	0.36769999999999997
GCOL2666-16	Insecta	Coleoptera	unk	unk	unk	1	1	0.4501	0.4501	0.4501
GCOL11498-16	Insecta	Coleoptera	Eucnemidae	Melasinae	Dirhagini	1	1	1	1	0.6999
FBCOC837-10	Insecta	Coleoptera	Eucnemidae	Melasinae	Epiphanini	1	1	1	1	0.6732999999999999
TBGMI045-21	Insecta	Neuroptera	Coniopterygidae	Coniopteryginae	unk	1	0.9131	0.7525	0.7525	0.7139
FBCOQ223-13	Insecta	Coleoptera	Chrysomelidae	Galerucinae	unk	1	1	1	0.9733999999999999	0.8258000000000001
TBGMI037-21	Insecta	Coleoptera	Lucanidae	unk	unk	1	1	0.8193	0.48710000000000003	0.48710000000000003
TBGMI040-21	Insecta	Coleoptera	Ptiliidae	Ptiliinae	unk	1	1	0.5568000000000001	0.5568000000000001	0.5362
FBCOH563-12	Insecta	Coleoptera	Staphylinidae	Scydmaeninae	unk	1	1	0.3605	0.33669999999999994	0.2358
FBCOO406-13	Insecta	Coleoptera	Chrysomelidae	Galerucinae	unk	1	1	1	0.699	0.6473
GMGMA151-14	Insecta	Coleoptera	Mordellidae	Mordellinae	unk	1	1	1	1	0.5056
GBCOE034-13	Insecta	Coleoptera	Chrysomelidae	Galerucinae	unk	1	1	1	0.7066	0.6511
GCOL5218-16	Insecta	Coleoptera	Chrysomelidae	Galerucinae	unk	1	1	1	1	0.7018
GBCOL338-12	Insecta	Coleoptera	Chrysomelidae	unk	unk	1	1	1	0.8555	0.8555
GCOL2721-16	Insecta	Coleoptera	Chrysomelidae	Galerucinae	unk	1	1	0.5669000000000001	0.5249	0.3771
GCOL2485-16	Insecta	Coleoptera	Chrysomelidae	Galerucinae	Alticini	1	1	1	0.9997	0.5156000000000001
FBCOB614-10	Insecta	Coleoptera	Nitidulidae	unk	unk	1	1	0.8535	0.8294	0.8294
FBCOK053-13	Insecta	Coleoptera	Chrysomelidae	Galerucinae	unk	1	1	0.9712	0.9711	0.6483
FBCON353-13	Insecta	Coleoptera	Chrysomelidae	Galerucinae	Alticini	1	1	0.9824999999999999	0.9822	0.5287000000000001
GBCOG593-13	Insecta	Coleoptera	Elateridae	unk	unk	1	1	1	0.8329000000000001	0.8329000000000001
FBCOC433-10	Insecta	Coleoptera	Elateridae	unk	unk	1	1	1	0.8329000000000001	0.8329000000000001
GBCOG724-13	Insecta	Coleoptera	Staphylinidae	Omaliinae	unk	1	1	0.9756	0.9756	0.7756000000000001
GBCOF409-13	Insecta	Coleoptera	Staphylinidae	Tachyporinae	unk	1	1	0.448	0.448	0.36769999999999997
ULMCA013-19	Insecta	Coleoptera	Nitidulidae	Carpophilinae	dummy_Carpophilinae	1	1	1	0.9994999999999999	0.9994999999999999
GBCOC820-12	Insecta	Coleoptera	Nitidulidae	unk	unk	1	1	1	0.8845	0.8845
GCOL12040-16	Insecta	Coleoptera	Ripiphoridae	unk	unk	1	1	0.9564	0.5788000000000001	0.5788000000000001
FBCOB791-10	Insecta	Coleoptera	Nitidulidae	unk	unk	1	1	1	0.5	0.5
GBCOC434-12	Insecta	Coleoptera	Nitidulidae	Meligethinae	dummy_Meligethinae	1	1	1	0.7634	0.7634
GCOL6778-16	Insecta	Coleoptera	Nitidulidae	Nitidulinae	dummy_Nitidulinae	1	1	1	0.7463	0.7463
GCOL13400-16	Insecta	Coleoptera	Nitidulidae	Meligethinae	dummy_Meligethinae	1	1	1	0.8716000000000002	0.8716000000000002
GBCOU1430-13	Insecta	Coleoptera	Nitidulidae	Nitidulinae	dummy_Nitidulinae	1	1	0.9504	0.6693999999999999	0.6693999999999999
GBCOU1925-13	Insecta	Coleoptera	unk	unk	unk	1	1	0.7686000000000001	0.7686000000000001	0.7686000000000001
FBCOG1056-12	Insecta	Coleoptera	Nitidulidae	Meligethinae	dummy_Meligethinae	1	1	1	0.6033	0.6033
GBMIN50089-17	Insecta	Coleoptera	Curculionidae	Bagoinae	dummy_Bagoinae	1	1	1	0.9994	0.9994
GCOL11830-16	Insecta	Coleoptera	Curculionidae	Lixinae	unk	1	1	1	0.9842	0.5216000000000001
FBCOQ237-13	Insecta	Coleoptera	Curculionidae	Lixinae	unk	1	1	1	0.9677	0.6395
GBCL11050-12	Insecta	Coleoptera	Curculionidae	unk	unk	1	1	1	0.9346000000000001	0.9346000000000001
GCOL3291-16	Insecta	Coleoptera	Curculionidae	Curculioninae	unk	1	1	1	0.9035	0.6668999999999999
FBCOA311-10	Insecta	Coleoptera	Curculionidae	Curculioninae	unk	1	1	1	0.43190000000000006	0.3454
