ID	class	order	family	subfamily	tribe	genus	Prob_class	Prob_order	Prob_family	Prob_subfamily	Prob_tribe	Prob_genus
SMNSA063-16	Arachnida	Araneae	Theridiidae	dummy_Theridiidae	dummy_Theridiidae	unk	1	1	1	1	1	0.7199
FBARB753-12	Arachnida	Araneae	Theridiidae	dummy_Theridiidae	dummy_Theridiidae	unk	1	1	1	1	1	1
SMNKA194-16	Arachnida	Araneae	unk	unk	unk	unk	1	1	0.7651	0.7651	0.7651	0.7651
SMNSA171-16	Arachnida	Araneae	Theridiidae	dummy_Theridiidae	dummy_Theridiidae	unk	1	1	1	1	1	0.8486000000000001
SMNKA310-16	Arachnida	Araneae	Dictynidae	dummy_Dictynidae	dummy_Dictynidae	unk	1	1	0.8638000000000001	0.8638000000000001	0.8638000000000001	0.47230000000000005
SMNKA073-16	Arachnida	Araneae	Dictynidae	dummy_Dictynidae	dummy_Dictynidae	unk	1	1	0.3696	0.3696	0.3696	0.33049999999999996
GBBSP796-15	Arachnida	Araneae	Dictynidae	dummy_Dictynidae	dummy_Dictynidae	unk	1	1	0.98	0.98	0.98	0.5881
SMNSA146-16	Arachnida	Araneae	Dictynidae	dummy_Dictynidae	dummy_Dictynidae	unk	1	1	0.7767000000000001	0.7767000000000001	0.7767000000000001	0.6879
GBBSP2099-16	Arachnida	Araneae	Hahniidae	dummy_Hahniidae	dummy_Hahniidae	unk	1	1	1	1	1	0.7216
SMNSA114-16	Arachnida	Araneae	Salticidae	dummy_Salticidae	dummy_Salticidae	Heliophanus	1	1	1	1	1	0.9992
GBBSP804-15	Arachnida	Araneae	Salticidae	dummy_Salticidae	dummy_Salticidae	unk	1	1	1	1	1	0.8033
SMNSA248-16	Arachnida	Araneae	Salticidae	dummy_Salticidae	dummy_Salticidae	unk	1	1	1	1	1	0.6325
GBBSP845-15	Arachnida	Araneae	Salticidae	dummy_Salticidae	dummy_Salticidae	unk	1	1	1	1	1	0.7859999999999999
FBARB611-12	Arachnida	Araneae	Dictynidae	dummy_Dictynidae	dummy_Dictynidae	unk	1	1	0.7898999999999999	0.7898999999999999	0.7898999999999999	0.7019
FBARB759-12	Arachnida	Araneae	Philodromidae	dummy_Philodromidae	dummy_Philodromidae	Tibellus	1	1	1	1	1	0.9638
SMNKA017-16	Arachnida	Araneae	Salticidae	dummy_Salticidae	dummy_Salticidae	unk	1	1	0.659	0.659	0.659	0.48160000000000003
GBBSP838-15	Arachnida	Araneae	Clubionidae	dummy_Clubionidae	dummy_Clubionidae	Clubiona	1	1	0.9996	0.9996	0.9996	0.9996
SMNSA261-16	Arachnida	Opiliones	Phalangiidae	Oligolophinae	dummy_Oligolophinae	unk	1	0.9999	0.9999	0.9999	0.9999	0.9165
SMNSA197-16	Arachnida	Opiliones	Phalangiidae	Oligolophinae	dummy_Oligolophinae	unk	1	0.9517000000000001	0.9517000000000001	0.9517000000000001	0.9517000000000001	0.8888
SMNSA179-16	Arachnida	Opiliones	Phalangiidae	Oligolophinae	dummy_Oligolophinae	unk	1	0.9564	0.9564	0.9564	0.9564	0.8881
MYFAB122-10	Arachnida	unk	unk	unk	unk	unk	1	0.5992999999999999	0.5992999999999999	0.5992999999999999	0.5992999999999999	0.5992999999999999
SMNSA168-16	Arachnida	Opiliones	Phalangiidae	Oligolophinae	dummy_Oligolophinae	unk	1	0.9564	0.9564	0.9564	0.9564	0.8881
SMNSA023-16	Arachnida	unk	unk	unk	unk	unk	1	0.8334	0.8334	0.8334	0.8334	0.8334
MYFAB073-10	Arachnida	unk	unk	unk	unk	unk	1	0.5597000000000001	0.5597000000000001	0.5597000000000001	0.5597000000000001	0.5597000000000001
GBBSP853-15	Arachnida	Opiliones	Phalangiidae	Oligolophinae	dummy_Oligolophinae	unk	1	0.9999	0.9999	0.9999	0.9999	0.9325
TBGMI125-21	Arachnida	Opiliones	Phalangiidae	Oligolophinae	dummy_Oligolophinae	unk	1	0.5678000000000001	0.5678000000000001	0.5678000000000001	0.5678000000000001	0.5678000000000001
TBGMI152-21	Arachnida	Sarcoptiformes	Chamobatidae	dummy_Chamobatidae	dummy_Chamobatidae	Chamobates	1	1	0.3739	0.3739	0.3739	0.3739
TBGMI172-21	Arachnida	Sarcoptiformes	unk	unk	unk	unk	1	1	0.7299	0.7299	0.7299	0.7299
TBGMI154-21	Arachnida	Sarcoptiformes	Suctobelbidae	dummy_Suctobelbidae	dummy_Suctobelbidae	unk	1	1	0.6053	0.6053	0.6053	0.4767
TBGMI163-21	Arachnida	Sarcoptiformes	unk	unk	unk	unk	1	1	0.7444	0.7444	0.7444	0.7444
TBGMI165-21	Arachnida	Sarcoptiformes	unk	unk	unk	unk	1	1	0.7321	0.7321	0.7321	0.7321
TBGMI157-21	Arachnida	Sarcoptiformes	unk	unk	unk	unk	1	1	0.9998	0.9998	0.9998	0.9998
TBGMI166-21	Arachnida	Sarcoptiformes	unk	unk	unk	unk	1	1	0.771	0.771	0.771	0.771
TBGMI176-21	Arachnida	Sarcoptiformes	Ceratozetidae	dummy_Ceratozetidae	dummy_Ceratozetidae	unk	1	1	1	1	1	0.7607
TBGMI156-21	Arachnida	Sarcoptiformes	unk	unk	unk	unk	1	1	0.5588000000000001	0.5588000000000001	0.5588000000000001	0.5588000000000001
TBGMI181-21	Arachnida	Sarcoptiformes	Liacaridae	dummy_Liacaridae	dummy_Liacaridae	unk	1	1	1	1	1	0.9746
MYFAB369-11	Arachnida	Araneae	unk	unk	unk	unk	1	0.5893999999999999	0.5893999999999999	0.5893999999999999	0.5893999999999999	0.5893999999999999
GMGMQ4172-18	Insecta	Psocodea	unk	unk	unk	unk	1	0.7683	0.5897	0.5897	0.5897	0.5897
GMGRH2003-13	Insecta	unk	unk	unk	unk	unk	1	0.8757000000000001	0.8757000000000001	0.8757000000000001	0.8757000000000001	0.8757000000000001
TBGMI021-21	Insecta	unk	unk	unk	unk	unk	1	0.8832	0.8832	0.8832	0.8832	0.8832
BNSB012-21	Arachnida	unk	unk	unk	unk	unk	1	0.8162	0.8162	0.8162	0.8162	0.8162
FBCOB152-10	Insecta	Coleoptera	Aderidae	dummy_Aderidae	dummy_Aderidae	unk	1	1	0.4051	0.4051	0.4051	0.33419999999999994
GCOL621-16	Insecta	Coleoptera	Melandryidae	Melandryinae	unk	unk	1	1	0.5306000000000001	0.5306000000000001	0.42690000000000006	0.42690000000000006
FBCOF748-12	Insecta	Coleoptera	Melandryidae	Melandryinae	unk	unk	1	1	0.6495	0.6495	0.3655	0.3655
GBCOD950-13	Insecta	Coleoptera	Melandryidae	Melandryinae	unk	unk	1	1	0.32930000000000004	0.32930000000000004	0.3264	0.3264
GCOL6591-16	Insecta	Coleoptera	Chrysomelidae	Chrysomelinae	dummy_Chrysomelinae	unk	1	1	1	0.9510000000000001	0.9510000000000001	0.4929
FBCON699-13	Insecta	Coleoptera	Aderidae	dummy_Aderidae	dummy_Aderidae	unk	1	1	0.4051	0.4051	0.4051	0.33419999999999994
FBCON489-13	Insecta	Coleoptera	unk	unk	unk	unk	1	1	0.6913999999999999	0.6913999999999999	0.6913999999999999	0.6913999999999999
GCOL8236-16	Insecta	Coleoptera	Hydraenidae	unk	unk	unk	1	1	0.9984999999999999	0.7773	0.7773	0.7773
FBCOH845-12	Insecta	Coleoptera	Leiodidae	Leiodinae	unk	unk	1	1	1	0.8655	0.8037000000000001	0.8037000000000001
GCOL8232-16	Insecta	Coleoptera	unk	unk	unk	unk	1	1	0.6555	0.6555	0.6555	0.6555
GBMNE16291-21	Insecta	Coleoptera	Cleridae	Korynetinae	dummy_Korynetinae	Necrobia	1	1	1	0.5103	0.5103	0.5103
FBCOO467-13	Insecta	Coleoptera	Tetratomidae	unk	unk	unk	1	1	0.896	0.5923999999999999	0.5923999999999999	0.5923999999999999
FBCOK085-13	Insecta	Coleoptera	Melandryidae	Melandryinae	Dircaeini	unk	1	1	0.9221	0.9221	0.9221	0.8243
FBCOK421-13	Insecta	Coleoptera	Clambidae	Clambinae	dummy_Clambinae	Clambus	1	1	0.9998	0.9998	0.9998	0.9998
GCOL9663-16	Insecta	Coleoptera	Staphylinidae	Tachyporinae	Tachyporini	unk	1	1	0.9894999999999999	0.9894999999999999	0.9894999999999999	0.5636000000000001
GCOL4459-16	Insecta	Coleoptera	Silphidae	Silphinae	dummy_Silphinae	Aclypea	1	1	1	1	1	0.5218
GCOL2048-16	Insecta	Coleoptera	Staphylinidae	Staphylininae	Staphylinini	Quedius	1	1	0.8475	0.7392	0.7392	0.3846
FBCOK275-13	Insecta	Coleoptera	Staphylinidae	Aleocharinae	Tachyusini	unk	1	1	1	1	1	0.6107
FBCOJ578-12	Insecta	Coleoptera	unk	unk	unk	unk	1	1	0.47300000000000003	0.47300000000000003	0.47300000000000003	0.47300000000000003
GCOL7725-16	Insecta	Coleoptera	unk	unk	unk	unk	1	1	0.5343	0.5343	0.5343	0.5343
GCOL5479-16	Insecta	Coleoptera	unk	unk	unk	unk	1	1	0.589	0.589	0.589	0.589
GMGMA151-14	Insecta	Coleoptera	Mordellidae	Mordellinae	Mordellistenini	unk	1	1	0.9987	0.9987	0.7117	0.6146
GCOL2895-16	Insecta	Coleoptera	Hydraenidae	unk	unk	unk	1	1	0.6651999999999999	0.512	0.512	0.512
TBGMI040-21	Insecta	Coleoptera	Ptinidae	Ptininae	Ptinini	unk	1	1	0.5301	0.5301	0.5301	0.3267
FBCOJ607-12	Insecta	Coleoptera	Ripiphoridae	unk	unk	unk	1	1	0.6598	0.6001	0.6001	0.6001
FBCOE871-12	Insecta	Coleoptera	Kateretidae	dummy_Kateretidae	dummy_Kateretidae	unk	1	1	0.611	0.611	0.611	0.44580000000000003
FBCOI810-12	Insecta	Coleoptera	Anthribidae	Anthribinae	unk	unk	1	1	1	1	0.8823	0.8823
FBCOA283-10	Insecta	Coleoptera	Attelabidae	Rhynchitinae	Byctiscini	Byctiscus	1	1	1	1	0.9997	0.9997
GBCOU1686-13	Insecta	Coleoptera	Attelabidae	Rhynchitinae	Rhynchitini	unk	1	1	1	1	0.6532	0.44630000000000003
GBCOU655-13	Insecta	Coleoptera	Attelabidae	Rhynchitinae	Rhynchitini	unk	1	1	1	1	0.9302	0.8173
GCOL8097-16	Insecta	Coleoptera	Staphylinidae	Aleocharinae	Athetini	unk	1	1	0.8146000000000001	0.8146000000000001	0.8146000000000001	0.714
GCOL10409-16	Insecta	Coleoptera	Tenebrionidae	Tenebrioninae	Tenebrionini	unk	1	1	1	1	1	0.5458000000000001
GCOL3207-16	Insecta	Coleoptera	Attelabidae	Rhynchitinae	Rhynchitini	unk	1	1	1	1	0.6272	0.43550000000000005
GBCOU2367-13	Insecta	Coleoptera	Nitidulidae	unk	unk	unk	1	1	0.8539000000000001	0.8043	0.8043	0.8043
GCOL6671-16	Insecta	Coleoptera	unk	unk	unk	unk	1	1	0.6016	0.6016	0.6016	0.6016
GCOL6670-16	Insecta	Coleoptera	unk	unk	unk	unk	1	1	0.6016	0.6016	0.6016	0.6016
FBCOA607-10	Insecta	Coleoptera	Ptinidae	Ernobiinae	unk	unk	1	1	0.642	0.6414	0.515	0.515
FBCOP726-13	Insecta	Coleoptera	Heteroceridae	Heterocerinae	dummy_Heterocerinae	unk	1	1	0.7958999999999999	0.7958999999999999	0.7958999999999999	0.4632
FBCOO186-13	Insecta	Coleoptera	Histeridae	Abraeinae	unk	unk	1	1	1	1	0.523	0.523
GBCOU2150-13	Insecta	Coleoptera	Histeridae	Abraeinae	unk	unk	1	1	1	0.3876	0.2921	0.2921
GCOL13398-16	Insecta	Coleoptera	Histeridae	Histerinae	unk	unk	1	1	0.9894	0.9773	0.9247000000000001	0.9247000000000001
GCOL2835-16	Insecta	Coleoptera	Histeridae	unk	unk	unk	1	1	0.8408000000000001	0.7423	0.7423	0.7423
GBCOU1872-13	Insecta	Coleoptera	Histeridae	unk	unk	unk	1	1	1	0.9466000000000001	0.9466000000000001	0.9466000000000001
FBCOO805-13	Insecta	Coleoptera	Histeridae	unk	unk	unk	1	1	0.8631000000000001	0.6997	0.6997	0.6997
FBCOB314-10	Insecta	Coleoptera	Histeridae	Abraeinae	unk	unk	1	1	1	0.6565	0.522	0.522
FBCOP229-13	Insecta	Coleoptera	Ptinidae	Ernobiinae	unk	unk	1	1	0.642	0.6414	0.515	0.515
FBCOJ182-12	Insecta	Coleoptera	Elateridae	Elaterinae	Agriotini	unk	1	1	1	0.42530000000000007	0.42530000000000007	0.3689
FBCOC433-10	Insecta	Coleoptera	Elateridae	unk	unk	unk	1	1	1	0.6846	0.6846	0.6846
FBCOJ181-12	Insecta	Coleoptera	Elateridae	Dendrometrinae	Dendrometrini	unk	1	1	1	0.9748	0.9744999999999999	0.9551000000000001
FBCON245-13	Insecta	Coleoptera	Elateridae	Dendrometrinae	Dendrometrini	unk	1	1	1	0.9470000000000001	0.5847	0.3606
FBCOK524-13	Insecta	Coleoptera	Elateridae	Dendrometrinae	Dendrometrini	unk	1	1	1	0.8665	0.8665	0.7862999999999999
FBCOJ487-12	Insecta	Coleoptera	Elateridae	Dendrometrinae	Prosternini	unk	1	1	1	1	0.5028	0.3559
FBCOK607-13	Insecta	Coleoptera	Elateridae	Dendrometrinae	Dendrometrini	unk	1	1	1	1	0.6082	0.3791
GBCOU2189-13	Insecta	Coleoptera	Elateridae	Dendrometrinae	Prosternini	unk	1	1	1	0.4046	0.4046	0.34669999999999995
GBCOU1427-13	Insecta	Coleoptera	Elateridae	Dendrometrinae	Prosternini	unk	1	1	1	1	1	0.6169
FBCOA786-10	Insecta	Coleoptera	Elateridae	Dendrometrinae	Dendrometrini	unk	1	1	1	1	0.6082	0.3791
GBCOU3577-13	Insecta	Coleoptera	Elateridae	Elaterinae	Ampedini	Ampedus	1	1	1	1	0.6451	0.6451
GBCOE916-13	Insecta	Coleoptera	Elateridae	Cardiophorinae	dummy_Cardiophorinae	Cardiophorus	1	1	1	0.7166	0.7166	0.7166
FBCOG1381-12	Insecta	Coleoptera	Elateridae	unk	unk	unk	1	1	0.9999	0.46090000000000003	0.46090000000000003	0.46090000000000003
GBCOU1942-13	Insecta	Coleoptera	Curculionidae	Brachycerinae	Erirhinini	unk	1	1	1	0.937	0.937	0.9113
TBGMI053-21	Insecta	Neuroptera	Coniopterygidae	Coniopteryginae	unk	unk	1	0.3449	0.2283	0.2283	0.2283	0.2283
TBGMI057-21	Insecta	Coleoptera	Ptinidae	Ptininae	Ptinini	unk	1	1	0.7968	0.7968	0.7968	0.4554
GCOL1153-16	Insecta	Coleoptera	Cantharidae	Cantharinae	Cantharini	unk	1	1	1	1	1	0.5064
GMGRF5665-13	Insecta	Coleoptera	Cantharidae	Cantharinae	Cantharini	Podistra	1	1	1	1	1	0.654
GCOL10547-16	Insecta	Coleoptera	Cantharidae	Malthininae	Malthodini	Malthodes	1	1	1	1	0.9992	0.9992
FBCOD601-11	Insecta	Coleoptera	Lycidae	Erotinae	Dictyopterini	unk	1	1	1	0.9433	0.7457	0.74
GCOL7483-16	Insecta	Coleoptera	Tenebrionidae	Alleculinae	Alleculini	unk	1	1	1	0.739	0.739	0.6761999999999999
GCOL1124-16	Insecta	Coleoptera	Tenebrionidae	Diaperinae	Diaperini	unk	1	1	1	0.5878	0.5212	0.5186000000000001
GBCOF336-13	Insecta	Coleoptera	Tenebrionidae	Alleculinae	Alleculini	unk	1	1	1	1	1	0.9401
FBCOB524-10	Insecta	Coleoptera	Tenebrionidae	Alleculinae	Alleculini	unk	1	1	1	0.9994	0.9994	0.985
GCOL6056-16	Insecta	Coleoptera	Tenebrionidae	Alleculinae	Alleculini	unk	1	1	1	0.9854999999999999	0.9854999999999999	0.8971
GBCOU602-13	Insecta	Coleoptera	Tenebrionidae	Alleculinae	Alleculini	unk	1	1	1	0.739	0.739	0.6761999999999999
GCOL7484-16	Insecta	Coleoptera	Tenebrionidae	Alleculinae	Alleculini	unk	1	1	1	0.739	0.739	0.6761999999999999
FBCON070-13	Insecta	Coleoptera	Tenebrionidae	unk	unk	unk	1	1	1	0.35259999999999997	0.35259999999999997	0.35259999999999997
GBCOU1849-13	Insecta	Coleoptera	Tenebrionidae	Alleculinae	Alleculini	unk	1	1	1	0.9711	0.9711	0.971
GCOL7863-16	Insecta	Coleoptera	Tenebrionidae	Diaperinae	Myrmechixenini	Myrmechixenus	1	1	1	1	0.9997	0.9997
FBCOI459-12	Insecta	Coleoptera	Tenebrionidae	Alleculinae	Alleculini	unk	1	1	1	1	1	0.965
FBCOB149-10	Insecta	Coleoptera	Tenebrionidae	Tenebrioninae	Tenebrionini	unk	1	1	0.8741000000000001	0.8741000000000001	0.8590000000000001	0.6516000000000001
FBCOI615-12	Insecta	Coleoptera	unk	unk	unk	unk	1	1	0.8774000000000001	0.8774000000000001	0.8774000000000001	0.8774000000000001
FBCOJ658-12	Insecta	Coleoptera	Buprestidae	Agrilinae	Agrilini	Agrilus	1	1	1	0.6121	0.6121	0.6121
FBCOJ648-12	Insecta	Coleoptera	Buprestidae	Agrilinae	Agrilini	Agrilus	1	1	0.9744999999999999	0.5079	0.5079	0.5079
GCOL10858-16	Insecta	Coleoptera	Buprestidae	Buprestinae	unk	unk	1	1	1	1	0.7903999999999999	0.7903999999999999
GCOL6045-16	Insecta	Coleoptera	Buprestidae	Buprestinae	unk	unk	1	1	1	1	0.7433	0.7433
FBCOE126-12	Insecta	Coleoptera	Buprestidae	Buprestinae	Chrysobothrini	Chrysobothris	1	1	1	1	0.9188000000000001	0.9188000000000001
FBCON309-13	Insecta	Coleoptera	Buprestidae	Buprestinae	unk	unk	1	1	1	1	0.7903999999999999	0.7903999999999999
GBCOU530-13	Insecta	Coleoptera	Buprestidae	Chrysochroinae	unk	unk	1	1	1	0.6903999999999999	0.5331	0.5331
FBCOC570-10	Insecta	Coleoptera	Heteroceridae	Heterocerinae	dummy_Heterocerinae	Augyles	1	1	1	1	1	0.9993
GBCOU1889-13	Insecta	Coleoptera	Staphylinidae	Oxytelinae	unk	unk	1	1	0.585	0.3383	0.3383	0.3383
GBCOB039-12	Insecta	Coleoptera	Scirtidae	Scirtinae	dummy_Scirtinae	Contacyphon	1	1	1	1	1	0.8269000000000001
GCOL4291-16	Insecta	Coleoptera	Scirtidae	Scirtinae	dummy_Scirtinae	Elodes	1	1	1	1	1	0.9246000000000001
FBCOJ654-12	Insecta	Coleoptera	Histeridae	Histerinae	unk	unk	1	1	0.6928	0.6928	0.5179	0.5179
GCOL12186-16	Insecta	Coleoptera	Staphylinidae	Aleocharinae	unk	unk	1	1	1	0.9417000000000001	0.7579	0.7579
GBCOU1650-13	Insecta	Coleoptera	unk	unk	unk	unk	1	1	0.34609999999999996	0.34609999999999996	0.34609999999999996	0.34609999999999996
GCOL349-16	Insecta	Coleoptera	Cantharidae	Malthininae	unk	unk	1	1	0.9904999999999999	0.9666	0.7494999999999999	0.7494999999999999
GCOL2919-16	Insecta	Coleoptera	Staphylinidae	Staphylininae	Staphylinini	unk	1	1	1	1	1	0.988
FBCON684-13	Insecta	Coleoptera	Ptinidae	unk	unk	unk	1	1	0.9992	0.9382	0.9382	0.9382
GBCOU1383-13	Insecta	Coleoptera	Scarabaeidae	Aphodiinae	Aphodiini	unk	1	1	1	1	1	0.7414
GCOL13189-16	Insecta	Coleoptera	Scarabaeidae	Aphodiinae	Aphodiini	Chilothorax	1	1	1	1	1	0.9983
GCOL7825-16	Insecta	Coleoptera	Scarabaeidae	Aphodiinae	Aphodiini	unk	1	1	0.7191	0.7191	0.7191	0.4475
GCOL12598-16	Insecta	Coleoptera	Scarabaeidae	Aphodiinae	Aphodiini	unk	1	1	1	1	1	0.801
GBCOU1974-13	Insecta	Coleoptera	Scarabaeidae	Aphodiinae	Aphodiini	unk	1	1	0.3721	0.3721	0.3721	0.3378
GBCOF009-13	Insecta	Coleoptera	Scarabaeidae	Aphodiinae	Aphodiini	unk	1	1	1	1	1	0.8604
FBCOK516-13	Insecta	Coleoptera	Scarabaeidae	Aphodiinae	Aphodiini	unk	1	1	0.8273	0.8273	0.8273	0.6657
GBCOG141-13	Insecta	Coleoptera	Scarabaeidae	Aphodiinae	Aphodiini	Melinopterus	1	1	1	1	1	0.6396000000000001
FBCON600-13	Insecta	Coleoptera	Staphylinidae	unk	unk	unk	1	1	1	0.7759	0.7759	0.7759
FBCOF185-12	Insecta	Coleoptera	Scarabaeidae	Aphodiinae	Aphodiini	Melinopterus	1	1	1	1	1	0.6396000000000001
FBCOB886-10	Insecta	Coleoptera	Staphylinidae	Paederinae	Lathrobiini	unk	1	1	1	0.9562	0.5782	0.4627
GBCOU1295-13	Insecta	Coleoptera	Scarabaeidae	Aphodiinae	Aphodiini	unk	1	1	1	1	1	0.7414
FBCOO775-13	Insecta	Coleoptera	Staphylinidae	Omaliinae	Omaliini	unk	1	1	1	0.9494	0.9494	0.9494
FBCON537-13	Insecta	Coleoptera	Staphylinidae	Tachyporinae	unk	unk	1	1	0.7382	0.48400000000000004	0.46930000000000005	0.46930000000000005
FBCOF918-12	Insecta	Coleoptera	Staphylinidae	Tachyporinae	unk	unk	1	1	0.7382	0.48400000000000004	0.46930000000000005	0.46930000000000005
FBCOG924-12	Insecta	Coleoptera	Staphylinidae	Tachyporinae	Tachyporini	unk	1	1	0.9702999999999999	0.9702999999999999	0.9702999999999999	0.9555
FBCOJ641-12	Insecta	Coleoptera	Scarabaeidae	Melolonthinae	unk	unk	1	1	0.6517000000000001	0.34269999999999995	0.30469999999999997	0.30469999999999997
FBCOC487-10	Insecta	Coleoptera	Scarabaeidae	Cetoniinae	Cetoniini	unk	1	1	1	0.9558000000000001	0.48380000000000006	0.4505
FBCOB771-10	Insecta	Coleoptera	Scarabaeidae	Cetoniinae	Trichiini	Trichius	1	1	1	1	0.7683	0.7683
TBGMI008-21	Insecta	Coleoptera	Ptinidae	Ptininae	Ptinini	unk	1	1	0.8743000000000001	0.8743000000000001	0.8743000000000001	0.5801
FBCOK561-13	Insecta	Coleoptera	Scarabaeidae	Melolonthinae	unk	unk	1	1	1	0.7681	0.729	0.729
GCOL11888-16	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Anomalini	unk	1	1	1	0.9808	0.9808	0.8299000000000001
FBCOB828-10	Insecta	Coleoptera	Scarabaeidae	Melolonthinae	Melolonthini	Melolontha	1	1	1	1	0.9998	0.9998
GBCOU1690-13	Insecta	Coleoptera	Scarabaeidae	Cetoniinae	Cetoniini	unk	1	1	1	1	0.9841	0.7194999999999999
FBCOA856-10	Insecta	Coleoptera	Staphylinidae	Staphylininae	Staphylinini	unk	1	1	0.9597000000000001	0.9597000000000001	0.9597000000000001	0.9081
FBAQU129-09	Insecta	Coleoptera	unk	unk	unk	unk	1	1	0.29630000000000006	0.29630000000000006	0.29630000000000006	0.29630000000000006
GCOL10407-16	Insecta	Coleoptera	Leiodidae	Cholevinae	Cholevini	unk	1	1	1	1	1	0.8691000000000001
GCOL9336-16	Insecta	Coleoptera	Leiodidae	Cholevinae	Cholevini	unk	1	1	1	1	1	0.7578
GCOL13198-16	Insecta	Coleoptera	Leiodidae	Cholevinae	Cholevini	unk	1	1	1	0.9134	0.9132	0.46980000000000005
