ID	class	order	family	subfamily	genus	species	Prob_class	Prob_order	Prob_family	Prob_subfamily	Prob_genus	Prob_species
FBAPB087-09	Insecta	Hymenoptera	Halictidae	Halictinae	Sphecodes	unk	1	1	1	1	1	1
FBAPB091-09	Insecta	Hymenoptera	Halictidae	Halictinae	Sphecodes	unk	1	1	1	1	1	1
FBAPC102-10	Insecta	Hymenoptera	Halictidae	Halictinae	Sphecodes	unk	1	1	1	1	1	1
FBAPD292-11	Insecta	Hymenoptera	Halictidae	Halictinae	Halictus	unk	1	1	1	1	0.9799	0.6860999999999999
FBAPB324-09	Insecta	Hymenoptera	Halictidae	Halictinae	Halictus	unk	1	1	1	1	0.8044	0.8044
BCHYM1302-13	Insecta	Hymenoptera	Halictidae	Halictinae	unk	unk	1	1	1	1	0.5	0.5
FBAPB341-09	Insecta	Hymenoptera	Halictidae	Halictinae	unk	unk	1	1	1	1	0.5	0.5
FBAPB902-09	Insecta	Hymenoptera	Halictidae	Halictinae	Lasioglossum	unk	1	1	1	1	1	1
FBAPC417-10	Insecta	Hymenoptera	Halictidae	Halictinae	Lasioglossum	unk	1	1	1	1	1	1
FBAPC578-11	Insecta	Hymenoptera	Halictidae	Halictinae	Lasioglossum	unk	1	1	1	1	1	1
FBAPC1042-11	Insecta	Hymenoptera	Halictidae	Halictinae	Lasioglossum	unk	1	1	1	1	1	0.6403
FBAPB371-09	Insecta	Hymenoptera	Halictidae	Halictinae	Lasioglossum	unk	1	1	1	1	1	0.9003
FBAPD308-11	Insecta	Hymenoptera	Halictidae	Halictinae	Lasioglossum	unk	1	1	1	1	1	1
FBAPD662-11	Insecta	Hymenoptera	Halictidae	Halictinae	Lasioglossum	unk	1	1	1	1	1	0.9505
BCHYM423-13	Insecta	Hymenoptera	Halictidae	Halictinae	Lasioglossum	unk	1	1	1	1	1	0.8042
FBAPD661-11	Insecta	Hymenoptera	Halictidae	Halictinae	Lasioglossum	unk	1	1	1	1	1	0.8635
FBAPC1015-11	Insecta	Hymenoptera	Halictidae	Halictinae	Lasioglossum	unk	1	1	1	1	1	0.7998
FBAPB970-09	Insecta	Hymenoptera	Halictidae	Halictinae	Lasioglossum	unk	1	1	1	1	1	0.97
FBAPD647-11	Insecta	Hymenoptera	Halictidae	Halictinae	Lasioglossum	unk	1	1	1	1	1	0.5041
FBAPD649-11	Insecta	Hymenoptera	Halictidae	Halictinae	Lasioglossum	unk	1	1	1	1	1	1
FBAPB974-09	Insecta	Hymenoptera	Halictidae	Halictinae	Lasioglossum	unk	1	1	1	1	1	0.8979
FBAPC550-11	Insecta	Hymenoptera	Halictidae	Halictinae	Lasioglossum	unk	1	1	1	1	1	0.7132999999999999
FBAPD302-11	Insecta	Hymenoptera	Halictidae	Halictinae	Lasioglossum	unk	1	1	1	1	1	1
FBAPD653-11	Insecta	Hymenoptera	Halictidae	Halictinae	Lasioglossum	Lasioglossum_nitidiusculum	1	1	1	1	1	0.9502
FBAPD648-11	Insecta	Hymenoptera	Halictidae	Halictinae	Lasioglossum	unk	1	1	1	1	1	0.9984999999999999
FBAPB344-09	Insecta	Hymenoptera	Halictidae	Halictinae	Lasioglossum	unk	1	1	1	1	1	1
FBAPC383-10	Insecta	Hymenoptera	Halictidae	Halictinae	Lasioglossum	unk	1	1	1	1	1	0.58
FBAPC1006-11	Insecta	Hymenoptera	Halictidae	Halictinae	Lasioglossum	unk	1	1	1	1	1	0.7087
FBAPB349-09	Insecta	Hymenoptera	Halictidae	Halictinae	Lasioglossum	unk	1	1	1	1	1	0.8198000000000001
FBAPC447-10	Insecta	Hymenoptera	Halictidae	Halictinae	unk	unk	1	1	1	1	0.91	0.91
FBAPB510-09	Insecta	Hymenoptera	Halictidae	unk	unk	unk	1	1	1	0.7990999999999999	0.7990999999999999	0.7990999999999999
BCHYM9090-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	Tachysphex_nitidus	1	1	1	1	1	0.6121
BCHYM10771-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	unk	1	1	1	1	1	0.9304
BCHYM9400-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	unk	1	1	1	1	1	1
BCHYM398-13	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	unk	1	1	1	1	1	0.9567000000000001
FBACB316-11	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	unk	1	1	1	1	1	0.9048
BCHYM9072-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	unk	1	1	1	1	1	0.8105
BCHYM11066-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	unk	1	1	1	1	1	0.6178
BCHYM9073-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	unk	1	1	1	1	1	0.6686
BCHYM11041-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	unk	1	1	1	1	1	0.985
BCHYM9087-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	unk	1	1	1	1	1	0.8351000000000001
BCHYM11064-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	unk	1	1	1	1	1	0.9177000000000001
BCHYM10894-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	unk	1	1	1	1	1	0.8819
BCHYM9085-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	unk	1	1	1	1	1	0.973
BCHYM9077-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	unk	1	1	1	1	1	0.9565
BCHYM10858-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	Tachysphex_dimidiatus	1	1	1	1	1	0.5168
BCHYM10753-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	Tachysphex_dimidiatus	1	1	1	1	1	0.7974999999999999
FBACA867-10	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	Tachysphex_dimidiatus	1	1	1	1	1	1
BCHYM12368-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	unk	1	1	1	1	1	0.9343
BCHYM10895-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	unk	1	1	1	1	1	0.8521000000000001
FBACB317-11	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	unk	1	1	1	1	1	0.8330000000000001
BCHYM1546-14	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	unk	1	1	1	1	1	0.9916
BCHYM10971-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	unk	1	1	1	1	1	0.7665
BCHYM12218-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	unk	1	1	1	1	1	0.638
BCHYM10917-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	Tachysphex_dimidiatus	1	1	1	1	1	0.7004999999999999
FBACB318-11	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	unk	1	1	1	1	1	0.9048
BCHYM1599-14	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	unk	1	1	1	1	1	0.9255
BCHYM10970-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	unk	1	1	1	1	1	0.9661
BCHYM11053-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	unk	1	1	1	1	1	0.8907
BCHYM10963-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	unk	1	1	1	1	1	0.9951
FBACA868-10	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	unk	1	1	1	1	1	0.9903
BCHYM9392-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	unk	1	1	1	1	1	0.9484
BCHYM11042-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	unk	1	1	1	1	1	0.7026
BCHYM10962-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	unk	1	1	1	1	1	0.9662
BCHYM9068-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	unk	1	1	1	1	1	0.9801
BCHYM10909-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	Tachysphex_nitidus	1	1	1	1	1	0.6088
BCHYM10874-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	unk	1	1	1	1	1	0.9662
BCHYM10915-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	unk	1	1	1	1	1	0.8935
BCHYM403-13	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	unk	1	1	1	1	1	0.6468
BCHYM12365-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	unk	1	1	1	1	1	0.506
FBACA856-10	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	unk	1	1	1	1	1	0.98
BCHYM12366-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	unk	1	1	1	1	1	0.506
BCHYM9399-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	unk	1	1	1	1	1	1
FBACA857-10	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	unk	1	1	1	1	1	0.9924
BCHYM12215-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	unk	1	1	1	1	1	0.9595
BCHYM9101-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	unk	1	1	1	1	1	0.5265
BCHYM10817-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	unk	1	1	1	1	1	0.8075
BCHYM400-13	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	unk	1	1	1	1	1	0.9567000000000001
BCHYM9390-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	unk	1	1	1	1	1	0.7665
BCHYM11108-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	unk	1	1	1	1	0.6669999999999999	0.6669999999999999
BCHYM402-13	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	unk	1	1	1	1	1	0.6696
BCHYM11062-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	unk	1	1	1	1	1	0.8163
BCHYM1397-13	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	unk	1	1	1	1	0.9047000000000001	0.9047000000000001
FBACA858-10	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	unk	1	1	1	1	1	0.9644999999999999
BCHYM11060-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	unk	1	1	1	1	1	0.8724000000000001
BCHYM2440-14	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	unk	unk	1	1	1	1	0.9833999999999999	0.9833999999999999
BCHYM406-13	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	unk	1	1	1	1	1	0.92
FBACA1187-10	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	unk	1	1	1	1	0.7694	0.7694
BCHYM6837-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	unk	1	1	1	1	1	0.531
BCHYM6453-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	unk	1	1	1	1	1	0.9405
BCHYM6456-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	Oxybelus_trispinosus	1	1	1	1	1	0.7748
BCHYM9372-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	unk	1	1	1	1	0.9788	0.9614999999999999
BCHYM11091-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	unk	1	1	1	1	1	0.9934999999999999
BCHYM9370-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	unk	1	1	1	1	0.9999	0.9833
BCHYM6454-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	unk	1	1	1	1	1	0.8971
FBACA960-10	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	unk	1	1	1	1	1	0.9666
FBACA961-10	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	unk	1	1	1	1	1	0.9666
BCHYM6451-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	unk	1	1	1	1	1	0.9394
FBACA959-10	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	unk	1	1	1	1	1	0.9666
BCHYM9373-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	Oxybelus_trispinosus	1	1	1	1	0.9106000000000001	0.47900000000000004
BCHYM11092-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	unk	1	1	1	1	1	0.9686
BCHYM6452-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	unk	1	1	1	1	1	0.9407000000000001
FBACA962-10	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	unk	1	1	1	1	1	0.9666
BCHYM6455-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	unk	1	1	1	1	1	0.8971
BCHYM6288-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	unk	1	1	1	1	0.9998	0.9262
BCHYM6284-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	unk	1	1	1	1	1	0.9531000000000001
BCHYM6835-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	unk	1	1	1	1	1	0.535
BCHYM9118-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	unk	1	1	1	1	1	0.9316000000000001
FBACA963-10	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	unk	1	1	1	1	0.9427000000000001	0.7903999999999999
BCHYM6839-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	unk	1	1	1	1	0.9999	0.8293
BCHYM5058-14	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	unk	1	1	1	1	0.9976	0.8811
BCHYM2975-14	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	Oxybelus_uniglumis	1	1	1	1	0.8424	0.4742
BCHYM6840-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	unk	1	1	1	1	1	0.9154
BCHYM5056-14	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	unk	1	1	1	1	0.9441	0.8961
BCHYM6459-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	unk	unk	1	1	1	1	0.5114	0.5114
BCHYM6458-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	unk	unk	1	1	1	1	0.5114	0.5114
BCHYM6287-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	unk	1	1	1	1	0.9998	0.927
BCHYM9367-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	unk	1	1	1	1	0.9427000000000001	0.7903999999999999
BCHYM9368-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	unk	1	1	1	1	0.9427000000000001	0.7903999999999999
FBACA953-10	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	Oxybelus_uniglumis	1	1	1	1	1	0.9842
BCHYM1530-14	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	Oxybelus_uniglumis	1	1	1	1	1	0.9746
BCHYM11110-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	unk	1	1	1	1	0.9879	0.9879
BCHYM6289-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	unk	1	1	1	1	0.9998	0.9316000000000001
BCHYM10983-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	unk	1	1	1	1	0.5107	0.5107
FBACB1014-11	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	unk	1	1	1	1	1	0.9666
BCHYM9371-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	unk	1	1	1	1	0.9999	0.9352
BCHYM5059-14	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	unk	1	1	1	1	0.9976	0.8811
BCHYM6836-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	unk	1	1	1	1	1	0.535
BCHYM6286-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	unk	1	1	1	1	0.9203	0.8822
BCHYM9374-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	unk	1	1	1	1	0.5358	0.5272
BCHYM6285-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	unk	1	1	1	1	0.9289000000000001	0.8867
BCHYM2441-14	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	unk	unk	1	1	1	1	0.9837	0.9837
BCHYM9052-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Miscophus	unk	1	1	1	1	0.9966	0.9966
FBACB125-11	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Miscophus	unk	1	1	1	1	1	0.9768
BCHYM10978-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Miscophus	Miscophus_concolor	1	1	1	1	1	0.9996
BCHYM10961-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Miscophus	unk	1	1	1	1	1	0.9952
BCHYM6556-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Miscophus	unk	1	1	1	1	0.7953999999999999	0.7621
BCHYM2451-14	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Miscophus	unk	1	1	1	1	1	0.8753000000000001
FBACB492-11	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Miscophus	unk	1	1	1	1	1	0.9779
BCHYM2450-14	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Miscophus	unk	1	1	1	1	1	0.8671000000000001
BCHYM6588-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Miscophus	unk	1	1	1	1	0.7454999999999999	0.7454999999999999
BCHYM6436-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Miscophus	unk	1	1	1	1	0.8291000000000001	0.8291000000000001
BCHYM12241-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Miscophus	unk	1	1	1	1	1	0.9859
BCHYM6591-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Miscophus	unk	1	1	1	1	0.7635	0.7635
BCHYM12354-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Miscophus	Miscophus_spurius	1	1	1	1	1	1
BCHYM2437-14	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Miscophus	unk	1	1	1	1	1	0.8646000000000001
BCHYM12357-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Miscophus	unk	1	1	1	1	0.808	0.808
BCHYM6587-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Miscophus	unk	1	1	1	1	0.7454999999999999	0.7454999999999999
BCHYM6432-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Miscophus	unk	1	1	1	1	0.888	0.888
BCHYM6558-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Miscophus	unk	1	1	1	1	0.7953999999999999	0.7621
BCHYM6430-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Miscophus	unk	1	1	1	1	0.5483	0.5483
BCHYM3825-14	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Trypoxylon	unk	1	1	1	1	1	0.7444
FBACA486-10	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Trypoxylon	unk	1	1	1	1	1	0.7980999999999999
BCHYM3818-14	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Trypoxylon	unk	1	1	1	1	0.9713999999999999	0.9713999999999999
BCHYM3824-14	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Trypoxylon	unk	1	1	1	1	1	0.7444
BCHYM6439-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Trypoxylon	unk	1	1	1	1	0.9152	0.9152
BCHYM10852-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	unk	unk	1	1	1	1	0.9626	0.9626
FBACA1190-10	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	unk	unk	1	1	1	1	0.5261	0.5261
FBACA1191-10	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	unk	unk	1	1	1	1	0.5495	0.5495
EOTEL004-22	Insecta	Hymenoptera	Melittidae	unk	unk	unk	1	1	1	0.6575	0.6575	0.6575
BCHYM9115-15	Insecta	Hymenoptera	Crabronidae	Crabroninae	unk	unk	1	1	1	0.9213	0.9213	0.9213
FBACA129-10	Insecta	Hymenoptera	Crabronidae	Crabroninae	Crabro	unk	1	1	1	1	0.718	0.6696
FBACA153-10	Insecta	Hymenoptera	Crabronidae	Crabroninae	Crabro	unk	1	1	1	1	1	0.712
FBACA131-10	Insecta	Hymenoptera	Crabronidae	Crabroninae	Crabro	unk	1	1	1	1	0.7131	0.6668999999999999
FBACA151-10	Insecta	Hymenoptera	Crabronidae	Crabroninae	Crabro	Crabro_scutellatus	1	1	1	1	1	0.9998
BCHYM1527-14	Insecta	Hymenoptera	Crabronidae	Crabroninae	Crabro	Crabro_scutellatus	1	1	1	1	1	0.9847
FBACA130-10	Insecta	Hymenoptera	Crabronidae	Crabroninae	Crabro	unk	1	1	1	1	0.7196	0.6714999999999999
BCHYM11099-15	Insecta	Hymenoptera	Crabronidae	Crabroninae	Crabro	Crabro_peltarius	1	1	1	1	1	0.7809999999999999
BCHYM1526-14	Insecta	Hymenoptera	Crabronidae	Crabroninae	Crabro	Crabro_peltarius	1	1	1	1	1	0.7809999999999999
FBACA018-10	Insecta	Hymenoptera	Crabronidae	Crabroninae	unk	unk	1	1	1	1	0.4477	0.4477
FBACB974-11	Insecta	Hymenoptera	Crabronidae	Crabroninae	Crossocerus	Crossocerus_assimilis	1	1	1	1	0.9292	0.48200000000000004
FBACA080-10	Insecta	Hymenoptera	Crabronidae	Crabroninae	Crossocerus	unk	1	1	1	1	1	0.9231
FBACA004-10	Insecta	Hymenoptera	Crabronidae	Crabroninae	Crossocerus	unk	1	1	1	1	1	0.6197
FBACB578-11	Insecta	Hymenoptera	Crabronidae	Crabroninae	Crossocerus	unk	1	1	1	1	1	0.6289
BCHYM9377-15	Insecta	Hymenoptera	Crabronidae	Crabroninae	unk	unk	1	1	1	1	0.7958999999999999	0.7958999999999999
FBACA007-10	Insecta	Hymenoptera	Crabronidae	Crabroninae	Crossocerus	unk	1	1	1	1	1	0.9869
FBACA005-10	Insecta	Hymenoptera	Crabronidae	Crabroninae	Crossocerus	unk	1	1	1	1	1	0.935
FBACA081-10	Insecta	Hymenoptera	Crabronidae	Crabroninae	Crossocerus	unk	1	1	1	1	1	0.9231
FBACA079-10	Insecta	Hymenoptera	Crabronidae	Crabroninae	Crossocerus	unk	1	1	1	1	1	0.8955
FBACA075-10	Insecta	Hymenoptera	Crabronidae	Crabroninae	Crossocerus	Crossocerus_walkeri	1	1	1	1	1	1
FBACA008-10	Insecta	Hymenoptera	Crabronidae	Crabroninae	Crossocerus	unk	1	1	1	1	1	0.935
FBACA037-10	Insecta	Hymenoptera	Crabronidae	Crabroninae	Crossocerus	Crossocerus_heydeni	1	1	1	1	1	0.9404
FBACA043-10	Insecta	Hymenoptera	Crabronidae	Crabroninae	Crossocerus	Crossocerus_nigritus	1	1	1	1	1	0.9997
FBACA006-10	Insecta	Hymenoptera	Crabronidae	Crabroninae	Crossocerus	unk	1	1	1	1	1	0.969
FBACA057-10	Insecta	Hymenoptera	Crabronidae	Crabroninae	Crossocerus	Crossocerus_styrius	1	1	1	1	1	0.9994999999999999
FBACA058-10	Insecta	Hymenoptera	Crabronidae	Crabroninae	Crossocerus	Crossocerus_styrius	1	1	1	1	1	0.9994999999999999
FBACA068-10	Insecta	Hymenoptera	Crabronidae	Crabroninae	Crossocerus	Crossocerus_palmipes	1	1	1	1	1	1
