ID	class	order	family	subfamily	genus	Prob_class	Prob_order	Prob_family	Prob_subfamily	Prob_genus
FBAPC451-10	Insecta	Hymenoptera	Halictidae	Halictinae	Halictus	1	1	1	1	0.7323999999999999
FBAPC446-10	Insecta	Hymenoptera	Halictidae	Halictinae	unk	1	1	1	1	0.5
FBAPC448-10	Insecta	Hymenoptera	Halictidae	Halictinae	unk	1	1	1	1	0.8279000000000001
FBAPB903-09	Insecta	Hymenoptera	Halictidae	Halictinae	Lasioglossum	1	1	1	1	1
FBAPC417-10	Insecta	Hymenoptera	Halictidae	Halictinae	Lasioglossum	1	1	1	1	1
FBAPC576-11	Insecta	Hymenoptera	Halictidae	Halictinae	Lasioglossum	1	1	1	1	1
FBAPC1039-11	Insecta	Hymenoptera	Halictidae	Halictinae	Lasioglossum	1	1	1	1	1
FBAPD302-11	Insecta	Hymenoptera	Halictidae	Halictinae	Lasioglossum	1	1	1	1	1
FBAPC1042-11	Insecta	Hymenoptera	Halictidae	Halictinae	Lasioglossum	1	1	1	1	1
FBAPD649-11	Insecta	Hymenoptera	Halictidae	Halictinae	Lasioglossum	1	1	1	1	1
FBAPB913-09	Insecta	Hymenoptera	Halictidae	Halictinae	Lasioglossum	1	1	1	1	1
FBAPB914-09	Insecta	Hymenoptera	Halictidae	Halictinae	Lasioglossum	1	1	1	1	1
FBAPD308-11	Insecta	Hymenoptera	Halictidae	Halictinae	Lasioglossum	1	1	1	1	1
FBAPD662-11	Insecta	Hymenoptera	Halictidae	Halictinae	Lasioglossum	1	1	1	1	1
FBAPB866-09	Insecta	Hymenoptera	Halictidae	Halictinae	Lasioglossum	1	1	1	1	1
FBAPB970-09	Insecta	Hymenoptera	Halictidae	Halictinae	Lasioglossum	1	1	1	1	1
BCHYM1317-13	Insecta	Hymenoptera	Halictidae	Halictinae	Lasioglossum	1	1	1	1	1
FBAPD648-11	Insecta	Hymenoptera	Halictidae	Halictinae	Lasioglossum	1	1	1	1	1
FBAPD647-11	Insecta	Hymenoptera	Halictidae	Halictinae	Lasioglossum	1	1	1	1	1
BCHYM423-13	Insecta	Hymenoptera	Halictidae	Halictinae	Lasioglossum	1	1	1	1	1
FBAPB368-09	Insecta	Hymenoptera	Halictidae	Halictinae	Lasioglossum	1	1	1	1	1
FBAPC578-11	Insecta	Hymenoptera	Halictidae	Halictinae	Lasioglossum	1	1	1	1	1
FBAPC1006-11	Insecta	Hymenoptera	Halictidae	Halictinae	Lasioglossum	1	1	1	1	1
FBAPC550-11	Insecta	Hymenoptera	Halictidae	Halictinae	Lasioglossum	1	1	1	1	1
FBAPB349-09	Insecta	Hymenoptera	Halictidae	Halictinae	Lasioglossum	1	1	1	1	1
FBAPD289-11	Insecta	Hymenoptera	Halictidae	Halictinae	Lasioglossum	1	1	1	1	1
BCHYM471-13	Insecta	Hymenoptera	Pemphredonidae	dummy_Pemphredonidae	Spilomena	1	1	1	1	0.6272
FBAPC449-10	Insecta	Hymenoptera	Halictidae	Halictinae	unk	1	1	1	1	0.8279000000000001
FBAPB655-09	Insecta	Hymenoptera	Halictidae	Halictinae	Lasioglossum	1	1	1	0.7932999999999999	0.7078
FBAPB599-09	Insecta	Hymenoptera	Colletidae	Hylaeinae	Hylaeus	1	1	1	1	1
FBAPB598-09	Insecta	Hymenoptera	Colletidae	Hylaeinae	Hylaeus	1	1	1	1	1
FBAPC511-11	Insecta	Hymenoptera	Colletidae	Hylaeinae	Hylaeus	1	1	1	1	1
FBAPC506-11	Insecta	Hymenoptera	Colletidae	Hylaeinae	Hylaeus	1	1	1	1	1
FBAPD763-11	Insecta	Hymenoptera	Colletidae	Hylaeinae	Hylaeus	1	1	1	1	1
FBAPC505-11	Insecta	Hymenoptera	Colletidae	Hylaeinae	Hylaeus	1	1	1	1	1
FBAPB613-09	Insecta	Hymenoptera	Colletidae	Hylaeinae	Hylaeus	1	1	1	1	1
FBAPC936-11	Insecta	Hymenoptera	Colletidae	Hylaeinae	Hylaeus	1	1	1	1	1
FBAPB617-09	Insecta	Hymenoptera	Colletidae	Hylaeinae	Hylaeus	1	1	1	1	1
FBAPC941-11	Insecta	Hymenoptera	Colletidae	Hylaeinae	Hylaeus	1	1	0.9998	0.7058	0.7058
FBAPC934-11	Insecta	Hymenoptera	Colletidae	Hylaeinae	Hylaeus	1	1	1	1	1
FBAPB610-09	Insecta	Hymenoptera	Colletidae	Hylaeinae	Hylaeus	1	1	1	1	1
FBAPD775-11	Insecta	Hymenoptera	Colletidae	Hylaeinae	Hylaeus	1	1	1	1	1
FBAPC507-11	Insecta	Hymenoptera	Colletidae	Hylaeinae	Hylaeus	1	1	1	1	1
FBAPB589-09	Insecta	Hymenoptera	Colletidae	Hylaeinae	Hylaeus	1	1	1	1	1
FBAPD797-11	Insecta	Hymenoptera	Colletidae	Hylaeinae	Hylaeus	1	1	1	1	1
FBAPD794-11	Insecta	Hymenoptera	Colletidae	Hylaeinae	Hylaeus	1	1	1	1	1
FBAPB584-09	Insecta	Hymenoptera	Colletidae	Hylaeinae	Hylaeus	1	1	1	1	1
FBAPC508-11	Insecta	Hymenoptera	Colletidae	Hylaeinae	Hylaeus	1	1	1	1	1
FBAPB621-09	Insecta	Hymenoptera	Colletidae	Hylaeinae	Hylaeus	1	1	1	1	1
FBAPC509-11	Insecta	Hymenoptera	Colletidae	Hylaeinae	Hylaeus	1	1	1	1	1
FBAPB581-09	Insecta	Hymenoptera	Colletidae	Hylaeinae	Hylaeus	1	1	1	1	1
FBAPC938-11	Insecta	Hymenoptera	Colletidae	Hylaeinae	Hylaeus	1	1	1	1	1
FBAPD796-11	Insecta	Hymenoptera	Colletidae	Hylaeinae	Hylaeus	1	1	1	1	1
FBAPC940-11	Insecta	Hymenoptera	Colletidae	Hylaeinae	Hylaeus	1	1	0.9998	0.7072999999999999	0.7072999999999999
FBAPB988-09	Insecta	Hymenoptera	Colletidae	Colletinae	Colletes	1	1	1	1	1
FBAPC640-11	Insecta	Hymenoptera	Colletidae	Colletinae	Colletes	1	1	1	1	1
FBAPB539-09	Insecta	Hymenoptera	Colletidae	Colletinae	Colletes	1	1	1	1	1
FBAPB541-09	Insecta	Hymenoptera	Colletidae	Colletinae	Colletes	1	1	1	1	1
FBAPC637-11	Insecta	Hymenoptera	Colletidae	Colletinae	Colletes	1	1	1	1	1
FBAPD672-11	Insecta	Hymenoptera	Colletidae	Colletinae	Colletes	1	1	1	1	1
FBAPC478-11	Insecta	Hymenoptera	Colletidae	Colletinae	Colletes	1	1	1	1	1
FBAPB980-09	Insecta	Hymenoptera	Colletidae	Colletinae	Colletes	1	1	1	1	1
FBAPB540-09	Insecta	Hymenoptera	Colletidae	Colletinae	Colletes	1	1	1	1	1
FBAPD889-11	Insecta	Hymenoptera	Colletidae	Colletinae	Colletes	1	1	1	1	1
FBAPD671-11	Insecta	Hymenoptera	Colletidae	Colletinae	Colletes	1	1	1	1	1
FBAPC641-11	Insecta	Hymenoptera	Colletidae	Colletinae	Colletes	1	1	1	1	1
FBAPC643-11	Insecta	Hymenoptera	Colletidae	Colletinae	Colletes	1	1	1	0.8833	0.8833
FBAPC935-11	Insecta	Hymenoptera	Colletidae	Hylaeinae	Hylaeus	1	1	1	1	1
BCHYM10951-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	1
FBACA859-10	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	1
BCHYM9073-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	1
FBACB315-11	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	1
BCHYM407-13	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	1
BCHYM10945-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	1
BCHYM399-13	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	1
BCHYM12215-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	1
BCHYM10947-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	1
BCHYM401-13	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	0.9941
BCHYM12234-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	1
BCHYM10791-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	1
BCHYM398-13	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	1
BCHYM10753-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	1
BCHYM10754-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	1
BCHYM9059-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	1
BCHYM10893-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	1
BCHYM10962-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	1
BCHYM10917-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	1
BCHYM9399-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	0.9906
FBACB264-11	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	0.9939
BCHYM403-13	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	0.9957
BCHYM10910-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	1
BCHYM12214-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	1
BCHYM9078-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	1
BCHYM9072-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	1
BCHYM11067-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	1
BCHYM408-13	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	1
BCHYM9074-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	1
FBACB269-11	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	1
BCHYM11053-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	1
FBACB267-11	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	1
BCHYM11066-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	1
FBACB268-11	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	1
BCHYM9063-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	1
BCHYM9055-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	1
FBACB266-11	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	1
BCHYM9101-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	1
BCHYM9070-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	1
BCHYM9066-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	1
BCHYM11060-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	0.985
BCHYM9100-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	0.999
BCHYM12219-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	1
BCHYM10771-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	1
BCHYM11065-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	1
BCHYM11064-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	1
BCHYM9069-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	1
BCHYM11041-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	0.9789
BCHYM11042-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	1
BCHYM10874-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	1
BCHYM9075-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	1
BCHYM9068-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	1
FBACA856-10	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	1
BCHYM9401-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Tachysphex	1	1	1	1	0.9947
FBACA1188-10	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	unk	1	1	1	1	0.6877
BCHYM2977-14	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	unk	1	1	1	1	0.7036
FBACB111-11	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	unk	1	1	1	1	0.5426000000000001
BCHYM2458-14	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	unk	1	1	1	0.9883	0.9872
BCHYM6434-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	unk	1	1	1	1	1
BCHYM6449-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	unk	1	1	1	0.9666	0.9666
BCHYM3825-14	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Trypoxylon	1	1	1	1	1
BCHYM11112-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Trypoxylon	1	1	1	1	1
FBACA486-10	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Trypoxylon	1	1	1	1	1
BCHYM3822-14	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Trypoxylon	1	1	1	1	1
BCHYM3820-14	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Trypoxylon	1	1	1	1	0.9874999999999999
FBACB108-11	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	unk	1	1	1	1	0.981
FBACB110-11	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	unk	1	1	1	1	0.7091999999999999
BCHYM10779-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	unk	1	1	1	1	1
FBACA1230-10	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	unk	1	1	1	1	0.9999
BCHYM2441-14	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	unk	1	1	1	1	1
BCHYM6455-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	1	1	1	1	1
BCHYM9118-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	1	1	1	1	0.6764999999999999
BCHYM6288-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	1	1	1	1	0.9582
BCHYM6836-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	1	1	1	1	0.9713999999999999
FBACA961-10	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	1	1	1	1	1
BCHYM11092-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	1	1	1	1	0.984
FBACB1015-11	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	1	1	1	1	1
BCHYM6453-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	1	1	1	1	0.9929
BCHYM6837-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	1	1	1	1	0.9632
FBACA959-10	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	1	1	1	1	1
BCHYM9372-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	1	1	1	1	0.7882999999999999
BCHYM9370-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	1	1	1	1	0.9999
BCHYM6835-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	1	1	1	1	0.9713999999999999
BCHYM6283-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	1	1	1	1	0.9801
FBACA962-10	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	1	1	1	1	1
BCHYM11091-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	1	1	1	1	0.9711
BCHYM5059-14	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	1	1	1	1	0.9493
BCHYM6451-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	1	1	1	1	0.994
FBACA964-10	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	1	1	1	1	0.9192
BCHYM9117-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	1	1	1	1	0.7008
BCHYM5057-14	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	1	1	1	1	0.8421000000000001
BCHYM6287-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	1	1	1	1	0.9624999999999999
BCHYM6839-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	1	1	1	1	0.9888
BCHYM9368-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	1	1	1	1	0.8141
FBACA952-10	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	1	1	1	1	1
BCHYM5056-14	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	1	1	1	1	0.8421000000000001
BCHYM2975-14	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	1	1	1	1	0.7609
BCHYM9367-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	1	1	1	1	0.8141
FBACA963-10	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	1	1	1	1	0.8141
BCHYM6773-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	1	1	1	1	0.9977
FBACB542-11	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	1	1	1	1	0.9999
BCHYM6290-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	1	1	1	1	0.9801
FBACB1014-11	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	1	1	1	1	1
BCHYM5058-14	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	1	1	1	1	0.9493
BCHYM6838-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	1	1	1	1	0.9713999999999999
BCHYM11093-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	1	1	1	1	0.9641
BCHYM6285-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	1	1	1	1	0.8225
FBACB543-11	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Oxybelus	1	1	1	1	0.9999
BCHYM6457-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	unk	1	1	1	1	0.6036
BCHYM6586-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Miscophus	1	1	1	1	0.8494
BCHYM12241-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Miscophus	1	1	1	1	1
BCHYM2455-14	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Miscophus	1	1	1	1	0.9703999999999999
FBACB123-11	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Miscophus	1	1	1	1	1
FBACB126-11	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Miscophus	1	1	1	1	1
FBACB495-11	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Miscophus	1	1	1	1	1
BCHYM6557-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Miscophus	1	1	1	1	0.9292
BCHYM9052-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Miscophus	1	1	1	1	1
BCHYM6556-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Miscophus	1	1	1	1	0.9292
BCHYM12359-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Miscophus	1	1	1	1	0.8113
BCHYM6427-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Miscophus	1	1	1	1	0.8719000000000001
BCHYM2451-14	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Miscophus	1	1	1	1	1
BCHYM12358-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Miscophus	1	1	1	1	0.8113
BCHYM9120-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Miscophus	1	1	1	1	1
BCHYM10979-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Miscophus	1	1	1	1	1
BCHYM2452-14	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Miscophus	1	1	1	1	1
BCHYM6591-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Miscophus	1	1	1	1	0.8579000000000001
BCHYM6587-15	Insecta	Hymenoptera	Crabronidae	dummy_Crabronidae	Miscophus	1	1	1	1	0.8514
FBACA154-10	Insecta	Hymenoptera	Crabronidae	Crabroninae	Crabro	1	1	1	1	1
BCHYM1526-14	Insecta	Hymenoptera	Crabronidae	Crabroninae	Crabro	1	1	1	1	1
FBACA155-10	Insecta	Hymenoptera	Crabronidae	Crabroninae	Crabro	1	1	1	1	1
FBACA157-10	Insecta	Hymenoptera	Crabronidae	Crabroninae	Crabro	1	1	1	1	1
FBACA131-10	Insecta	Hymenoptera	Crabronidae	Crabroninae	Crossocerus	1	1	1	1	1
BCHYM1527-14	Insecta	Hymenoptera	Crabronidae	Crabroninae	Crabro	1	1	1	1	1
BCHYM1528-14	Insecta	Hymenoptera	Crabronidae	Crabroninae	Crabro	1	1	1	1	1
BCHYM11103-15	Insecta	Hymenoptera	Crabronidae	Crabroninae	Crabro	1	1	1	1	1
FBACA152-10	Insecta	Hymenoptera	Crabronidae	Crabroninae	Crabro	1	1	1	1	1
BCHYM9115-15	Insecta	Hymenoptera	Crabronidae	Crabroninae	unk	1	1	1	0.8949	0.8949
FBACA080-10	Insecta	Hymenoptera	Crabronidae	Crabroninae	Crossocerus	1	1	1	1	1
BCHYM9377-15	Insecta	Hymenoptera	Crabronidae	Crabroninae	Crossocerus	1	1	1	1	0.6152
FBACA044-10	Insecta	Hymenoptera	Crabronidae	Crabroninae	Crossocerus	1	1	1	1	1
FBACA007-10	Insecta	Hymenoptera	Crabronidae	Crabroninae	Crossocerus	1	1	1	1	1
FBACA005-10	Insecta	Hymenoptera	Crabronidae	Crabroninae	Crossocerus	1	1	1	1	1
FBACA003-10	Insecta	Hymenoptera	Crabronidae	Crabroninae	Crossocerus	1	1	1	1	1
FBACA006-10	Insecta	Hymenoptera	Crabronidae	Crabroninae	Crossocerus	1	1	1	1	1
